Event	Sample label (DSDP/ODP/IODP sample designation)	Sample comment	Top [mcd]	Age [ka BP] (Age, benthic δ18O stratigraphy)	UK37 (Calculated from UK37)	UK'37 (Calculated from UK'37)	SST [°C] (SST, from UK37)	SST [°C] (SST, from UK'37)	C37:4 [%]
162-983C	162-983C-16H-4,4-5	Working half	157.19	1242.45	0.209	0.306	4.8	8.0	7.5
162-983C	162-983C-16H-4,88-89	Working half	158.02	1252.94	0.222	0.359	5.4	9.6	10.1
162-983C	162-983C-16H-5,20-21	Working half	158.86	1259.22	0.286	0.361	8.0	9.6	5.5
162-983C	162-983C-16H-5,104-105	Working half	159.69	1265.45	0.218	0.312	5.2	8.1	7.2
162-983C	162-983C-16H-6,40-41	Working half	160.53	1271.46	0.186	0.326	3.9	8.5	10.5
162-983C	162-983C-16H-6,124-125	Working half	161.37	1277.97	0.395	0.448	12.6	12.3	3.7
162-983C	162-983C-16H-7,56-57	Working half	162.20	1284.27					
162-983C	162-983C-17H-1,12-13	Working half	163.04	1290.65	0.319	0.354	9.4	9.4	2.6
162-983C	162-983C-17H-1,96-97	Working half	163.87	1296.98	0.274	0.283	7.6	7.3	0.7
162-983C	162-983C-17H-2,28-29	Working half	164.71	1303.50	0.403	0.403	12.9	10.9	0.0
162-983C	162-983C-17H-2,112-113	Working half	165.54	1309.83	0.436	0.436	14.3	11.9	0.0
162-983B	162-983B-17H-3,44-45	Working half	166.38	1315.95	0.483	0.508	16.2	14.1	1.7
162-983C	162-983C-17H-3,128-129	Working half	167.22	1320.76	0.476	0.502	16.0	13.9	1.7
162-983C	162-983C-17H-4,64-65	Working half	168.05	1325.60	0.213	0.446	5.0	12.2	16.1
162-983C	162-983C-17H-4,144-145	Working half	168.89	1330.53	0.432	0.432	14.1	11.8	0.0
162-983C	162-983C-17H-5,80-81	Working half	169.72	1335.04	0.238	0.238	6.0	5.9	0.0
162-983C	162-983C-17H-6,12-13	Working half	170.56	1339.24	0.233	0.337	5.8	8.9	7.8
162-983C	162-983C-17H-6,96-97	Working half	171.39	1343.54	0.420	0.420	13.6	11.4	0.0
162-983C	162-983C-17H-7,32-33	Working half	172.23	1346.90	0.388	0.391	12.3	10.5	0.2
162-983C	162-983C-18H-1,40-41	Working half	173.06	1350.18	0.482	0.482	16.2	13.3	0.0
162-983C	162-983C-18H-1,124-125	Working half	173.90	1353.56	0.538	0.538	18.6	15.0	0.0
162-983C	162-983C-18H-2,56-57	Working half	174.74	1357.31	0.432	0.477	14.1	13.1	3.0
162-983C	162-983C-18H-2,140-141	Working half	175.57	1360.90	0.436	0.442	14.3	12.1	0.4
162-983C	162-983C-18H-3,76-77	Working half	176.41	1364.54	0.339	0.367	10.3	9.8	2.0
162-983C	162-983C-18H-4,8-9	Working half	177.24	1368.65	0.383	0.383	12.1	10.3	0.0
162-983C	162-983C-18H-4,92-93	Working half	178.08	1373.70	0.340	0.435	10.3	11.8	6.6
162-983C	162-983C-18H-5,24-25	Working half	178.91	1382.24	0.272	0.272	7.5	6.9	0.0
162-983C	162-983C-18H-5,108-109	Working half	179.75	1396.12	0.304	0.377	8.8	10.1	5.3
162-983C	162-983C-18H-6,40-41	Working half	180.58	1402.66	0.324	0.324	9.6	8.5	0.0
162-983C	162-983C-18H-6,124-125	Working half	181.42	1406.22	0.382	0.413	12.0	11.2	2.2
162-983C	162-983C-18H-7,60-61	Working half	182.26	1409.68	0.336	0.337	10.1	8.9	0.1
162-983A	162-983A-18H-6,48-49	Working half	183.09	1413.17	0.272	0.342	7.5	9.0	5.2
162-983C	162-983C-19H-1,48-49	Working half	183.93	1416.75	0.340	0.345	10.3	9.1	0.4
162-983C	162-983C-19H-1,132-133	Working half	184.76	1420.97	0.288	0.438	8.1	11.9	10.5
162-983C	162-983C-19H-2,68-69	Working half	185.60	1425.25	0.285	0.285	8.0	7.3	0.0
162-983C	162-983C-19H-3,0-1	Working half	186.43	1429.40	0.388	0.388	12.3	10.4	0.0
