Site	Hole	Core	Type	Section	Section_Depth	Sample_Depth	Age	d13C_C26FA 	d13C_C28FA 	d13C_C30FA 	d13C_C32FAC32	Mean_d13C_C26-C32FA 	Est_CO2_linear	Est_CO2_exponential 	
U1446	C	2	H	6	45	16.01	75.27	-22.25	-24.92	-25.63	-26.17	-24.74	225.70	223.15	
U1446	C	2	H	6	75	16.31	75.90	-23.86	-24.32	-25.13	-24.50	-24.45	222.73	220.26	
U1446	C	2	H	6	105	16.61	76.53	-23.00	-23.03	-24.00	-23.50	-23.38	211.72	209.90	
U1446	C	2	H	6	135	16.91	77.16	-23.17	-23.18	-23.56	-23.67	-23.40	211.86	210.02	
U1446	C	2	H	7	17	17.23	77.83	-23.32	-23.40	-23.51	-24.41	-23.66	214.56	212.53	
U1446	A	3	H	3	29	17.848	79.11	-25.49	-25.99	-25.01	-26.52	-25.75	236.10	233.54	
U1446	A	3	H	3	59	18.148	79.74	-25.19	-25.53	-25.47	-26.16	-25.59	234.37	231.78	
U1446	A	3	H	3	89	18.448	80.36	-25.46	-25.89	-25.72	-26.38	-25.86	237.21	234.68	
U1446	A	3	H	3	119	18.748	80.99	-25.73	-26.13	-25.91	-26.93	-26.17	240.42	237.99	
U1446	A	3	H	3	147	19.028	81.58	-25.19	-25.27	-25.11	-25.65	-25.31	231.49	228.87	
U1446	A	3	H	4	31	19.368	82.29	-24.60	-24.21	-23.95	-24.00	-24.19	220.03	217.68	
U1446	A	3	H	4	60	19.658	82.90	-23.96	-23.35	-23.43	-23.10	-23.46	212.53	210.64	
U1446	A	3	H	4	91	19.968	83.95	-23.87	-23.09	-23.37	-22.54	-23.22	210.01	208.33	
U1446	A	3	H	4	121	20.268	85.07	-23.88	-23.46	-23.68	-23.26	-23.57	213.69	211.71	
U1446	A	3	H	5	32	20.878	87.32	-25.07	-24.89	-24.96	-24.81	-24.93	227.66	225.07	
U1446	A	3	H	5	62	21.178	88.35	-24.60	-24.57	-25.16	-24.80	-24.78	226.12	223.55	
U1446	A	3	H	5	92	21.478	89.37	-24.36	-24.41	-25.45	-24.82	-24.76	225.88	223.32	
U1446	A	3	H	5	122	21.778	90.40	-24.51	-24.65	-25.86	-25.10	-25.03	228.65	226.04	
U1446	A	3	H	5	148	22.038	91.29	-24.63	-24.83	-26.09	-25.37	-25.23	230.68	228.06	
U1446	A	3	H	6	31	22.368	92.42	-24.57	-25.29	-26.42	-25.72	-25.50	233.48	230.88	
U1446	A	3	H	6	61	22.668	93.45	-24.21	-24.00	-24.90	-24.17	-24.32	221.35	218.93	
U1446	A	3	H	6	91	22.968	94.47	-24.68	-25.12	-26.24	-25.90	-25.49	233.33	230.73	
U1446	C	3	H	4	63	23.263	95.50	-24.01	-25.10	-25.10	-26.13	-25.08	229.21	226.60	
U1446	C	3	H	4	93	23.563	96.53	-24.14	-25.07	-25.44	-25.47	-25.03	228.65	226.05	
U1446	C	3	H	4	123	23.863	97.56	-24.53	-25.11	-25.33	-26.81	-25.44	232.90	230.29	
U1446	C	3	H	5	10	24.183	98.65	-25.74	-24.77	-24.97	-25.79	-25.32	231.59	228.98	
U1446	C	3	H	5	40	24.483	99.68	-23.07	-23.71	-24.18	-24.01	-23.74	215.44	213.35	
U1446	C	3	H	5	70	24.783	100.71	-23.38	-23.44	-23.94	-23.55	-23.58	213.75	211.77	
U1446	C	3	H	5	100	25.083	101.73	-24.18	-24.53	-25.17	-25.19	-24.77	225.97	223.41	
U1446	C	3	H	5	130	25.383	102.76	-24.53	-24.41	-24.55	-24.17	-24.41	222.31	219.86	
U1446	C	3	H	6	14	25.683	103.79	-23.93	-24.32	-24.93	-24.70	-24.47	222.91	220.44	
U1446	C	3	H	6	44	25.983	104.81	-23.67	-24.26	-26.93	-25.31	-25.04	228.80	226.20	
U1446	C	3	H	6	74	26.283	105.84	-23.45	-23.09	-23.34	-23.38	-23.31	211.01	209.25	
U1446	A	4	H	2	86	26.582	106.87	-25.19	-25.63	-26.50	-26.69	-26.00	238.67	236.18	
U1446	A	4	H	2	116	26.882	107.89	-24.20	-24.22	-24.92	-24.71	-24.51	223.32	220.83	
U1446	A	4	H	2	146	27.182	108.94	-24.45	-24.67	-25.31	-25.20	-24.91	227.38	224.80	
U1446	A	4	H	3	28	27.502	110.18	-24.72	-25.10	-26.20	-25.78	-25.45	232.95	230.34	
U1446	A	4	H	3	58	27.802	111.35	-25.00	-25.33	-26.44	-25.73	-25.62	234.75	232.17	
U1446	A	4	H	3	88	28.102	112.52	-25.05	-25.63	-27.09	-26.09	-25.97	238.27	235.77	
U1446	A	4	H	3	118	28.402	113.68	-25.17	-26.03	-27.76	-26.20	-26.29	241.62	239.25	
U1446	A	4	H	3	148	28.702	114.85	-25.27	-26.11	-27.21	-26.17	-26.19	240.56	238.14	
U1446	A	4	H	4	30	29.022	116.10	-25.58	-26.49	-27.52	-27.17	-26.69	245.73	243.59	
U1446	A	4	H	4	60	29.322	117.26	-25.74	-26.99	-28.36	-28.25	-27.33	252.33	250.74	
U1446	A	4	H	4	90	29.622	118.43	-25.78	-27.53	-28.20	-28.63	-27.53	254.38	253.00	
U1446	A	4	H	4	120	29.922	119.60	-25.97	-27.86	-28.45	-29.15	-27.86	257.70	256.70	
U1446	A	4	H	4	147	30.192	120.65	-26.45	-28.08	-28.96	-29.81	-28.33	262.53	262.19	
U1446	A	4	H	5	32	30.542	122.01	-27.44	-29.12	-29.44	-30.47	-29.12	270.68	271.71	
U1446	A	4	H	5	62	30.842	123.18	-27.23	-28.54	-29.75	-30.90	-29.11	270.55	271.56	
U1446	A	4	H	5	92	31.142	124.35	-27.10	-28.53	-29.45	-30.62	-28.93	268.71	269.38	
U1446	A	4	H	5	122	31.442	125.51	-27.24	-28.79	-29.44	-30.84	-29.08	270.25	271.20	
U1446	C	4	H	3	17	31.727	126.60	-24.66	-27.07	-27.38	-29.35	-27.11	250.08	248.28	
U1446	C	4	H	3	17	31.727	126.60	-24.66	-27.07	-27.38	-29.35	-27.11	250.08	248.28	
U1446	C	4	H	3	77	32.327	128.94	-22.80	-22.89	-24.37	-22.93	-23.25	210.34	208.63	
U1446	C	4	H	3	107	32.627	131.66	-22.25	-22.30	-22.95	-22.02	-22.38	201.44	200.66	
U1446	C	4	H	3	136	32.917	134.31	-21.84	-23.32	-22.54	-22.63	-22.58	203.48	202.46	
U1446	C	4	H	4	21	33.227	137.15	-22.33	-22.27	-21.52	-23.64	-22.44	202.07	201.21	
U1446	C	4	H	4	51	33.527	139.89	-22.31	-21.80	-21.52	-22.18	-21.95	197.03	196.82	
U1446	C	4	H	4	81	33.827	142.64	-21.31	-21.80	-20.83	-21.42	-21.34	190.70	191.44	
U1446	C	4	H	4	81	33.827	142.64	-21.14	-20.52	-20.66	-21.52	-20.96	186.81	188.21	
U1446	C	4	H	4	111	34.127	145.38	-21.39	-20.90	-21.10	-21.56	-21.24	189.66	190.57	
U1446	C	4	H	4	111	34.127	145.38	-21.60	-21.46	-21.68	-20.46	-21.30	190.31	191.12	
U1446	C	4	H	4	141	34.427	148.13	-21.87	-21.27	-21.58	-20.94	-21.41	191.48	192.10	
U1446	C	4	H	4	141	34.427	148.13	-21.10	-21.14	-22.53	-21.46	-21.56	192.95	193.34	
U1446	C	4	H	5	25	34.727	150.87	-21.86	-21.46	-22.23	-20.46	-21.50	192.38	192.86	
U1446	C	4	H	5	115	35.627	159.11	-22.59	-22.60	-21.58	-22.17	-22.24	199.93	199.34	
U1446	C	4	H	5	145	35.927	161.85	-23.89	-23.57	-22.24	-22.46	-23.04	208.18	206.67	
U1446	C	4	H	6	26	36.207	164.41	-22.72	-23.00	-24.37	-22.84	-23.23	210.15	208.46	
U1446	C	4	H	6	56	36.507	167.16	-23.06	-23.72	-23.94	-23.59	-23.58	213.74	211.77	
U1446	C	4	H	6	86	36.807	169.90	-23.16	-23.89	-24.72	-24.60	-24.09	219.00	216.69	
U1446	C	4	H	6	116	37.107	172.65	-22.58	-22.60	-22.75	-20.97	-22.23	199.86	199.28	
U1446	C	4	H	6	145	37.397	175.30	-22.60	-22.81	-22.36	-21.09	-22.22	199.73	199.16	
U1446	C	4	H	7	30	37.707	178.14	-23.04	-22.50	-22.60	-23.81	-22.99	207.66	206.20	
U1446	A	5	H	3	84	38.009	180.88	-24.87	-24.71	-25.23	-24.61	-24.85	226.83	224.26	
U1446	A	5	H	3	114	38.309	183.63	-24.45	-24.72	-25.29	-24.53	-24.75	225.77	223.21	
U1446	A	5	H	4	31	38.919	189.21	-25.03	-25.08	-25.68	-24.86	-25.16	230.02	227.41	
U1446	A	5	H	4	61	39.219	191.95	-23.59	-23.57	-24.50	-22.92	-23.64	214.41	212.38	
U1446	A	5	H	4	91	39.519	192.88	-24.36	-23.90	-23.53	-23.16	-23.73	215.34	213.25	
U1446	A	5	H	4	121	39.819	193.72	-23.99	-24.02	-23.73	-23.66	-23.85	216.54	214.37	
U1446	A	5	H	5	7	40.109	194.52	-24.08	-23.22	-23.52	-23.01	-23.46	212.51	210.63	
U1446	A	5	H	5	37	40.409	195.36	-24.50	-24.78	-25.18	-25.22	-24.92	227.51	224.92	
U1446	A	5	H	5	67	40.709	196.19	-25.18	-25.66	-26.50	-26.86	-26.05	239.13	236.66	
U1446	A	5	H	5	97	41.009	197.02	-25.58	-26.40	-27.08	-27.59	-26.66	245.44	243.29	
U1446	A	5	H	5	127	41.309	197.86	-26.02	-27.31	-27.94	-28.60	-27.47	253.74	252.29	
U1446	A	5	H	6	6	41.599	198.66	-25.96	-27.03	-27.70	-28.50	-27.30	251.96	250.33	
U1446	A	5	H	6	41	41.949	199.64	-25.78	-26.73	-27.06	-27.67	-26.81	246.96	244.91	
U1446	A	5	H	6	66	42.199	200.33	-25.66	-26.70	-27.02	-27.64	-26.76	246.42	244.34	
U1446	A	5	H	6	96	42.499	201.17	-25.21	-25.90	-25.73	-25.81	-25.66	235.13	232.55	
U1446	A	5	H	6	126	42.799	202.00	-24.44	-24.63	-24.57	-23.87	-24.38	221.97	219.53	
U1446	A	5	H	7	9	43.099	202.83	-23.96	-23.86	-24.35	-23.07	-23.81	216.13	213.99	
U1446	C	5	H	4	45	43.396	203.67	-23.97	-23.97	-24.94	-24.93	-24.45	222.70	220.23	
U1446	C	5	H	4	105	43.996	205.40	-23.59	-24.80	-22.99	-22.40	-23.44	212.36	210.48	
U1446	C	5	H	5	14	44.596	207.30	-25.06	-25.39	-26.26	-25.21	-25.48	233.26	230.66	
U1446	C	5	H	5	44	44.896	208.25	-25.07	-26.61	-26.73	-27.35	-26.44	243.14	240.85	
U1446	C	5	H	5	74	45.196	209.20	-25.29	-25.97	-26.89	-27.92	-26.51	243.90	241.66	
U1446	C	5	H	5	104	45.496	210.15	-25.68	-26.59	-27.16	-27.52	-26.74	246.20	244.10	
U1446	C	5	H	5	134	45.796	211.11	-25.39	-26.86	-27.33	-27.78	-26.84	247.26	245.23	
U1446	C	5	H	6	13	46.096	212.06	-25.61	-26.30	-26.67	-28.35	-26.73	246.14	244.03	
U1446	C	5	H	6	43	46.396	213.01	-25.61	-26.44	-26.44	-27.95	-26.61	244.89	242.71	
U1446	C	5	H	6	103	46.996	214.91	-25.83	-26.47	-26.56	-27.94	-26.70	245.80	243.67	
U1446	C	5	H	6	103	46.996	214.91	-25.86	-26.60	-26.52	-28.05	-26.76	246.38	244.29	
U1446	C	5	H	6	133	47.296	215.86	-25.54	-26.08	-25.91	-26.42	-25.99	238.47	235.98	
U1446	C	5	H	7	12	47.596	216.81	-24.92	-24.83	-24.59	-25.55	-24.97	228.08	225.48	
U1446	A	6	H	2	118	47.869	217.67	-23.97	-23.27	-23.24	-22.86	-23.33	211.21	209.43	
U1446	A	6	H	3	30	48.199	218.71	-24.37	-24.01	-22.21	-21.61	-23.05	208.30	206.78	
U1446	A	6	H	3	60	48.499	219.66	-22.33	-21.83	-21.63	-21.08	-21.72	194.62	194.76	
U1446	A	6	H	4	9	48.809	220.65	-22.76	-21.97	-21.78	-21.39	-21.97	197.25	197.01	
U1446	A	6	H	4	39	49.109	221.78	-22.64	-22.23	-22.38	-21.69	-22.24	199.93	199.34	
U1446	A	6	H	4	72	49.439	223.29	-23.57	-23.26	-23.03	-22.41	-23.07	208.46	206.92	
U1446	A	6	H	4	99	49.709	224.52	-23.95	-23.53	-23.55	-22.38	-23.35	211.40	209.61	
U1446	A	6	H	4	129	50.009	225.89	-23.93	-23.95	-25.18	-23.92	-24.25	220.60	218.22	
U1446	A	6	H	5	20	50.319	227.31	-23.92	-23.92	-24.80	-23.51	-24.04	218.45	216.17	
U1446	C	6	H	2	12	50.629	228.72	-24.60	-25.09	-25.79	-26.15	-25.41	232.53	229.92	
U1446	C	6	H	2	42	50.929	230.09	-24.81	-24.76	-25.94	-24.26	-24.94	227.74	225.15	
U1446	C	6	H	2	72	51.229	231.34	-24.73	-25.04	-25.52	-25.65	-25.23	230.76	228.14	
U1446	C	6	H	2	132	51.829	233.86	-25.90	-27.30	-27.45	-28.55	-27.30	251.96	250.33	
U1446	C	6	H	3	22	52.139	235.15	-25.57	-26.80	-27.85	-28.23	-27.11	250.04	248.24	
U1446	C	6	H	3	52	52.439	236.41	-26.34	-27.46	-28.02	-28.94	-27.69	255.98	254.77	
U1446	C	6	H	3	52	52.439	236.41	-26.00	-27.60	-27.88	-28.60	-27.52	254.25	252.85	
U1446	C	6	H	3	82	52.739	237.66	-26.38	-28.71	-28.21	-28.45	-27.94	258.54	257.64	
U1446	C	6	H	3	112	53.039	238.92	-26.73	-28.67	-28.22	-29.84	-28.37	262.94	262.66	
