Site	Hole	Core	Type	Section	Section_Depth	Sample_Depth	Age	d13C_C26FA 	d13C_C28FA 	d13C_C30FA 	d13C_C32FAC32	Mean_d13C_C26-C32FA 	Est_CO2_linear	Est_CO2_exponential 	
U1446	A	8	H	7	33	74.029	385.73	-25.28	-26.13	-27.13	-27.65	-26.55	244.27	242.05	
U1446	C	8	H	4	68	74.336	387.54	-25.82	-25.99	-27.80	-26.86	-26.62	244.95	242.77	
U1446	C	8	H	4	98	74.636	389.29	-26.19	-27.14	-28.27	-27.81	-27.35	252.53	250.95	
U1446	C	8	H	4	128	74.936	391.04	-25.85	-27.39	-28.39	-29.01	-27.66	255.68	254.44	
U1446	C	8	H	5	27	75.226	392.74	-26.01	-27.73	-28.90	-29.34	-28.00	259.13	258.32	
U1446	C	8	H	5	57	75.536	394.55	-26.02	-28.13	-29.27	-29.85	-28.32	262.48	262.13	
U1446	C	8	H	5	87	75.836	396.30	-26.31	-28.53	-29.64	-30.48	-28.74	266.81	267.14	
U1446	C	8	H	5	117	76.136	398.05	-27.50	-29.32	-30.09	-31.79	-29.68	276.41	278.61	
U1446	C	8	H	6	61	77.036	403.31	-27.93	-30.12	-30.68	-32.44	-30.29	282.76	286.47	
U1446	C	8	H	6	91	77.336	405.06	-26.44	-28.89	-29.63	-31.33	-29.07	270.18	271.12	
U1446	A	9	H	1	1	77.561	406.41	-26.81	-28.91	-29.62	-30.86	-29.05	270.00	270.90	
U1446	C	8	H	7	11	77.956	408.69	-27.22	-28.87	-29.74	-31.65	-29.37	273.24	274.77	
U1446	A	9	H	1	71	78.261	410.50	-27.01	-28.93	-29.91	-31.14	-29.25	272.00	273.29	
U1446	A	9	H	1	101	78.561	412.25	-26.79	-28.63	-29.36	-30.20	-28.74	266.83	267.17	
U1446	A	9	H	1	131	78.861	414.00	-25.76	-27.75	-29.24	-30.28	-28.26	261.81	261.36	
U1446	A	9	H	2	13	79.171	415.81	-25.77	-27.53	-29.27	-30.26	-28.21	261.31	260.80	
U1446	A	9	H	2	43	79.471	417.57	-25.92	-27.64	-29.20	-30.10	-28.22	261.39	260.88	
U1446	A	9	H	3	17	80.671	424.57	-25.95	-27.38	-28.36	-29.65	-27.83	257.48	256.45	
U1446	A	9	H	3	47	80.971	426.33	-25.93	-27.06	-27.93	-28.96	-27.47	253.73	252.28	
U1446	A	9	H	4	6	81.301	428.27	-22.68	-22.04	-22.91	-21.34	-22.24	200.00	199.40	
U1446	A	9	H	4	34	81.581	431.37	-22.46	-21.79	-22.29	-21.09	-21.91	196.57	196.43	
U1446	A	9	H	4	66	81.901	434.91	-22.80	-22.15	-22.72	-21.11	-22.20	199.52	198.98	
U1446	A	9	H	4	92	82.161	437.45	-21.55	-21.14	-21.53	-20.67	-21.22	189.51	190.45	
U1446	A	9	H	5	30	82.491	439.89	-22.38	-21.77	-21.37	-20.73	-21.56	192.98	193.36	
U1446	A	9	H	5	59	82.781	442.03	-22.70	-22.38	-21.65	-20.61	-21.83	195.79	195.76	
U1446	A	9	H	6	14	83.101	444.40	-21.94	-21.53	-21.26	-20.36	-21.27	190.01	190.86	
U1446	A	9	H	6	44	83.401	446.62	-22.67	-22.62	-22.76	-21.10	-22.29	200.48	199.82	
U1446	C	9	H	1	143	83.775	449.36	-22.09	-22.22	-21.51	-20.51	-21.58	193.21	193.56	
U1446	C	9	H	2	32	84.115	451.87	-23.55	-23.31	-22.93	-22.25	-23.01	207.91	206.43	
U1446	C	9	H	2	62	84.415	454.09	-23.05	-22.01	-22.34	-21.29	-22.17	199.28	198.77	
U1446	C	9	H	2	92	84.715	456.31	-22.98	-23.25	-22.35	-21.58	-22.54	203.08	202.10	
U1446	C	9	H	2	122	85.015	458.53	-23.47	-23.98	-23.01	-22.05	-23.13	209.09	207.49	
U1446	C	9	H	3	13	85.325	460.82	-23.79	-23.52	-24.21	-22.78	-23.58	213.70	211.73	
U1446	C	9	H	3	73	85.925	465.26	-21.79	-22.20	-22.40	-21.44	-21.96	197.08	196.87	
U1446	C	9	H	3	103	86.225	467.48	-24.60	-25.27	-25.49	-23.90	-24.82	226.47	223.89	
U1446	C	9	H	4	9	86.515	469.62	-24.87	-25.55	-26.80	-25.83	-25.76	236.21	233.65	
U1446	C	9	H	4	39	86.815	471.84	-25.04	-25.85	-26.42	-25.69	-25.75	236.05	233.49	
U1446	C	9	H	4	69	87.115	474.06	-25.40	-26.46	-27.35	-27.74	-26.74	246.22	244.12	
U1446	C	9	H	4	99	87.415	476.28	-24.75	-26.00	-26.52	-27.77	-26.26	241.30	238.91	
U1446	C	9	H	4	129	87.715	478.50	-25.60	-26.67	-26.71	-26.55	-26.38	242.56	240.24	
U1446	C	9	H	5	23	88.005	480.64	-23.74	-25.13	-25.46	-24.93	-24.82	226.45	223.88	
U1446	C	9	H	5	53	88.305	482.86	-24.31	-26.09	-26.00	-26.18	-25.65	234.98	232.40	
U1446	A	10	H	2	53	88.785	486.41	-25.53	-26.53	-27.19	-27.83	-26.77	246.54	244.46	
U1446	A	10	H	2	113	89.385	490.85	-25.22	-26.46	-27.22	-28.02	-26.73	246.13	244.02	
U1446	A	10	H	3	1	89.685	492.46	-25.70	-27.03	-28.24	-28.83	-27.45	253.53	252.05	
U1446	A	10	H	3	33	90.005	494.15	-25.74	-27.23	-28.64	-29.11	-27.68	255.88	254.67	
U1446	A	10	H	3	62	90.295	495.68	-25.01	-26.63	-28.25	-28.70	-27.15	250.41	248.64	
U1446	A	10	H	3	92	90.595	497.27	-25.09	-26.25	-27.68	-28.41	-26.86	247.43	245.42	
U1446	A	10	H	3	122	90.895	498.85	-24.81	-25.91	-27.05	-28.29	-26.52	243.93	241.68	
U1446	A	10	H	4	24	91.195	500.44	-25.19	-26.06	-26.31	-27.75	-26.32	241.96	239.61	
U1446	A	10	H	4	53	91.485	501.97	-25.09	-26.10	-26.01	-27.36	-26.14	240.05	237.61	
U1446	A	10	H	4	84	91.795	503.61	-24.81	-25.76	-25.75	-27.02	-25.84	236.95	234.41	
U1446	A	10	H	5	13	92.105	505.25	-24.67	-25.52	-25.82	-26.86	-25.72	235.70	233.13	
U1446	A	10	H	5	43	92.405	506.83	-25.13	-25.84	-26.25	-27.48	-26.17	240.41	237.99	
U1446	A	10	H	5	73	92.705	508.42	-24.95	-25.67	-26.59	-27.54	-26.18	240.52	238.10	
U1446	A	10	H	5	103	93.005	510.00	-25.20	-25.91	-27.24	-27.89	-26.56	244.38	242.16	
U1446	A	10	H	6	9	93.325	511.69	-24.91	-26.13	-27.45	-27.76	-26.56	244.41	242.19	
U1446	A	10	H	6	39	93.625	513.40	-24.92	-26.01	-27.54	-27.84	-26.58	244.56	242.35	
U1446	A	10	H	6	73	93.965	516.02	-25.18	-26.50	-28.36	-28.91	-27.24	251.35	249.66	
U1446	A	10	H	6	99	94.225	518.02	-25.24	-26.33	-28.17	-28.91	-27.16	250.54	248.78	
U1446	A	10	H	6	129	94.525	520.32	-25.06	-26.15	-27.32	-28.46	-26.75	246.29	244.19	
U1446	A	10	H	7	16	94.825	522.63	-25.33	-26.13	-26.98	-28.26	-26.67	245.56	243.41	
U1446	C	10	H	2	95	95.039	524.25	-24.68	-25.14	-25.79	-27.78	-25.85	237.07	234.53	
U1446	C	10	H	3	51	95.939	531.16	-24.18	-23.24	-23.96	-23.57	-23.74	215.38	213.28	
U1446	C	10	H	3	81	96.239	533.47	-23.69	-23.14	-23.32	-22.59	-23.19	209.69	208.04	
U1446	C	10	H	3	111	96.539	535.87	-23.41	-23.04	-23.52	-22.46	-23.11	208.89	207.32	
U1446	C	10	H	3	141	96.839	538.54	-24.34	-24.40	-24.53	-24.24	-24.38	221.97	219.53	
U1446	C	10	H	4	28	97.149	541.31	-22.89	-23.26	-23.57	-23.85	-23.39	211.80	209.97	
U1446	C	10	H	4	58	97.449	543.98	-24.23	-24.58	-24.71	-24.18	-24.42	222.42	219.96	
U1446	C	10	H	4	88	97.749	546.65	-23.85	-24.73	-26.25	-25.89	-25.18	230.21	227.60	
U1446	C	10	H	4	118	98.049	549.32	-24.80	-25.57	-25.13	-25.65	-25.29	231.29	228.68	
U1446	C	10	H	5	38	98.669	554.40	-23.83	-24.19	-24.32	-25.28	-24.41	222.25	219.80	
U1446	C	10	H	5	68	98.969	556.23	-25.08	-26.49	-25.90	-26.42	-25.97	238.34	235.84	
U1446	C	10	H	5	98	99.269	558.06	-25.39	-26.02	-26.47	-28.41	-26.57	244.51	242.30	
U1446	C	10	H	5	128	99.569	559.90	-26.29	-27.41	-27.62	-29.52	-27.71	256.21	255.03	
U1446	C	10	H	6	18	99.889	561.85	-25.55	-25.97	-27.05	-26.13	-26.17	240.41	237.99	
U1446	A	11	H	2	15	99.904	561.97	-24.07	-24.29	-25.63	-24.94	-24.73	225.59	223.04	
U1446	A	11	H	2	45	100.204	563.80	-24.25	-24.98	-26.16	-26.19	-25.39	232.38	229.76	
U1446	A	11	H	3	18	100.504	565.63	-24.78	-25.49	-26.73	-27.01	-26.01	238.67	236.19	
U1446	A	11	H	3	48	100.804	567.47	-24.96	-26.34	-27.55	-27.64	-26.62	245.00	242.82	
U1446	A	11	H	3	78	101.104	569.30	-25.07	-26.51	-27.89	-28.29	-26.94	248.28	246.34	
U1446	A	11	H	3	108	101.404	571.13	-25.15	-26.67	-28.16	-28.75	-27.18	250.79	249.05	
U1446	A	11	H	3	137	101.694	572.90	-25.90	-27.20	-27.95	-28.74	-27.45	253.48	252.00	
U1446	A	11	H	4	29	102.014	574.85	-25.98	-27.59	-28.37	-29.29	-27.81	257.22	256.16	
U1446	A	11	H	4	59	102.314	576.68	-25.88	-27.15	-28.04	-29.34	-27.60	255.11	253.81	
U1446	A	11	H	4	87	102.594	578.39	-25.09	-25.41	-26.17	-27.28	-25.99	238.50	236.01	
U1446	A	11	H	4	119	102.914	580.35	-23.19	-22.90	-23.23	-22.87	-23.05	208.28	206.76	
U1446	A	11	H	5	5	103.214	582.23	-24.04	-24.24	-23.72	-23.73	-23.93	217.37	215.16	
U1446	A	11	H	5	35	103.514	584.13	-24.07	-24.48	-25.05	-24.03	-24.41	222.24	219.80	
U1446	A	11	H	5	65	103.814	586.02	-24.09	-24.48	-25.72	-25.42	-24.93	227.59	225.00	
U1446	A	11	H	5	95	104.114	587.92	-24.71	-25.30	-26.93	-26.43	-25.84	236.98	234.45	
U1446	A	11	H	5	125	104.414	589.81	-24.29	-24.97	-26.14	-25.41	-25.20	230.38	227.77	
U1446	A	11	H	6	4	104.714	591.71	-24.65	-25.27	-25.82	-26.61	-25.59	234.39	231.79	
U1446	A	11	H	6	25	104.924	593.04	-24.71	-25.31	-25.77	-27.23	-25.75	236.09	233.54	
U1446	C	11	H	2	52	104.939	593.10	-26.29	-26.31	-26.65	-27.60	-26.71	245.94	243.82	
U1446	C	11	H	3	1	105.129	594.30	-24.37	-24.93	-24.32	-25.97	-24.90	227.30	224.71	
U1446	C	11	H	3	103	106.149	600.74	-25.91	-26.51	-26.55	-27.11	-26.52	243.97	241.73	
U1446	C	11	H	4	27	106.449	602.64	-24.01	-25.10	-25.97	-26.03	-25.28	231.17	228.56	
U1446	C	11	H	4	57	106.749	604.53	-25.68	-26.99	-28.11	-27.80	-27.15	250.39	248.62	
U1446	C	11	H	4	87	107.049	606.43	-25.71	-25.83	-27.31	-26.78	-26.41	242.83	240.52	
U1446	C	11	H	5	19	107.349	608.32	-25.10	-26.70	-27.79	-28.28	-26.97	248.55	246.62	
U1446	C	11	H	5	49	107.649	610.22	-24.63	-26.17	-27.13	-28.74	-26.66	245.46	243.31	
U1446	C	11	H	6	15	107.959	612.17	-26.63	-28.52	-29.24	-30.13	-28.63	265.67	265.82	
U1446	C	11	H	6	75	108.559	615.96	-24.90	-26.68	-27.20	-28.29	-26.77	246.53	244.45	
U1446	C	11	H	6	105	108.859	617.86	-25.67	-27.53	-27.35	-28.19	-27.19	250.82	249.09	
U1446	C	11	H	6	135	109.159	619.75	-24.71	-25.60	-25.98	-27.91	-26.05	239.11	236.64	
U1446	C	11	H	7	55	109.779	624.94	-23.63	-23.59	-24.30	-23.69	-23.80	216.03	213.90	
U1446	C	11	H	7	85	110.079	628.06	-23.54	-23.93	-24.45	-22.43	-23.59	213.81	211.83	
U1446	C	11	H	7	115	110.379	631.19	-23.91	-23.70	-23.68	-22.98	-23.57	213.60	211.63	
U1446	A	12	H	1	40	110.618	633.69	-22.65	-22.14	-22.68	-21.40	-22.22	199.74	199.17	
U1446	A	12	H	1	54	110.758	635.15	-22.69	-21.98	-22.05	-21.27	-22.00	197.47	197.21	
U1446	A	12	H	2	26	111.078	638.48	-23.04	-22.25	-22.03	-21.29	-22.15	199.05	198.57	
U1446	A	12	H	2	54	111.358	641.39	-24.02	-23.38	-22.57	-22.09	-23.02	207.95	206.46	
U1446	A	12	H	2	86	111.678	644.73	-23.57	-22.66	-22.38	-21.72	-22.58	203.48	202.46	
U1446	A	12	H	2	116	111.978	647.85	-23.82	-23.59	-23.12	-22.22	-23.19	209.74	208.09	
U1446	A	12	H	3	6	112.298	651.18	-24.10	-23.82	-23.52	-22.71	-23.54	213.33	211.38	
U1446	A	12	H	3	37	112.608	654.41	-25.01	-24.76	-23.91	-22.91	-24.15	219.59	217.25	
U1446	A	12	H	3	77	113.008	658.58	-22.76	-22.47	-22.59	-21.56	-22.34	201.04	200.31	
U1446	A	12	H	3	115	113.388	662.55	-23.11	-22.81	-22.15	-21.73	-22.45	202.14	201.28	
U1446	A	12	H	4	20	113.808	667.12	-22.55	-22.04	-21.71	-21.13	-21.86	196.02	195.96	
U1446	A	12	H	4	50	114.108	670.39	-22.70	-22.05	-22.11	-21.65	-22.13	198.82	198.37	
U1446	A	12	H	4	80	114.408	673.66	-23.59	-23.43	-23.66	-23.32	-23.50	212.92	211.01	
U1446	A	12	H	4	110	114.708	676.92	-23.81	-24.41	-24.89	-23.79	-24.23	220.39	218.02	
U1446	C	12	H	2	70	114.826	678.23	-23.80	-24.29	-24.20	-24.57	-24.22	220.28	217.92	
U1446	C	12	H	2	89	115.016	680.30	-23.32	-23.22	-24.71	-23.70	-23.73	215.34	213.25	
U1446	C	12	H	2	119	115.316	683.57	-25.38	-25.96	-26.36	-28.64	-26.58	244.62	242.41	
U1446	C	12	H	3	20	115.626	686.94	-24.72	-25.26	-26.41	-27.48	-25.97	238.29	235.79	
U1446	C	12	H	3	50	115.926	690.20	-25.48	-26.17	-26.35	-29.13	-26.78	246.69	244.62	
U1446	C	12	H	3	80	116.226	692.20	-25.55	-26.85	-27.67	-28.67	-27.18	250.79	249.05	
U1446	C	12	H	3	110	116.526	694.19	-25.62	-26.64	-26.99	-29.21	-27.11	250.07	248.26	
U1446	C	12	H	4	25	116.856	696.37	-25.52	-26.36	-27.04	-28.25	-26.79	246.75	244.68	
U1446	C	12	H	4	52	117.126	698.16	-25.71	-26.28	-27.54	-28.75	-27.07	249.62	247.78	
U1446	C	12	H	4	82	117.426	700.15	-26.00	-27.03	-27.31	-28.71	-27.26	251.62	249.95	
U1446	C	12	H	4	112	117.726	702.14	-25.67	-25.88	-27.93	-28.64	-27.03	249.21	247.34	
U1446	C	12	H	5	63	118.636	708.17	-25.08	-25.17	-27.11	-29.11	-26.62	244.98	242.80	
U1446	C	12	H	5	93	118.936	710.16	-25.76	-25.90	-26.03	-27.01	-26.18	240.44	238.02	
U1446	C	12	H	6	4	119.546	714.21	-21.21	-20.90	-21.24	-20.47	-20.95	186.74	188.16	
U1446	C	12	H	6	34	119.846	716.19	-21.68	-21.84	-22.64	-20.70	-21.72	194.58	194.73	
U1446	C	12	H	6	64	120.146	718.18	-21.67	-22.21	-22.20	-20.65	-21.68	194.24	194.44	
U1446	C	12	H	6	94	120.446	723.61	-23.12	-23.71	-22.82	-22.66	-23.08	208.60	207.05	
U1446	C	12	H	7	6	121.036	734.69	-23.66	-24.55	-24.13	-23.96	-24.08	218.85	216.56	
U1446	C	12	H	7	37	121.346	740.51	-22.28	-22.67	-22.61	-21.43	-22.25	200.04	199.43	
U1446	C	12	H	7	67	121.646	746.15	-20.61	-20.93	-21.07	-19.78	-20.60	183.07	185.16	
U1446	C	12	H	7	97	121.946	748.06	-21.24	-21.44	-20.80	-20.51	-21.00	187.22	188.55	
U1446	C	12	H	7	127	122.246	749.71	-21.58	-20.97	-20.67	-20.56	-20.94	186.64	188.07	
U1446	C	12	H	8	12	122.596	751.64	-21.67	-21.67	-21.87	-21.28	-21.62	193.62	193.91	
U1446	C	12	H	8	39	122.866	753.12	-21.92	-22.01	-22.41	-21.69	-22.01	197.61	197.33	
U1446	C	12	H	8	69	123.166	754.78	-22.94	-23.38	-23.56	-23.20	-23.27	210.56	208.83	
U1446	C	12	H	8	99	123.466	756.43	-23.97	-24.64	-24.93	-25.08	-24.66	224.80	222.27	
U1446	A	13	H	3	25	123.687	757.81	-23.44	-23.79	-24.58	-23.88	-23.92	217.25	215.04	
U1446	A	13	H	3	55	123.987	759.94	-24.91	-25.62	-25.90	-26.95	-25.84	237.03	234.49	
U1446	A	13	H	3	85	124.287	762.07	-23.81	-24.09	-24.80	-24.69	-24.35	221.63	219.20	
U1446	A	13	H	3	115	124.587	764.20	-24.01	-24.29	-24.88	-25.82	-24.75	225.77	223.22	
U1446	A	13	H	4	6	124.917	766.54	-24.52	-25.29	-26.83	-27.58	-26.06	239.20	236.73	
U1446	A	13	H	4	36	125.217	768.67	-23.58	-24.13	-25.67	-25.46	-24.71	225.36	222.82	
U1446	A	13	H	4	66	125.517	770.80	-24.94	-26.02	-27.13	-27.31	-26.35	242.23	239.89	
U1446	A	13	H	4	96	125.817	772.93	-25.50	-26.60	-27.76	-28.09	-26.99	248.78	246.87	
U1446	A	13	H	4	126	126.117	775.06	-25.91	-27.06	-27.82	-28.84	-27.41	253.09	251.57	
U1446	A	13	H	5	15	126.427	777.26	-26.03	-27.14	-28.23	-29.41	-27.70	256.12	254.94	
U1446	A	13	H	5	45	126.727	779.39	-26.20	-27.06	-27.97	-29.21	-27.61	255.13	253.83	
U1446	A	13	H	5	75	127.027	781.52	-26.84	-27.49	-28.20	-29.36	-27.97	258.89	258.04	
U1446	A	13	H	5	105	127.327	783.65	-26.49	-27.27	-27.62	-29.32	-27.68	255.84	254.63	
U1446	A	13	H	5	135	127.627	785.79	-25.78	-26.25	-26.08	-26.11	-26.06	239.22	236.75	
U1446	A	13	H	6	25	127.947	788.06	-24.33	-23.99	-24.48	-23.41	-24.05	218.60	216.32	
U1446	A	13	H	6	55 	128.247	790.19	-22.89	-21.52	-22.92	-20.36	-21.92	196.70	196.54	
U1446	A	13	H	6	85 	128.547	792.72	-20.25	-20.47	-20.65	-21.31	-20.67	183.83	185.77	
U1446	A	13	H	6	115 	128.847	795.59	-21.67	-21.36	-21.42	-19.31	-20.94	186.62	188.06	
U1446	A	13	H	7	6 	129.147	798.46	-21.46	-21.26	-23.01	-20.64	-21.59	193.33	193.66	
U1446	A	13	H	7	36 	129.447	801.33	-22.16	-21.84	-21.61	-20.90	-21.63	193.66	193.94	
U1446	A	13	H	7	66 	129.747	804.20	-21.81	-21.42	-21.93	-21.69	-21.71	194.55	194.70	
U1446	A	13	H	7	96 	130.047	807.07	-22.35	-21.93	-21.46	-22.05	-21.95	196.95	196.76	
U1446	A	13	H	7	126 	130.347	809.93	-22.76	-22.48	-22.49	-22.45	-22.54	203.09	202.12	
U1446	A	14	H	1	1 	130.459	810.99	-23.70	-24.60	-24.88	-25.52	-24.68	225.01	222.47	
U1446	A	13	H	CC	30 	130.677	813.09	-22.72	-22.84	-23.64	-24.12	-23.33	211.18	209.41	
U1446	A	14	H	1	30 	130.749	813.76	-23.88	-23.75	-24.91	-26.85	-24.85	226.80	224.23	
U1446	A	14	H	1	60 	131.049	816.63	-22.68	-22.99	-24.65	-23.82	-23.53	213.28	211.33	
U1446	A	14	H	2	30 	131.389	819.88	-23.43	-24.48	-24.39	-25.71	-24.50	223.20	220.71	
U1446	A	14	H	2	56 	131.649	822.37	-24.12	-26.13	-25.16	-27.13	-25.63	234.86	232.28	
U1446	A	14	H	2	86 	131.949	825.23	-24.16	-23.67	-24.67	-25.04	-24.38	222.01	219.57	
U1446	A	14	H	2	116 	132.249	828.10	-23.89	-25.43	-25.66	-27.56	-25.64	234.88	232.30	
U1446	A	14	H	3	12 	132.539	830.88	-24.83	-25.97	-27.37	-28.32	-26.62	245.01	242.83	
U1446	A	14	H	3	42 	132.839	833.74	-24.10	-24.36	-27.15	-27.16	-25.69	235.46	232.89	
U1446	A	14	H	3	76 	133.179	837.00	-23.58	-24.39	-25.09	-24.88	-24.48	223.04	220.56	
U1446	A	14	H	3	132 	133.739	842.35	-23.74	-25.39	-25.86	-24.18	-24.79	226.21	223.65	
U1446	A	14	H	4	52 	134.359	848.28	-24.40	-26.94	-26.74	-28.96	-26.76	246.47	244.38	
U1446	A	14	H	4	112 	134.959	854.02	-24.63	-26.35	-27.90	-29.34	-27.05	249.46	247.61	
U1446	A	14	H	5	1 	135.269	856.98	-26.68	-28.26	-29.29	-28.98	-28.30	262.25	261.87	
U1446	A	14	H	5	32 	135.579	859.94	-22.80	-22.48	-23.54	-22.69	-22.88	206.54	205.19	
U1446	A	14	H	5	92 	136.179	865.68	-21.88	-21.93	-22.94	-21.00	-21.94	196.87	196.69	
U1446	A	14	H	5	122 	136.479	868.59	-21.85	-21.52	-22.94	-20.44	-21.68	194.27	194.46	
U1446	A	14	H	6	12 	136.789	871.61	-21.71	-21.87	-22.28	-20.60	-21.62	193.55	193.85	
U1446	A	14	H	6	71 	137.379	877.36	-21.08	-20.57	-20.45	-19.16	-20.31	180.19	182.83	
U1446	A	14	H	6	102 	137.689	880.37	-21.54	-21.26	-20.82	-20.02	-20.91	186.30	187.79	
U1446	A	14	H	6	132 	137.989	883.34	-21.77	-21.30	-20.95	-19.90	-20.98	187.02	188.38	
U1446	A	14	H	7	11 	138.299	886.42	-21.98	-21.26	-20.87	-19.33	-20.86	185.80	187.38	
U1446	A	14	H	7	41 	138.599	889.40	-22.06	-21.45	-20.97	-20.12	-21.15	188.78	189.84	
U1446	A	14	H	7	71 	138.899	892.37	-21.58	-21.22	-21.47	-20.18	-21.11	188.37	189.50	
U1446	A	14	H	7	101 	139.199	895.35	-22.30	-22.84	-22.42	-20.55	-22.03	197.81	197.50	
U1446	A	14	H	7	131 	139.499	898.33	-21.43	-21.60	-22.19	-20.86	-21.52	192.56	193.01	
U1446	A	14	H	8	19 	139.799	901.30	-23.88	-25.16	-23.25	-23.19	-23.87	216.74	214.56	
U1446	A	14	H	8	49 	140.099	904.28	-25.29	-26.55	-23.65	-22.74	-24.56	223.80	221.30	
U1446	A	14	H	8	72 	140.329	906.56	-23.20	-23.51	-22.16	-22.37	-22.81	205.80	204.53	
U1446	C	14	H	5	78	140.528	908.55	-23.60	-25.10	-23.07	-22.67	-23.61	214.08	212.08	
U1446	C	14	H	5	108	140.828	911.53	-24.65	-26.21	-23.72	-23.20	-24.44	222.62	220.15	
U1446	C	14	H	6	5	141.138	914.60	-23.83	-24.13	-23.37	-23.06	-23.60	213.92	211.93	
U1446	C	14	H	6	35	141.438	917.58	-21.24	-22.09	-20.74	-20.37	-21.11	188.37	189.50	
U1446	C	14	H	6	65	141.738	919.40	-21.96	-22.91	-21.40	-20.93	-21.80	195.47	195.48	
U1446	C	14	H	6	95	142.038	921.20	-21.65	-21.39	-21.69	-21.18	-21.48	192.14	192.65	
U1446	C	14	H	6	125	142.338	923.00	-22.39	-26.48	-22.80	-22.27	-23.48	212.75	210.85	
U1446	C	14	H	7	15	142.638	924.81	-21.84	-21.98	-23.36	-24.37	-22.89	206.62	205.27	
U1446	C	14	H	7	45	142.938	926.61	-22.35	-24.22	-24.05	-22.30	-23.23	210.13	208.45	
U1446	C	14	H	7	105	143.538	929.99	-23.14	-23.35	-24.02	-24.41	-23.73	215.28	213.19	
U1446	C	14	H	7	135	143.838	931.67	-22.23	-22.81	-23.49	-22.53	-22.76	205.37	204.14	
U1446	C	14	H	8	23	144.138	933.35	-22.96	-23.77	-23.52	-23.85	-23.53	213.18	211.25	
U1446	C	14	H	8	53	144.438	935.03	-23.55	-24.44	-24.91	-25.12	-24.50	223.25	220.77	
U1446	A	15	H	2	73 	144.557	935.70	-27.19	-24.38	-25.37	-25.07	-25.50	233.50	230.89	
U1446	A	15	H	2	103 	144.857	937.38	-22.70	-23.52	-24.19	-24.11	-23.63	214.24	212.23	
U1446	A	15	H	2	133 	145.157	939.06	-22.80	-24.26	-24.97	-26.32	-24.59	224.11	221.60	
U1446	A	15	H	3	23 	145.477	940.85	-23.65	-24.82	-24.91	-23.79	-24.29	221.09	218.68	
U1446	A	15	H	3	53 	145.777	942.52	-23.85	-25.35	-25.36	-25.99	-25.14	229.76	227.15	
U1446	A	15	H	3	83 	146.077	944.20	-23.40	-25.52	-27.00	-27.08	-25.75	236.07	233.51	
U1446	A	15	H	3	113 	146.377	945.88	-25.52	-26.63	-26.28	-27.55	-26.50	243.73	241.47	
U1446	A	15	H	4	1 	146.667	947.50	-25.07	-26.61	-27.35	-29.37	-27.10	249.92	248.11	
U1446	A	15	H	4	33 	146.987	949.30	-24.39	-25.58	-27.14	-28.88	-26.50	243.72	241.47	
U1446	A	15	H	4	63 	147.287	950.97	-24.59	-25.69	-26.73	-29.11	-26.53	244.07	241.83	
U1446	A	15	H	4	93 	147.587	952.65	-23.85	-24.54	-25.26	-27.52	-25.29	231.34	228.73	
U1446	A	15	H	4	123 	147.887	954.33	-24.43	-24.88	-25.80	-27.28	-25.60	234.51	231.93	
U1446	A	15	H	5	10 	148.197	956.07	-23.75	-26.87	-23.59	-24.22	-24.61	224.31	221.79	
U1446	A	15	H	5	40 	148.497	957.74	-23.49	-23.39	-22.38	-21.02	-22.57	203.38	202.37	
U1446	A	15	H	5	70 	148.797	959.42	-21.05	-21.36	-22.65	-21.32	-21.60	193.35	193.68	
U1446	A	15	H	5	100 	149.097	961.10	-22.45	-22.80	-23.52	-22.11	-22.72	204.90	203.72	
U1446	A	15	H	5	119 	149.287	962.16	-22.13	-22.08	-22.32	-23.58	-22.53	202.92	201.96	
U1446	A	15	H	5	130 	149.397	962.78	-22.37	-23.42	-24.55	-22.91	-23.31	211.00	209.24	
U1446	A	15	H	6	20 	149.707	965.35	-23.27	-22.94	-24.96	-23.92	-23.77	215.71	213.59	
U1446	A	15	H	6	50 	150.007	968.51	-24.30	-22.72	-25.81	-26.01	-24.71	225.35	222.80	
U1446	A	15	H	6	80 	150.307	971.66	-22.43	-21.87	-22.21	-24.14	-22.66	204.30	203.19	
U1446	A	15	H	6	110 	150.607	974.81	-21.97	-22.10	-21.88	-21.21	-21.79	195.33	195.37	
U1446	A	15	H	7	49 	151.507	984.28	-23.88	-23.04	-23.14	-23.33	-23.35	211.36	209.57	
U1446	C	15	H	5	60	151.647	985.75	-23.35	-23.57	-23.52	-24.72	-23.79	215.89	213.77	
U1446	A	15	H	7	79 	151.807	987.43	-21.78	-22.13	-22.69	-24.98	-22.90	206.73	205.36	
U1446	C	15	H	5	90	151.947	988.90	-23.58	-24.24	-24.80	-26.24	-24.72	225.42	222.88	
U1446	C	15	H	5	120	152.247	992.06	-23.77	-23.91	-23.87	-25.50	-24.26	220.75	218.37	
U1446	C	15	H	6	22	152.557	995.31	-24.04	-24.06	-24.10	-25.48	-24.42	222.38	219.92	
U1446	C	15	H	6	52	152.857	998.47	-23.75	-24.21	-23.76	-24.72	-24.11	219.17	216.85	
U1446	C	15	H	6	82	153.157	1001.62	-24.55	-25.48	-23.82	-24.86	-24.68	225.02	222.48	
U1446	C	15	H	6	112	153.457	1004.78	-23.21	-22.50	-22.91	-22.78	-22.85	206.23	204.91	
