Age	d18O
278.0	4.19
278.1	4.31
278.7	
279.1	4.23
279.5	4.31
279.8	4.30
280.4	
280.8	3.98
281.2	3.62
281.7	4.25
282.3	4.03
282.7	
283.3	4.18
283.6	4.02
284.2	4.26
285.1	4.17
285.5	4.00
286.1	4.04
286.9	4.02
287.2	3.92
287.4	3.87
289.1	4.20
289.3	4.03
290.6	4.15
290.8	4.26
291.2	4.11
292.7	4.28
293.1	4.19
293.7	
294.4	4.47
294.6	
295.0	4.48
296.6	4.11
297.8	4.40
298.3	4.37
299.4	4.42
299.9	4.29
301.1	4.63
301.6	4.15
303.2	4.11
304.9	4.33
306.0	4.24
306.5	4.01
308.1	4.16
308.6	4.54
309.8	3.98
310.3	4.09
311.1	3.96
311.4	3.86
312.6	3.97
313.1	3.69
314.4	3.81
314.7	3.75
316.0	4.02
316.4	3.59
317.7	3.85
318.0	4.10
319.9	
320.4	3.88
322.8	3.08
323.5	
325.2	3.57
325.9	
327.6	3.39
328.3	
330.0	3.32
331.7	
332.4	3.57
333.6	3.46
334.6	4.03
334.8	3.54
335.3	
335.5	4.39
336.5	4.89
337.2	4.67
337.4	4.79
338.2	
338.4	4.78
339.1	4.86
339.4	5.23
339.6	3.93
340.3	5.12
341.3	5.14
342.0	4.77
342.2	5.23
343.0	5.16
343.3	4.71
343.7	5.09
343.9	4.78
344.5	5.03
345.3	4.93
345.9	4.64
346.0	4.77
346.8	4.88
347.2	
347.6	4.97
347.8	4.63
348.4	4.78
349.1	4.80
349.7	4.75
349.9	4.75
350.7	4.74
351.1	4.36
351.4	4.64
351.6	4.43
352.2	4.79
353.0	4.76
353.2	4.18
353.6	4.66
353.8	4.83
354.1	4.73
355.3	4.73
356.7	
357.2	4.70
358.6	
359.2	4.79
360.5	
361.1	4.41
363.2	4.39
365.1	4.24
366.3	3.98
366.9	4.22
368.2	4.04
368.8	4.34
370.7	4.27
370.9	4.38
372.7	4.35
374.6	4.32
376.5	4.22
378.4	4.36
380.4	4.11
381.1	
382.3	3.96
384.2	3.93
384.8	4.24
386.1	3.93
386.7	4.60
388.1	4.05
388.8	
389.6	4.34
390.0	4.19
392.0	4.07
393.4	4.25
394.7	4.04
396.8	3.65
398.5	3.30
398.8	3.61
400.2	3.52
401.5	3.33
402.2	3.23
403.5	3.40
406.9	3.21
410.3	3.18
412.3	3.31
412.7	
413.7	3.34
415.0	3.50
415.4	
417.1	3.26
419.1	3.44
419.4	
420.5	3.78
421.8	4.04
422.5	
423.8	3.88
427.2	4.75
430.6	4.79
432.6	5.21
433.0	
434.0	5.40
434.7	5.10
435.8	5.24
436.8	5.04
437.5	5.22
438.3	5.18
438.6	5.22
439.3	4.89
440.0	5.12
440.7	4.81
441.1	5.15
441.4	5.00
442.2	4.99
442.9	5.03
443.6	5.01
444.3	4.78
444.6	5.01
445.0	4.80
445.7	5.00
446.4	5.04
447.1	4.91
447.8	4.93
448.2	5.01
448.5	4.88
449.2	4.76
450.0	4.79
450.7	4.89
451.4	4.70
451.7	4.84
452.1	4.71
452.8	4.67
453.5	4.70
454.2	4.70
454.9	4.61
455.6	4.60
456.0	4.52
456.3	4.58
457.0	4.52
457.8	4.66
458.5	4.62
459.2	4.60
459.5	4.62
459.9	4.82
460.6	4.78
461.3	4.83
462.0	4.65
462.7	4.61
463.1	4.39
463.4	4.49
464.1	4.72
464.8	4.37
465.2	4.62
466.6	4.74
468.0	4.73
468.4	4.62
468.7	4.53
469.5	4.57
470.2	4.65
470.9	4.65
471.6	4.39
471.9	4.36
472.3	4.48
473.0	4.31
473.5	4.52
473.7	4.46
474.4	4.49
475.1	4.66
475.5	4.49
475.8	4.61
476.5	4.54
477.3	4.36
478.0	4.38
478.7	4.37
479.0	4.36
479.4	4.35
480.1	4.36
480.8	3.96
481.5	4.17
482.2	4.13
482.6	4.04
483.6	4.32
484.3	4.12
485.1	3.99
485.8	3.93
486.1	3.87
486.5	3.91
487.2	4.00
487.9	3.91
488.6	3.90
489.3	3.69
489.7	4.15
490.0	3.60
490.7	3.96
491.4	3.73
491.8	3.81
492.5	3.93
492.7	3.55
493.2	3.82
493.9	3.71
494.6	3.84
494.8	3.46
495.3	4.01
496.0	3.76
496.6	4.55
496.8	3.54
497.5	3.39
498.2	3.37
498.5	4.03
498.9	4.00
499.6	3.67
500.3	3.95
501.0	3.81
501.7	3.74
502.1	3.85
502.4	4.08
503.1	4.13
503.5	3.90
503.8	4.05
504.2	4.00
504.6	3.99
504.9	3.99
505.3	3.92
505.6	3.66
505.6	3.94
506.0	3.67
506.3	4.07
506.7	4.35
507.0	3.98
507.4	4.32
507.7	3.98
509.2	4.26
509.9	4.36
510.6	4.26
510.9	4.23
511.3	4.29
512.0	4.35
513.1	4.30
514.2	4.26
515.3	4.29
515.8	4.23
516.4	3.99
517.5	4.14
518.6	4.19
520.8	4.05
521.3	3.82
521.9	4.04
524.1	4.16
526.0	4.17
526.8	4.12
527.9	4.24
529.0	4.25
529.6	4.19
530.1	4.28
531.2	4.27
532.3	4.27
533.4	4.36
534.5	4.51
535.1	4.47
535.6	4.61
536.7	4.60
537.8	4.66
538.9	4.41
540.0	4.82
540.5	4.59
541.1	4.62
542.2	4.70
543.2	4.70
544.3	4.57
545.4	4.68
545.9	4.42
546.5	4.63
547.6	4.65
548.6	4.55
549.7	4.74
550.8	4.59
551.3	4.53
551.9	4.54
553.0	4.59
554.0	4.61
555.1	4.58
556.2	4.43
556.7	4.50
557.3	4.36
558.4	4.38
558.9	4.44
559.4	4.43
560.5	4.25
561.6	4.25
562.7	4.25
563.2	4.35
567.5	3.93
568.6	4.04
569.7	4.05
570.8	3.96
571.9	3.86
572.9	3.84
573.2	3.71
574.0	3.69
575.1	3.83
575.6	3.69
576.2	3.61
577.3	3.58
578.3	3.68
579.4	4.00
580.5	4.00
581.3	3.90
581.6	3.96
582.7	4.39
583.7	4.38
584.0	4.44
584.7	4.34
585.7	4.40
586.4	4.34
586.6	4.31
587.6	4.47
