Time	Iso_tot	Iso_ice	Iso_do	Tsurf	Tdo	Ice_eas	Ice_nam	RSL
0	-0.0029	0.0102	-0.0131	-0.0479	0.057	1.164	0.1107	1.459
0.1001	-0.0035	0.0104	-0.0139	-0.0614	0.0604	1.207	0.1091	1.507
0.2	-0.0039	0.0108	-0.0147	-0.0665	0.0638	1.238	0.1078	1.541
0.3	-0.0043	0.0111	-0.0154	-0.0707	0.067	1.281	0.1101	1.593
0.3999	-0.0047	0.0114	-0.0161	-0.0694	0.0699	1.323	0.1104	1.641
0.5	-0.0049	0.0118	-0.0167	-0.0584	0.0724	1.369	0.1117	1.696
0.6001	-0.0051	0.012	-0.0171	-0.0459	0.0744	1.421	0.1115	1.756
0.7	-0.005	0.0124	-0.0174	-0.0174	0.0756	1.461	0.1128	1.803
0.8	-0.0046	0.0128	-0.0174	0.0347	0.0758	1.506	0.1149	1.843
0.8999	-0.0039	0.0133	-0.0172	0.1027	0.0747	1.57	0.1147	1.906
1	-0.0029	0.0138	-0.0167	0.158	0.0724	1.629	0.1147	1.963
1.1001	-0.0016	0.0143	-0.0159	0.2112	0.0691	1.694	0.1173	2.035
1.2	-0.0002	0.0147	-0.0149	0.2384	0.065	1.773	0.1168	2.117
1.3	0.0015	0.0153	-0.0138	0.2824	0.06	1.838	0.1174	2.185
1.3999	0.0032	0.0157	-0.0125	0.315	0.0543	1.909	0.1173	2.258
1.5	0.0053	0.0164	-0.0111	0.3617	0.0481	1.97	0.1204	2.327
1.6001	0.0074	0.0169	-0.0095	0.3881	0.0414	2.046	0.1231	2.413
1.7	0.0096	0.0176	-0.008	0.4061	0.0347	2.123	0.1279	2.492
1.8	0.0118	0.0181	-0.0063	0.4843	0.0276	2.212	0.1274	2.581
1.8999	0.014	0.0187	-0.0047	0.544	0.0203	2.291	0.131	2.674
2	0.0162	0.0193	-0.0031	0.5563	0.0137	2.362	0.1332	2.757
2.1001	0.0183	0.02	-0.0017	0.5625	0.0074	2.454	0.1329	2.866
2.2	0.0202	0.0206	-0.0004	0.542	0.0018	2.536	0.138	2.969
2.3	0.0219	0.0212	0.0007	0.5275	-0.0031	2.602	0.1392	3.05
2.3999	0.0237	0.022	0.0017	0.5112	-0.0075	2.674	0.1438	3.142
2.5	0.0252	0.0226	0.0026	0.4906	-0.0112	2.765	0.148	3.258
2.6001	0.0266	0.0233	0.0033	0.4631	-0.0143	2.842	0.1549	3.357
2.7	0.0279	0.0239	0.004	0.4476	-0.0172	2.932	0.1549	3.462
2.8	0.0294	0.0248	0.0046	0.4401	-0.0199	3.015	0.1606	3.565
2.8999	0.0308	0.0255	0.0053	0.4319	-0.0229	3.113	0.1666	3.682
3	0.0324	0.0264	0.006	0.4456	-0.0261	3.201	0.1709	3.787
3.1001	0.0342	0.0273	0.0069	0.4504	-0.0298	3.297	0.1858	3.919
3.2	0.0359	0.0281	0.0078	0.4327	-0.0339	3.401	0.2002	4.059
3.3	0.0378	0.0289	0.0089	0.409	-0.0386	3.487	0.212	4.179
3.3999	0.0399	0.0298	0.0101	0.3729	-0.0438	3.571	0.2245	4.301
3.5	0.042	0.0307	0.0113	0.3197	-0.0493	3.65	0.2518	4.438
3.6001	0.0441	0.0314	0.0127	0.2466	-0.0552	3.727	0.2687	4.563
3.7	0.0463	0.0322	0.0141	0.1612	-0.0614	3.804	0.2853	4.691
3.8	0.0486	0.033	0.0156	0.0607	-0.0677	3.885	0.2992	4.808
3.8999	0.0508	0.0338	0.017	-0.057	-0.0739	3.963	0.3198	4.922
4	0.0531	0.0347	0.0184	-0.1823	-0.0801	4.03	0.3388	5.021
4.1001	0.0555	0.0357	0.0198	-0.2812	-0.0862	4.102	0.3618	5.13
4.2	0.0578	0.0366	0.0212	-0.3859	-0.0923	4.203	0.3873	5.276
4.3	0.0601	0.0375	0.0226	-0.4709	-0.0985	4.279	0.4103	5.389
4.3999	0.0624	0.0383	0.0241	-0.535	-0.1046	4.359	0.4363	5.512
4.5	0.0648	0.0393	0.0255	-0.5739	-0.1109	4.431	0.4723	5.635
4.6001	0.0671	0.0401	0.027	-0.6051	-0.1174	4.513	0.496	5.757
4.7	0.0696	0.0411	0.0285	-0.6069	-0.1241	4.591	0.5159	5.87
4.8	0.0724	0.0422	0.0302	-0.5796	-0.1313	4.666	0.5531	5.999
4.8999	0.0753	0.0433	0.032	-0.5455	-0.1391	4.748	0.6142	6.163
5	0.079	0.045	0.034	-0.4432	-0.1477	4.832	0.6657	6.319
5.1001	0.0825	0.0465	0.036	-0.3732	-0.1566	4.968	0.7492	6.571
5.2	0.0863	0.0481	0.0382	-0.2953	-0.1659	5.078	0.8127	6.772
5.3	0.0903	0.0499	0.0404	-0.2117	-0.1756	5.191	0.9047	7.007
5.3999	0.0944	0.0518	0.0426	-0.1446	-0.1852	5.323	0.9887	7.255
5.5	0.0987	0.0539	0.0448	-0.0702	-0.195	5.451	1.0828	7.51
5.6001	0.1031	0.056	0.0471	-0.0034	-0.2047	5.585	1.2033	7.803
5.7	0.1072	0.058	0.0492	0.0166	-0.2138	5.718	1.3284	8.098
5.8	0.1113	0.0602	0.0511	0.0265	-0.2221	5.836	1.4431	8.342
5.8999	0.115	0.0623	0.0527	-0.0083	-0.2292	5.952	1.5727	8.625
6	0.1186	0.0645	0.0541	-0.0429	-0.2351	6.072	1.6915	8.899
6.1001	0.1219	0.0668	0.0551	-0.1024	-0.2397	6.201	1.8224	9.198
6.2	0.1249	0.069	0.0559	-0.1798	-0.2431	6.328	1.9428	9.483
6.3	0.1273	0.0709	0.0564	-0.2891	-0.2452	6.454	2.0644	9.768
6.3999	0.1294	0.0728	0.0566	-0.4124	-0.246	6.571	2.1647	10.017
6.5	0.1316	0.075	0.0566	-0.5126	-0.2459	6.674	2.2652	10.251
6.6001	0.1334	0.0771	0.0563	-0.6375	-0.245	6.802	2.3846	10.536
6.7	0.1349	0.0789	0.056	-0.769	-0.2435	6.899	2.4945	10.774
6.8	0.1366	0.081	0.0556	-0.8734	-0.2418	7.001	2.5857	10.997
6.8999	0.1382	0.083	0.0552	-0.9937	-0.2401	7.111	2.702	11.256
7	0.1398	0.0849	0.0549	-1.106	-0.2386	7.196	2.8185	11.488
7.1001	0.1417	0.0871	0.0546	-1.2012	-0.2376	7.287	2.9401	11.733
7.2	0.1436	0.089	0.0546	-1.3051	-0.2372	7.385	3.0676	11.992
7.3	0.1458	0.0911	0.0547	-1.3929	-0.2377	7.482	3.178	12.231
7.3999	0.1485	0.0935	0.055	-1.4504	-0.2391	7.577	3.3049	12.485
7.5	0.1511	0.0956	0.0555	-1.53	-0.2412	7.7	3.4413	12.784
7.6001	0.1542	0.0981	0.0561	-1.5768	-0.2441	7.795	3.5654	13.036
7.7	0.1577	0.1007	0.057	-1.6067	-0.2477	7.911	3.7175	13.344
7.8	0.1609	0.103	0.0579	-1.6666	-0.2517	8.038	3.8742	13.67
7.8999	0.1646	0.1056	0.059	-1.7091	-0.2563	8.143	4.005	13.941
8	0.1687	0.1085	0.0602	-1.7298	-0.2618	8.278	4.1479	14.261
8.1001	0.1733	0.1115	0.0618	-1.7157	-0.2687	8.419	4.3174	14.618
8.2	0.1785	0.1148	0.0637	-1.6877	-0.2769	8.576	4.4993	15.009
8.3	0.1839	0.118	0.0659	-1.66	-0.2864	8.729	4.7074	15.423
8.3999	0.1901	0.1218	0.0683	-1.5928	-0.2971	8.9	4.8926	15.833
8.5	0.1963	0.1253	0.071	-1.5379	-0.3088	9.063	5.1392	16.304
8.6001	0.203	0.1291	0.0739	-1.4636	-0.3215	9.229	5.3479	16.735
8.7	0.2105	0.1333	0.0772	-1.3421	-0.3354	9.412	5.5825	17.215
8.8	0.2182	0.1376	0.0806	-1.2228	-0.3504	9.628	5.8532	17.775
8.8999	0.2267	0.1423	0.0844	-1.0725	-0.3669	9.862	6.0963	18.324
9	0.236	0.1475	0.0885	-0.9231	-0.3848	10.109	6.3785	18.932
9.1001	0.2457	0.1527	0.093	-0.8015	-0.4043	10.359	6.705	19.595
9.2	0.2561	0.1583	0.0978	-0.6872	-0.4252	10.647	6.9999	20.265
9.3	0.2671	0.1642	0.1029	-0.5995	-0.4475	10.942	7.3284	20.982
9.3999	0.2788	0.1704	0.1084	-0.532	-0.4712	11.233	7.7005	21.745
9.5	0.2909	0.1768	0.1141	-0.4985	-0.4961	11.581	8.0574	22.556
9.6001	0.3034	0.1834	0.12	-0.4998	-0.5217	11.903	8.4475	23.374
9.7	0.316	0.19	0.126	-0.5412	-0.5478	12.239	8.8454	24.218
9.8	0.3286	0.1967	0.1319	-0.623	-0.5736	12.598	9.2208	25.063
9.8999	0.3413	0.2034	0.1379	-0.736	-0.5996	12.937	9.6248	25.918
10	0.3539	0.21	0.1439	-0.8871	-0.6255	13.257	10.041	26.764
10.1	0.3666	0.2167	0.1499	-1.0481	-0.6518	13.576	10.451	27.603
10.2	0.3793	0.2233	0.156	-1.2483	-0.6782	13.873	10.891	28.45
10.3	0.3918	0.2298	0.162	-1.4705	-0.7045	14.172	11.302	29.267
10.4	0.4051	0.237	0.1681	-1.6603	-0.7307	14.444	11.742	30.086
10.5	0.419	0.2449	0.1741	-1.8337	-0.757	14.733	12.262	31.017
10.6	0.4332	0.2531	0.1801	-2.0112	-0.783	14.983	12.912	32.051
10.7	0.4485	0.2624	0.1861	-2.1483	-0.8092	15.21	13.613	33.119
10.8	0.4642	0.2721	0.1921	-2.2688	-0.8351	15.441	14.393	34.28
10.9	0.4803	0.2823	0.198	-2.4094	-0.8607	15.705	15.185	35.495
11	0.4967	0.2929	0.2038	-2.5488	-0.8861	15.95	16.02	36.736
11.1	0.5129	0.3033	0.2096	-2.7464	-0.9112	16.203	16.888	38.026
11.2	0.5297	0.3144	0.2153	-2.9158	-0.936	16.441	17.753	39.294
11.3	0.5466	0.3257	0.2209	-3.0859	-0.9606	16.699	18.672	40.648
11.4	0.5644	0.3378	0.2266	-3.2034	-0.9854	16.918	19.644	42.018
11.5	0.5828	0.3503	0.2325	-3.2957	-1.0107	17.16	20.689	43.497
11.6	0.6018	0.3634	0.2384	-3.357	-1.0367	17.405	21.776	45.03
11.7	0.6208	0.3763	0.2445	-3.4404	-1.0632	17.65	22.905	46.61
11.8	0.6406	0.3898	0.2508	-3.4671	-1.0905	17.906	24.01	48.174
11.9	0.6602	0.403	0.2572	-3.5419	-1.1184	18.191	25.141	49.803
12	0.6799	0.4161	0.2638	-3.6186	-1.1471	18.456	26.241	51.372
12.1	0.6998	0.4292	0.2706	-3.7139	-1.1766	18.74	27.304	52.922
12.2	0.7197	0.4422	0.2775	-3.8322	-1.2067	19.063	28.327	54.47
12.3	0.7399	0.4553	0.2846	-3.9455	-1.2373	19.378	29.344	56.001
12.4	0.7602	0.4684	0.2918	-4.0865	-1.2685	19.735	30.355	57.575
12.5	0.7808	0.4818	0.299	-4.2274	-1.3	20.111	31.333	59.133
12.6	0.8021	0.4957	0.3064	-4.3495	-1.332	20.535	32.305	60.737
12.7	0.8242	0.5103	0.3139	-4.4461	-1.3647	21.062	33.234	62.412
12.8	0.8473	0.5256	0.3217	-4.4939	-1.3986	21.661	34.161	64.167
12.9	0.8696	0.54	0.3296	-4.6315	-1.433	22.329	35.08	65.991
13	0.892	0.5543	0.3377	-4.7827	-1.4682	22.927	35.97	67.703
13.1	0.9137	0.5678	0.3459	-4.9964	-1.5039	23.527	36.834	69.386
13.2	0.9353	0.5811	0.3542	-5.2044	-1.54	24.076	37.669	70.979
13.3	0.9567	0.5942	0.3625	-5.4177	-1.5761	24.633	38.497	72.571
13.4	0.9785	0.6076	0.3709	-5.5883	-1.6127	25.153	39.329	74.125
13.5	0.9998	0.6204	0.3794	-5.771	-1.6494	25.722	40.152	75.726
13.6	1.0213	0.6334	0.3879	-5.9223	-1.6865	26.236	40.963	77.25
13.7	1.0427	0.6462	0.3965	-6.0675	-1.724	26.773	41.759	78.784
13.8	1.0647	0.6595	0.4052	-6.1513	-1.7618	27.296	42.561	80.308
13.9	1.0865	0.6726	0.4139	-6.2498	-1.7997	27.868	43.361	81.885
14	1.1078	0.6851	0.4227	-6.3716	-1.8379	28.431	44.132	83.419
14.1	1.129	0.6974	0.4316	-6.5013	-1.8765	28.956	44.864	84.864
14.2	1.1501	0.7096	0.4405	-6.6412	-1.9152	29.469	45.584	86.283
14.3	1.1712	0.7217	0.4495	-6.7813	-1.9543	29.988	46.294	87.696
14.4	1.1925	0.734	0.4585	-6.9179	-1.9937	30.485	47.017	89.098
14.5	1.2136	0.746	0.4676	-7.0824	-2.0333	30.976	47.753	90.51
14.6	1.2344	0.7576	0.4768	-7.2646	-2.0731	31.424	48.497	91.881
14.7	1.2559	0.7699	0.486	-7.4113	-2.1132	31.857	49.231	93.223
14.8	1.2771	0.7818	0.4953	-7.5724	-2.1536	32.311	49.999	94.628
14.9	1.2985	0.7939	0.5046	-7.7132	-2.1941	32.711	50.789	95.996
15	1.3189	0.8049	0.514	-7.929	-2.2346	33.115	51.584	97.375
15.1	1.3391	0.8158	0.5233	-8.1445	-2.2751	33.473	52.324	98.639
15.2	1.3594	0.8268	0.5326	-8.3371	-2.3157	33.793	53.081	99.877
15.3	1.3793	0.8374	0.5419	-8.5431	-2.3563	34.109	53.833	101.11
15.4	1.3987	0.8475	0.5512	-8.7674	-2.3966	34.394	54.569	102.28
15.5	1.4184	0.8579	0.5605	-8.9544	-2.4368	34.677	55.278	103.42
15.6	1.4379	0.8683	0.5696	-9.1503	-2.4767	34.947	56.025	104.59
15.7	1.4571	0.8784	0.5787	-9.3439	-2.516	35.207	56.778	105.75
15.8	1.4756	0.8881	0.5875	-9.5786	-2.5543	35.458	57.525	106.9
15.9	1.4942	0.8981	0.5961	-9.7911	-2.5915	35.681	58.243	107.98
16	1.5113	0.9069	0.6044	-10.066	-2.6278	35.903	58.987	109.1
16.1	1.5276	0.9151	0.6125	-10.354	-2.6629	36.073	59.656	110.06
16.2	1.5435	0.9232	0.6203	-10.61	-2.6971	36.235	60.28	110.96
16.3	1.5588	0.9308	0.628	-10.844	-2.7304	36.401	60.883	111.85
16.4	1.5735	0.9381	0.6354	-11.072	-2.7625	36.529	61.493	112.7
16.5	1.5878	0.9453	0.6425	-11.28	-2.7935	36.668	62.055	113.5
16.6	1.6011	0.9518	0.6493	-11.491	-2.8232	36.805	62.579	114.26
16.7	1.614	0.9582	0.6558	-11.68	-2.8515	36.917	63.1	114.99
16.8	1.6267	0.9646	0.6621	-11.83	-2.8787	37.039	63.584	115.69
16.9	1.6393	0.9712	0.6681	-11.933	-2.9046	37.152	64.088	116.4
17	1.6506	0.9769	0.6737	-12.104	-2.929	37.284	64.589	117.12
17.1	1.6611	0.9822	0.6789	-12.285	-2.9517	37.374	65.027	117.73
17.2	1.6713	0.9876	0.6837	-12.453	-2.9728	37.459	65.424	118.29
17.3	1.6806	0.9925	0.6881	-12.646	-2.9919	37.55	65.824	118.85
17.4	1.6895	0.9974	0.6921	-12.821	-3.0093	37.627	66.206	119.38
17.5	1.6976	1.0019	0.6957	-13.018	-3.0248	37.729	66.55	119.89
17.6	1.7047	1.0059	0.6988	-13.236	-3.0382	37.824	66.85	120.35
17.7	1.7115	1.01	0.7015	-13.427	-3.05	37.917	67.118	120.76
17.8	1.7174	1.0136	0.7038	-13.636	-3.0601	38.01	67.385	121.18
17.9	1.7231	1.0174	0.7057	-13.792	-3.0684	38.096	67.616	121.54
18	1.7273	1.02	0.7073	-14.002	-3.0753	38.182	67.856	121.92
18.1	1.7308	1.0222	0.7086	-14.223	-3.0808	38.241	68.011	122.16
18.2	1.7336	1.0241	0.7095	-14.43	-3.0848	38.277	68.153	122.37
18.3	1.7359	1.0257	0.7102	-14.625	-3.0877	38.312	68.278	122.55
18.4	1.7375	1.0269	0.7106	-14.819	-3.0894	38.333	68.393	122.71
18.5	1.7387	1.028	0.7107	-14.985	-3.09	38.352	68.477	122.83
18.6	1.7398	1.0292	0.7106	-15.123	-3.0896	38.366	68.575	122.95
18.7	1.7403	1.03	0.7103	-15.245	-3.0883	38.393	68.652	123.07
18.8	1.7409	1.0311	0.7098	-15.316	-3.0862	38.426	68.705	123.17
18.9	1.7411	1.032	0.7091	-15.384	-3.083	38.469	68.767	123.29
19	1.74	1.0319	0.7081	-15.5	-3.0786	38.514	68.813	123.4
19.1	1.7384	1.0316	0.7068	-15.622	-3.0731	38.519	68.809	123.4
19.2	1.7362	1.031	0.7052	-15.747	-3.0661	38.498	68.822	123.39
19.3	1.7342	1.0308	0.7034	-15.833	-3.0581	38.479	68.805	123.35
19.4	1.7319	1.0305	0.7014	-15.894	-3.0497	38.49	68.808	123.36
19.5	1.7295	1.0301	0.6994	-15.929	-3.0408	38.499	68.808	123.37
19.6	1.727	1.0298	0.6972	-15.936	-3.0315	38.495	68.828	123.39
19.7	1.7242	1.0292	0.695	-15.929	-3.0219	38.49	68.841	123.4
19.8	1.7212	1.0284	0.6928	-15.914	-3.0123	38.509	68.83	123.41
19.9	1.7185	1.0278	0.6907	-15.822	-3.0031	38.515	68.811	123.4
20	1.7152	1.0265	0.6887	-15.759	-2.9945	38.52	68.799	123.39
20.1	1.712	1.0251	0.6869	-15.691	-2.9864	38.523	68.731	123.31
20.2	1.7089	1.0237	0.6852	-15.618	-2.979	38.509	68.662	123.22
20.3	1.7062	1.0226	0.6836	-15.517	-2.9722	38.495	68.591	123.12
20.4	1.7037	1.0216	0.6821	-15.424	-2.9659	38.493	68.525	123.04
20.5	1.7014	1.0206	0.6808	-15.339	-2.9599	38.486	68.487	122.99
20.6	1.6991	1.0197	0.6794	-15.255	-2.9539	38.476	68.447	122.93
20.7	1.6968	1.0187	0.6781	-15.2	-2.9481	38.468	68.415	122.89
20.8	1.6947	1.0181	0.6766	-15.143	-2.9419	38.455	68.365	122.82
20.9	1.6931	1.018	0.6751	-15.041	-2.9354	38.469	68.336	122.8
21	1.6904	1.017	0.6734	-15.039	-2.9279	38.496	68.333	122.82
21.1	1.6874	1.0159	0.6715	-15.038	-2.9195	38.481	68.272	122.74
21.2	1.6844	1.015	0.6694	-15.033	-2.9104	38.471	68.221	122.67
21.3	1.6807	1.0137	0.667	-15.064	-2.9002	38.474	68.158	122.6
21.4	1.6769	1.0124	0.6645	-15.077	-2.8892	38.446	68.087	122.48
21.5	1.6732	1.0113	0.6619	-15.063	-2.8779	38.434	68	122.37
21.6	1.6689	1.0097	0.6592	-15.063	-2.8661	38.429	67.943	122.3
21.7	1.6645	1.0081	0.6564	-15.056	-2.854	38.411	67.857	122.18
21.8	1.6602	1.0065	0.6537	-15.009	-2.8422	38.386	67.77	122.05
21.9	1.6567	1.0056	0.6511	-14.896	-2.8308	38.398	67.669	121.95
22	1.6522	1.0037	0.6485	-14.85	-2.8195	38.419	67.601	121.9
22.1	1.6481	1.0021	0.646	-14.784	-2.8087	38.397	67.481	121.73
22.2	1.6443	1.0007	0.6436	-14.698	-2.7984	38.4	67.365	121.6
22.3	1.6405	0.9992	0.6413	-14.642	-2.7884	38.404	67.264	121.49
22.4	1.6363	0.9973	0.639	-14.624	-2.7784	38.366	67.182	121.35
22.5	1.6326	0.9958	0.6368	-14.599	-2.7685	38.334	67.071	121.19
22.6	1.6296	0.995	0.6346	-14.537	-2.7591	38.327	66.975	121.07
22.7	1.6266	0.9941	0.6325	-14.496	-2.7499	38.33	66.931	121.02
22.8	1.6235	0.9931	0.6304	-14.474	-2.7408	38.338	66.879	120.97
22.9	1.6206	0.9923	0.6283	-14.444	-2.7317	38.318	66.84	120.9
23	1.617	0.9909	0.6261	-14.463	-2.7223	38.319	66.792	120.85
23.1	1.6133	0.9894	0.6239	-14.475	-2.7126	38.334	66.677	120.73
23.2	1.6091	0.9875	0.6216	-14.5	-2.7026	38.345	66.55	120.6
23.3	1.6048	0.9856	0.6192	-14.503	-2.6923	38.318	66.443	120.45
23.4	1.6005	0.9837	0.6168	-14.474	-2.6818	38.296	66.312	120.27
23.5	1.5961	0.9817	0.6144	-14.438	-2.6715	38.285	66.179	120.1
23.6	1.5916	0.9794	0.6122	-14.365	-2.6616	38.265	66.045	119.93
23.7	1.5865	0.9766	0.6099	-14.33	-2.6519	38.255	65.886	119.73
23.8	1.5821	0.9743	0.6078	-14.217	-2.6427	38.207	65.713	119.48
23.9	1.5783	0.9724	0.6059	-14.058	-2.6343	38.199	65.554	119.29
24	1.5744	0.9703	0.6041	-13.92	-2.6264	38.192	65.429	119.14
24.1	1.5708	0.9684	0.6024	-13.774	-2.6192	38.16	65.299	118.95
24.2	1.5672	0.9664	0.6008	-13.667	-2.6122	38.142	65.173	118.78
24.3	1.5643	0.9649	0.5994	-13.527	-2.6059	38.124	65.045	118.62
24.4	1.5611	0.9631	0.598	-13.442	-2.5999	38.118	64.947	118.5
24.5	1.5583	0.9617	0.5966	-13.356	-2.5941	38.081	64.821	118.31
24.6	1.5554	0.96	0.5954	-13.292	-2.5888	38.056	64.726	118.17
24.7	1.5525	0.9582	0.5943	-13.245	-2.5839	38.049	64.595	118.01
24.8	1.5495	0.9563	0.5932	-13.237	-2.5791	38.048	64.435	117.83
24.9	1.5471	0.9549	0.5922	-13.194	-2.5748	38.035	64.27	117.62
25	1.5446	0.9532	0.5914	-13.156	-2.5711	38.044	64.141	117.48
25.1	1.5419	0.9513	0.5906	-13.156	-2.5679	38.039	63.992	117.31
25.2	1.5393	0.9493	0.59	-13.153	-2.5654	38.01	63.832	117.09
25.3	1.537	0.9474	0.5896	-13.137	-2.5637	37.994	63.667	116.88
25.4	1.5346	0.9452	0.5894	-13.125	-2.5628	37.985	63.496	116.67
25.5	1.5322	0.9428	0.5894	-13.126	-2.5625	37.96	63.32	116.44
25.6	1.5301	0.9406	0.5895	-13.119	-2.5631	37.927	63.13	116.19
25.7	1.5282	0.9384	0.5898	-13.114	-2.5643	37.922	62.922	115.94
25.8	1.5263	0.9361	0.5902	-13.109	-2.5662	37.891	62.745	115.7
25.9	1.5247	0.9339	0.5908	-13.087	-2.5689	37.847	62.577	115.46
26	1.5235	0.9319	0.5916	-13.043	-2.5724	37.825	62.397	115.23
26.1	1.5221	0.9296	0.5925	-13.03	-2.5762	37.797	62.238	115.01
26.2	1.5209	0.9274	0.5935	-13.001	-2.5805	37.751	62.071	114.77
26.3	1.52	0.9254	0.5946	-12.949	-2.5853	37.725	61.908	114.55
26.4	1.519	0.9232	0.5958	-12.906	-2.5905	37.7	61.744	114.33
26.5	1.5176	0.9205	0.5971	-12.891	-2.596	37.659	61.576	114.09
26.6	1.516	0.9176	0.5984	-12.882	-2.6017	37.609	61.369	113.8
26.7	1.5146	0.9149	0.5997	-12.866	-2.6075	37.555	61.152	113.48
26.8	1.5131	0.912	0.6011	-12.842	-2.6137	37.512	60.928	113.18
26.9	1.5119	0.9092	0.6027	-12.795	-2.6204	37.45	60.717	112.86
27	1.5107	0.9064	0.6043	-12.74	-2.6275	37.397	60.506	112.56
27.1	1.5095	0.9035	0.606	-12.69	-2.6347	37.357	60.281	112.25
27.2	1.5086	0.9009	0.6077	-12.627	-2.6423	37.338	60.023	111.94
27.3	1.5076	0.8981	0.6095	-12.576	-2.6499	37.326	59.768	111.63
27.4	1.5066	0.8953	0.6113	-12.534	-2.6576	37.299	59.506	111.3
27.5	1.5058	0.8928	0.613	-12.494	-2.6653	37.261	59.247	110.96
27.6	1.5046	0.8899	0.6147	-12.5	-2.6726	37.231	58.995	110.63
27.7	1.5035	0.8873	0.6162	-12.505	-2.6793	37.174	58.725	110.26
27.8	1.5025	0.8849	0.6176	-12.512	-2.6852	37.14	58.463	109.92
27.9	1.5013	0.8825	0.6188	-12.551	-2.6903	37.123	58.208	109.6
28	1.4999	0.8802	0.6197	-12.603	-2.6944	37.108	57.95	109.29
28.1	1.4982	0.8779	0.6203	-12.684	-2.6971	37.086	57.696	108.97
28.2	1.4961	0.8755	0.6206	-12.77	-2.6983	37.064	57.452	108.67
28.3	1.4936	0.873	0.6206	-12.88	-2.6983	37.051	57.186	108.34
28.4	1.4906	0.8703	0.6203	-12.99	-2.697	37.04	56.905	108.01
28.5	1.4876	0.8679	0.6197	-13.092	-2.6945	37.022	56.627	107.67
28.6	1.4841	0.8652	0.6189	-13.198	-2.691	36.993	56.38	107.35
28.7	1.4804	0.8625	0.6179	-13.299	-2.6866	36.945	56.125	107
28.8	1.4765	0.8598	0.6167	-13.386	-2.6815	36.914	55.868	106.67
28.9	1.4721	0.8567	0.6154	-13.5	-2.6757	36.872	55.607	106.32
29	1.468	0.854	0.614	-13.56	-2.6696	36.816	55.337	105.95
29.1	1.4639	0.8514	0.6125	-13.607	-2.6633	36.773	55.107	105.63
29.2	1.4597	0.8486	0.6111	-13.64	-2.657	36.745	54.856	105.31
29.3	1.4554	0.8458	0.6096	-13.67	-2.6506	36.708	54.614	104.99
29.4	1.451	0.8429	0.6081	-13.697	-2.6441	36.673	54.373	104.67
29.5	1.4466	0.84	0.6066	-13.711	-2.6375	36.635	54.121	104.34
29.6	1.442	0.837	0.605	-13.733	-2.6305	36.589	53.877	104.01
29.7	1.4375	0.8341	0.6034	-13.747	-2.6233	36.536	53.634	103.67
29.8	1.4327	0.831	0.6017	-13.765	-2.6159	36.485	53.402	103.34
29.9	1.4278	0.8279	0.5999	-13.807	-2.6082	36.418	53.168	103
30	1.4233	0.8252	0.5981	-13.793	-2.6006	36.364	52.92	102.65
30.1	1.419	0.8226	0.5964	-13.781	-2.5931	36.337	52.691	102.35
30.2	1.4147	0.82	0.5947	-13.756	-2.5858	36.317	52.474	102.08
30.3	1.4106	0.8174	0.5932	-13.724	-2.5789	36.279	52.269	101.8
30.4	1.4065	0.8149	0.5916	-13.693	-2.5723	36.239	52.076	101.53
30.5	1.4026	0.8124	0.5902	-13.643	-2.5662	36.193	51.888	101.26
30.6	1.3986	0.8096	0.589	-13.599	-2.5607	36.163	51.695	101.01
30.7	1.3953	0.8074	0.5879	-13.506	-2.556	36.115	51.49	100.72
30.8	1.3924	0.8054	0.587	-13.393	-2.5521	36.098	51.323	100.51
30.9	1.389	0.8028	0.5862	-13.324	-2.5487	36.076	51.149	100.28
31	1.3865	0.8009	0.5856	-13.207	-2.546	36.033	50.965	100.02
31.1	1.384	0.7989	0.5851	-13.09	-2.544	36.009	50.823	99.828
31.2	1.3823	0.7975	0.5848	-12.957	-2.5428	35.985	50.675	99.631
31.3	1.3803	0.7957	0.5846	-12.876	-2.5418	35.972	50.561	99.484
31.4	1.3787	0.7942	0.5845	-12.792	-2.5413	35.947	50.425	99.3
31.5	1.3774	0.7929	0.5845	-12.719	-2.5412	35.94	50.286	99.131
31.6	1.3763	0.7918	0.5845	-12.674	-2.5415	35.928	50.173	98.988
31.7	1.3753	0.7906	0.5847	-12.641	-2.542	35.909	50.072	98.85
31.8	1.3746	0.7898	0.5848	-12.616	-2.5428	35.9	49.97	98.722
31.9	1.3735	0.7884	0.5851	-12.63	-2.5438	35.912	49.859	98.608
32	1.3726	0.7873	0.5853	-12.648	-2.5447	35.901	49.734	98.451
32.1	1.3718	0.7863	0.5855	-12.656	-2.5457	35.899	49.61	98.307
32.2	1.3704	0.7847	0.5857	-12.699	-2.5464	35.896	49.502	98.179
32.3	1.3692	0.7834	0.5858	-12.708	-2.547	35.881	49.359	97.998
32.4	1.3678	0.7819	0.5859	-12.72	-2.5474	35.878	49.222	97.836
32.5	1.3664	0.7805	0.5859	-12.726	-2.5474	35.862	49.088	97.664
32.6	1.3653	0.7794	0.5859	-12.685	-2.5473	35.849	48.947	97.487
32.7	1.3638	0.778	0.5858	-12.67	-2.5468	35.847	48.838	97.359
32.8	1.3621	0.7766	0.5855	-12.653	-2.5455	35.83	48.716	97.199
32.9	1.36	0.775	0.585	-12.656	-2.5434	35.812	48.581	97.024
33	1.358	0.7738	0.5842	-12.648	-2.5401	35.795	48.436	96.838
