1	0.1627519714977170E-01	0.4068337899307937E+00	0.2098560774622779E+01
2	0.1585014989173078E-01	0.4046314303285188E+00	0.2397656662447144E+01
3	0.1533970553450452E-01	0.4025410228521181E+00	0.2705314878269721E+01
4	0.1483548077812866E-01	0.4006169797694719E+00	0.3009609116749589E+01
5	0.1431647243633636E-01	0.3989009643996893E+00	0.3313412726335608E+01
6	0.1377452858317541E-01	0.3974365551364828E+00	0.3626109866775195E+01
7	0.1320864570190611E-01	0.3962542271929103E+00	0.3933662662199989E+01
8	0.1257771336773313E-01	0.3953768477282271E+00	0.4244145361432192E+01
9	0.1203963610723036E-01	0.3948181839808562E+00	0.4557756073137259E+01
10	0.1138415500849486E-01	0.3945853345435034E+00	0.4872830962641849E+01
11	0.1073915631301862E-01	0.3946720401314630E+00	0.5187426632934143E+01
12	0.1016219139080416E-01	0.3950691228797494E+00	0.5506731940795374E+01
13	0.9476579424510695E-02	0.3957572928143694E+00	0.5825111448826774E+01
14	0.8868656367526862E-02	0.3967117961147458E+00	0.6151453004498277E+01
15	0.8211698998537232E-02	0.3979020201358350E+00	0.1866843765408319E+00
16	0.7603711281526577E-02	0.3992941376536251E+00	0.5172689572126572E+00
17	0.6971062443147833E-02	0.4008484216004263E+00	0.8512534121814053E+00
18	0.6318723642545676E-02	0.4025258308928679E+00	0.1180337520493885E+01
19	0.5721827451914762E-02	0.4042828925814436E+00	0.1526622014227398E+01
20	0.5150806153665704E-02	0.4060768251415044E+00	0.1875182256766904E+01
21	0.4487587402895977E-02	0.4078678817950374E+00	0.2244599485052895E+01
22	0.3979908081131560E-02	0.4096139556469372E+00	0.2619566829913481E+01
23	0.3454178378783511E-02	0.4112781078873434E+00	0.3028524851557370E+01
24	0.2989736539814954E-02	0.4128266019836861E+00	0.3487297443895345E+01
25	0.2629291373473849E-02	0.4142284859181933E+00	0.3963120653706588E+01
26	0.2402467234566218E-02	0.4154550013101297E+00	0.4495029814898467E+01
27	0.2402736178372211E-02	0.4164848124266383E+00	0.5063632424836285E+01
28	0.2432749086359023E-02	0.4172955566587945E+00	0.5603569960626030E+01
29	0.2733574728372175E-02	0.4178722010786641E+00	0.6110697546315459E+01
30	0.3050709057897540E-02	0.4182009661644990E+00	0.2744059955007563E+00
31	0.3465553030802111E-02	0.4182752552207098E+00	0.7019750778799336E+00
32	0.3897949362259476E-02	0.4180886666926155E+00	0.1086820244859845E+01
33	0.4306840416414067E-02	0.4176438258952639E+00	0.1440042827233223E+01
34	0.4811094418951328E-02	0.4169434632327934E+00	0.1793963904014232E+01
35	0.5227417786656635E-02	0.4160000901079834E+00	0.2121314391110978E+01
36	0.5644939699597085E-02	0.4148270765298482E+00	0.2452029631207884E+01
37	0.6101751559223077E-02	0.4134457824953271E+00	0.2760981075669882E+01
38	0.6505755660203742E-02	0.4118795083744148E+00	0.3078597593517269E+01
39	0.6881835663043395E-02	0.4101609579242741E+00	0.3390693530578631E+01
40	0.7295731568638944E-02	0.4083219781971869E+00	0.3686980646577786E+01
41	0.7651879080164638E-02	0.4064024065010671E+00	0.3997367357470924E+01
42	0.8037124826922835E-02	0.4044466996966598E+00	0.4297060576252777E+01
43	0.8358351307613752E-02	0.4024984239171591E+00	0.4593765597815278E+01
44	0.8712821721223854E-02	0.4006056968905055E+00	0.4892816076433340E+01
45	0.9074629158952159E-02	0.3988204775258308E+00	0.5188914741796671E+01
46	0.9327330533853224E-02	0.3971879852478865E+00	0.5484267714808442E+01
47	0.9693592569084588E-02	0.3957554288908829E+00	0.5776697853022114E+01
48	0.9976731605763657E-02	0.3945702148896051E+00	0.6068445409062975E+01
49	0.1024922769070069E-01	0.3936675842109005E+00	0.8006938256121643E-01
50	0.1053399894079009E-01	0.3930833921849447E+00	0.3679479083235693E+00
51	0.1080410920556134E-01	0.3928446531375407E+00	0.6548179295853327E+00
52	0.1106254163048534E-01	0.3929662623376900E+00	0.9509506343663503E+00
53	0.1128864993508802E-01	0.3934563271753345E+00	0.1230946824233563E+01
54	0.1153982965323986E-01	0.3943146115702177E+00	0.1519874116895002E+01
55	0.1179221834839666E-01	0.3955211757694239E+00	0.1806927883462331E+01
56	0.1197913865239046E-01	0.3970551029194382E+00	0.2089467669875985E+01
57	0.1220133407519370E-01	0.3988800767433634E+00	0.2372066266433480E+01
58	0.1246750515566144E-01	0.4009496299602514E+00	0.2654691036800216E+01
59	0.1260318901372543E-01	0.4032132266877108E+00	0.2934731598070293E+01
60	0.1285920718143669E-01	0.4056174018640757E+00	0.3214621502398161E+01
61	0.1304674100584453E-01	0.4080958707806979E+00	0.3489425476532727E+01
62	0.1323801277734370E-01	0.4105897178539223E+00	0.3769135660575015E+01
63	0.1343823261336282E-01	0.4130381016290885E+00	0.4042905061547241E+01
64	0.1362533205722262E-01	0.4153757614544099E+00	0.4314322820046925E+01
65	0.1382438206332450E-01	0.4175457606380234E+00	0.4590592087752779E+01
66	0.1401203073062542E-01	0.4194956835575798E+00	0.4859841444020204E+01
67	0.1414569431489824E-01	0.4211693225214460E+00	0.5129867179784356E+01
68	0.1440561088939268E-01	0.4225289563137843E+00	0.5400145921597704E+01
69	0.1451036396496929E-01	0.4235357305621333E+00	0.5669234902563396E+01
70	0.1467577816988778E-01	0.4241573788733988E+00	0.5937260480781856E+01
71	0.1487659022388920E-01	0.4243793634818949E+00	0.6204496719162440E+01
72	0.1498587180659110E-01	0.4241895973232971E+00	0.1894909377005440E+00
73	0.1512103379493170E-01	0.4235835124424492E+00	0.4592240362527740E+00
74	0.1526799505419831E-01	0.4225764170462375E+00	0.7225669527510243E+00
75	0.1536262235114066E-01	0.4211841956903320E+00	0.9957860194918409E+00
76	0.1547125126074086E-01	0.4194326266214416E+00	0.1262812445392711E+01
77	0.1554092540495394E-01	0.4173644449305871E+00	0.1531919434468555E+01
78	0.1562798991759902E-01	0.4150208118417769E+00	0.1804149739593797E+01
79	0.1570982055368068E-01	0.4124559637397751E+00	0.2075895066689059E+01
80	0.1568891227556949E-01	0.4097322598995085E+00	0.2348721094342942E+01
81	0.1580046960860794E-01	0.4069117172074793E+00	0.2622413077773256E+01
82	0.1579025106782522E-01	0.4040645943720906E+00	0.2898279242824646E+01
83	0.1577050089839086E-01	0.4012686115431010E+00	0.3174940853086612E+01
84	0.1581094687696586E-01	0.3985894595984156E+00	0.3450793739617486E+01
85	0.1576718620618538E-01	0.3961021589697323E+00	0.3728770108140727E+01
86	0.1573183426274070E-01	0.3938773842136252E+00	0.4009862364862130E+01
87	0.1568194302075705E-01	0.3919713604074002E+00	0.4284609132644839E+01
88	0.1563458215079256E-01	0.3904375784033431E+00	0.4565687310931768E+01
89	0.1555385067805892E-01	0.3893244512576624E+00	0.4845100591886450E+01
90	0.1546358476153822E-01	0.3886534328574762E+00	0.5119808312268956E+01
91	0.1536242105580531E-01	0.3884461810658150E+00	0.5399017819173542E+01
92	0.1530078630382262E-01	0.3887076958018903E+00	0.5672624870723761E+01
93	0.1512782640793512E-01	0.3894210621073808E+00	0.5946696930760858E+01
94	0.1504629599885469E-01	0.3905639854489267E+00	0.6216676559767101E+01
95	0.1494073024077627E-01	0.3921028848904080E+00	0.2016548018153452E+00
96	0.1478095779570299E-01	0.3939830460755566E+00	0.4678818849253430E+00
97	0.1468298465366511E-01	0.3961534842734566E+00	0.7296567102312332E+00
98	0.1457184275107043E-01	0.3985531955332013E+00	0.9854233098055465E+00
99	0.1445783220402744E-01	0.4011111855345526E+00	0.1246761709784040E+01
100	0.1435426732520067E-01	0.4037661658869975E+00	0.1493397575729229E+01
101	0.1428888497014615E-01	0.4064518287566922E+00	0.1743219429384137E+01
102	0.1423777955229315E-01	0.4091011268477253E+00	0.1992197228011936E+01
103	0.1419179935776590E-01	0.4116584922512846E+00	0.2231886328407001E+01
104	0.1418755369892471E-01	0.4140687233780839E+00	0.2473185679133309E+01
105	0.1427808585897115E-01	0.4162776871793852E+00	0.2714656584648644E+01
106	0.1430267638904101E-01	0.4182473952052919E+00	0.2949358130071186E+01
107	0.1445133710407494E-01	0.4199404244506052E+00	0.3187900761289523E+01
108	0.1465012146976983E-01	0.4213242345752930E+00	0.3421593580404821E+01
109	0.1483967526426546E-01	0.4223810330679627E+00	0.3659556910629915E+01
110	0.1510432270030767E-01	0.4230968465256478E+00	0.3895154735584509E+01
111	0.1545222738375797E-01	0.4234598112797373E+00	0.4130216201000966E+01
112	0.1575935476679437E-01	0.4234763031817803E+00	0.4371878949589885E+01
113	0.1619703375381498E-01	0.4231499004219980E+00	0.4611216068945884E+01
114	0.1659356043413570E-01	0.4224922944039508E+00	0.4851798048057988E+01
115	0.1710645534206702E-01	0.4215248015502860E+00	0.5100278060207355E+01
116	0.1757676004000662E-01	0.4202716983127764E+00	0.5346963963293737E+01
117	0.1810799067022345E-01	0.4187575668793379E+00	0.5596062333973151E+01
118	0.1871109637700738E-01	0.4170214703336095E+00	0.5852888503400060E+01
119	0.1926096112546634E-01	0.4150979888255963E+00	0.6107338835868600E+01
120	0.1985638791828979E-01	0.4130276308165347E+00	0.8552732408173735E-01
121	0.2052627040967704E-01	0.4108560158315484E+00	0.3466528802323587E+00
122	0.2112090143929489E-01	0.4086289301415124E+00	0.6131404436945136E+00
123	0.2176284190673779E-01	0.4063898750354142E+00	0.8822310242020244E+00
124	0.2243850778430026E-01	0.4041892254965468E+00	0.1151181759038987E+01
125	0.2305781303708652E-01	0.4020714063972065E+00	0.1426782122434733E+01
126	0.2373298921400578E-01	0.4000787114817803E+00	0.1703233176049022E+01
127	0.2434370175543512E-01	0.3982546989905174E+00	0.1980252180915816E+01
128	0.2502817507619490E-01	0.3966351376177899E+00	0.2262254143801474E+01
129	0.2565706497189680E-01	0.3952531705515028E+00	0.2545646244774025E+01
130	0.2623910937577983E-01	0.3941384588354375E+00	0.2828448820832826E+01
131	0.2693005349547214E-01	0.3933125256439782E+00	0.3115769371382688E+01
132	0.2749581127945198E-01	0.3927906417981392E+00	0.3402076519409434E+01
133	0.2807280732508630E-01	0.3925866626308848E+00	0.3690839264282626E+01
134	0.2867115113848799E-01	0.3926992695951901E+00	0.3978531548607547E+01
135	0.2922686453095819E-01	0.3931252134381691E+00	0.4268237571920242E+01
136	0.2971240076339546E-01	0.3938551318128055E+00	0.4558433217137319E+01
137	0.3026056496100401E-01	0.3948691315325583E+00	0.4846257286500265E+01
138	0.3070299428457910E-01	0.3961402979532905E+00	0.5136828527691067E+01
139	0.3118070845213634E-01	0.3976433960429500E+00	0.5425878663256448E+01
140	0.3156737200848741E-01	0.3993383690874419E+00	0.5714109197005538E+01
141	0.3196292005298206E-01	0.4011871010259742E+00	0.6002138719847739E+01
142	0.3235247535006208E-01	0.4031478012869271E+00	0.6934863875668107E-02
143	0.3262565242859624E-01	0.4051740871005782E+00	0.2930370103123741E+00
144	0.3293343460272291E-01	0.4072182819116736E+00	0.5791764439080493E+00
145	0.3323237857485388E-01	0.4092384054885873E+00	0.8634010668891268E+00
146	0.3339014936841383E-01	0.4111840374211786E+00	0.1148922061704169E+01
147	0.3362303785105029E-01	0.4130133054740469E+00	0.1430907117066721E+01
148	0.3379277168977492E-01	0.4146884674195225E+00	0.1713398047244829E+01
149	0.3390598355309712E-01	0.4161699837407790E+00	0.1995905638578664E+01
150	0.3403338174810972E-01	0.4174264230565565E+00	0.2275752574132706E+01
151	0.3408530999548448E-01	0.4184333032532181E+00	0.2554720568510773E+01
152	0.3419173631124241E-01	0.4191637618385797E+00	0.2835680450501280E+01
153	0.3415965322163292E-01	0.4196028185510523E+00	0.3111980906722580E+01
154	0.3417188446434000E-01	0.4197415847674776E+00	0.3390401832685966E+01
155	0.3417716781507839E-01	0.4195710032762582E+00	0.3667276932974048E+01
156	0.3408585959666750E-01	0.4190947290832215E+00	0.3943730612229815E+01
157	0.3399478798537189E-01	0.4183233896794458E+00	0.4220581367300086E+01
158	0.3394145444618255E-01	0.4172698327822111E+00	0.4495002963828741E+01
159	0.3376606958547087E-01	0.4159597674104518E+00	0.4772739955106229E+01
160	0.3364422855471284E-01	0.4144262028817530E+00	0.5047922004450823E+01
161	0.3346337815650088E-01	0.4127012684656362E+00	0.5322753584374034E+01
162	0.3329564871011870E-01	0.4108325681772101E+00	0.5600549580141776E+01
163	0.3308940013548379E-01	0.4088671068695145E+00	0.5876239651100992E+01
164	0.3284347196653720E-01	0.4068536488834241E+00	0.6151989757137630E+01
165	0.3267812232340431E-01	0.4048475977799935E+00	0.1475054621428509E+00
166	0.3239560047496827E-01	0.4029048444195757E+00	0.4239480887021712E+00
167	0.3216228628194993E-01	0.4010740921339404E+00	0.7020661990745856E+00
168	0.3195599691427330E-01	0.3994117611586344E+00	0.9801685901580868E+00
169	0.3169693652534031E-01	0.3979642763392702E+00	0.1257969997550337E+01
170	0.3145948648577673E-01	0.3967713245297324E+00	0.1537540762834565E+01
171	0.3124687032212203E-01	0.3958699956630491E+00	0.1813274593635493E+01
172	0.3101998734156606E-01	0.3952876729563010E+00	0.2092632780735189E+01
173	0.3080528848436252E-01	0.3950380315684850E+00	0.2369517725326032E+01
174	0.3059089566477213E-01	0.3951309222301124E+00	0.2644870403473127E+01
175	0.3039279106488401E-01	0.3955600019624615E+00	0.2920936431430174E+01
176	0.3023739292174577E-01	0.3963096051729734E+00	0.3196081219811046E+01
177	0.2998439463258112E-01	0.3973582066633288E+00	0.3468239000122500E+01
178	0.2989280687167063E-01	0.3986701323037562E+00	0.3740723442537480E+01
179	0.2970923647237904E-01	0.4002022651174100E+00	0.4011845081966452E+01
180	0.2953932651835822E-01	0.4019116052850316E+00	0.4280869263866946E+01
181	0.2944093784465420E-01	0.4037433387436825E+00	0.4548602419138220E+01
182	0.2931787437731493E-01	0.4056431016274743E+00	0.4814954474855780E+01
183	0.2917011285557195E-01	0.4075587149436571E+00	0.5081445010382849E+01
184	0.2910836314184088E-01	0.4094326425975302E+00	0.5343753526064408E+01
185	0.2898816834443444E-01	0.4112152621273413E+00	0.5607431053144735E+01
186	0.2892380962750349E-01	0.4128591959143002E+00	0.5870455038061792E+01
187	0.2883084083257756E-01	0.4143200282078138E+00	0.6130709858654115E+01
188	0.2877611620623848E-01	0.4155625313569510E+00	0.1084882769808129E+00
189	0.2875149789784244E-01	0.4165562367427030E+00	0.3703766220788811E+00
190	0.2868142123930671E-01	0.4172754524869483E+00	0.6292600205189176E+00
191	0.2866499650272290E-01	0.4177082225058513E+00	0.8905802789014663E+00
192	0.2870078458058929E-01	0.4178428512823945E+00	0.1149719442375996E+01
193	0.2864146928288122E-01	0.4176773489291887E+00	0.1411585531196438E+01
194	0.2868200647440355E-01	0.4172193390556018E+00	0.1670991397105510E+01
195	0.2873108649538488E-01	0.4164824981237741E+00	0.1931887182729195E+01
196	0.2870599756981538E-01	0.4154848831550105E+00	0.2194309935650049E+01
197	0.2878840581979911E-01	0.4142577601945294E+00	0.2455623342937026E+01
198	0.2879583223663301E-01	0.4128322105943127E+00	0.2717089427010506E+01
199	0.2887114485907671E-01	0.4112479801254830E+00	0.2982541638962408E+01
