Event	DateTime	Latitude	Longitude	Sample label	Depthsed	Depthcomp	Depthcompr	Depthcorrcr	HybridAge	AgeLisiec	AgeAhn	AgeKonijn	d18O	d13C
339-U1385D		37.5713	-10.1259	339-U1385D-2H-4,80-81	12.240	13.770	13.770	13.740	63.37	61.96	65.75	69.21	2.48	-0.73
339-U1385D		37.5713	-10.1259	339-U1385D-2H-4,100-101	12.440	13.970	13.970	13.959	65.59	62.84	67.30	70.25	2.48	-0.85
339-U1385D		37.5713	-10.1259	339-U1385D-2H-4,120-121	12.640	14.170	14.170	14.170	68.02	64.72	69.01	71.24	2.29	-0.91
339-U1385D		37.5713	-10.1259	339-U1385D-2H-4,140-141	12.840	14.370	14.370	14.379	69.92	66.81	70.72	72.23	1.91	-0.73
339-U1385D		37.5713	-10.1259	339-U1385D-2H-5,0-1	12.960	14.490	14.490	14.500	71.02	68.02	71.70	72.81	1.74	-0.38
339-U1385D		37.5713	-10.1259	339-U1385D-2H-5,20-21	13.160	14.690	14.690	14.692	72.76	69.95	73.26	73.71	1.70	-0.50
339-U1385D		37.5713	-10.1259	339-U1385D-2H-5,40-41	13.360	14.890	14.890	14.907	74.71	72.11	75.02	74.73	1.01	-0.50
339-U1385D		37.5713	-10.1259	339-U1385D-2H-5,80-81	13.760	15.290	15.290	15.337	77.45	76.42	78.52	76.77	0.85	-0.61
339-U1385D		37.5713	-10.1259	339-U1385D-2H-5,100-101	13.960	15.490	15.490	15.512	78.66	78.17	79.94	77.59	1.07	-0.60
339-U1385D		37.5713	-10.1259	339-U1385D-2H-5,120-121	14.160	15.690	15.690	15.686	79.87	79.92	81.36	78.42	0.72	-1.15
339-U1385D		37.5713	-10.1259	339-U1385D-2H-5,140-141	14.360	15.890	15.890	15.860	81.08	81.66	82.78	79.24	0.93	-0.65
339-U1385D		37.5713	-10.1259	339-U1385D-2H-6,0-1	14.460	15.990	15.990	15.947	81.69	82.54	83.48	80.09	0.89	-0.75
339-U1385D		37.5713	-10.1259	339-U1385D-2H-6,20-21	14.660	16.190	16.190	16.122	82.90	84.29	84.91	81.80	0.48	-1.56
339-U1385D		37.5713	-10.1259	339-U1385D-2H-6,40-41	14.860	16.390	16.390	16.296	84.22	86.04	86.33	83.49	1.58	-0.28
339-U1385D		37.5713	-10.1259	339-U1385D-2H-6,60-61	15.060	16.590	16.590	16.471	85.98	87.75	87.75	85.20	2.05	0.13
339-U1385D		37.5713	-10.1259	339-U1385D-2H-6,80-81	15.260	16.790	16.790	16.649	87.63	89.21	89.21	86.94	1.02	-1.00
339-U1385D		37.5713	-10.1259	339-U1385D-2H-6,100-101	15.460	16.990	16.990	16.844	89.04	90.80	90.80	88.84	0.84	-1.05
339-U1385D		37.5713	-10.1259	339-U1385D-2H-6,120-121	15.660	17.190	17.190	17.039	90.46	92.40	92.40	90.74	0.95	-0.77
339-U1385D		37.5713	-10.1259	339-U1385D-2H-6,140-141	15.860	17.390	17.390	17.233	91.86	93.98	93.98	92.64	0.83	-1.40
339-U1385D		37.5713	-10.1259	339-U1385D-2H-7,0-1	15.970	17.500	17.500	17.340	92.64	94.86	94.86	93.68	0.97	-1.22
339-U1385D		37.5713	-10.1259	339-U1385D-2H-7,20-21	16.170	17.700	17.700	17.535	94.06	96.45	96.45	95.58	0.84	-1.17
339-U1385D		37.5713	-10.1259	339-U1385D-2H-7,40-41	16.370	17.900	17.900	17.730	95.47	98.05	98.05	97.49	0.81	-1.43
