/* DATA DESCRIPTION:
Citation:	Ruddiman, William F; Raymo, Maureen E; Martinson, Douglas G; Clement, Bradford M; Backman, Jan (1989): (Table A2) Sea surface temperature reconstruction of DSDP Site 94-607 in the North Atlantic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.52373, 
	In supplement to: Ruddiman, WF et al. (1989): Pleistocene evolution: northern hemisphere ice sheets and North Atlantic Ocean. Paleoceanography, 4(4), 353-412, https://doi.org/10.1029/PA004i004p00353
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 41.001200 * LONGITUDE: -32.957300
	DATE/TIME START: 1983-07-06T00:00:00 * DATE/TIME END: 1983-07-06T00:00:00
	MINIMUM DEPTH, sediment/rock: 9.32 m * MAXIMUM DEPTH, sediment/rock: 73.22 m
Event(s):	94-607_Site * LATITUDE: 41.001200 * LONGITUDE: -32.957300 * DATE/TIME: 1983-07-06T00:00:00 * ELEVATION: -3427.0 m * Penetration: 5.957 m * Recovery: 4.537 m * LOCATION: North Atlantic/FLANK * CAMPAIGN: Leg94 (URI: https://doi.org/10.2973/dsdp.proc.94.1987) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 56 cores; 511 m cored; 0 m drilled; 88.8% recovery
Comment:	Age based on TP607 time scale. Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Ruddiman, William F
	AGE [ka BP] (Age) * GEOCODE * PI: Ruddiman, William F
	Sample code/label (Sample label) * PI: Ruddiman, William F * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerinoides ruber white [%] (G. ruber w) * PI: Ruddiman, William F
	Globigerina bulloides [%] (G. bulloides) * PI: Ruddiman, William F
	Neogloboquadrina pachyderma sinistral [%] (N. pachyderma s) * PI: Ruddiman, William F
	Globorotalia inflata [%] (G. inflata) * PI: Ruddiman, William F
	Sea surface temperature, summer [°C] (SST sum) * PI: Ruddiman, William F * METHOD/DEVICE: Transfer function AOF13X5, Ruddiman & Esmay, 1986 (URI: https://doi.org/10.2973/dsdp.proc.94.135.1987)
	Sea surface temperature, winter [°C] (SST win) * PI: Ruddiman, William F * METHOD/DEVICE: Transfer function AOF13X5, Ruddiman & Esmay, 1986 (URI: https://doi.org/10.2973/dsdp.proc.94.135.1987)
Change history:	2021-07-07T11:07:20 - Depth [m] corrected for sample 94-607-4-6,31: 29.38 m (old) to 29.83 m (corrected value)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	3542 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. ruber w [%]	G. bulloides [%]	N. pachyderma s [%]	G. inflata [%]	SST sum [°C]	SST win [°C]
34.57	787.8	94-607-5-2,61	0.40	3.30	75.90	3.3	7.10	1.30
34.74	791.2	94-607-5-2,78	1.50	5.50	49.10	16.8	10.10	4.20
34.87	793.8	94-607-5-2,91	0.30	4.10	50.70	19.5	9.70	3.00
35.03	796.5	94-607-5-2,107	0.40	10.80	39.20	16.2	11.10	5.60
35.17	798.8	94-607-5-2,121	1.80	11.60	45.10	9.4	10.50	6.00
35.32	801.2	94-607-5-2,136	0.60	5.40	59.50	11.4	8.30	2.70
35.47	803.5	94-607-5-3,1	0.00	4.80	82.90	0.6	6.80	0.90
35.64	806.1	94-607-5-3,18	0.60	4.00	60.30	12.9	8.20	2.30
35.77	808.0	94-607-5-3,31	0.70	6.80	30.00	19.8	14.40	7.30
35.83	808.7	94-607-5-3,37	2.20	6.20	23.70	15.3	16.40	9.20
35.99	810.6	94-607-5-3,53	1.60	8.80	4.50	14.6	19.40	12.40
36.07	811.6	94-607-5-3,61	2.20	9.90	8.70	20.4	18.90	11.40
36.24	814.2	94-607-5-3,78	2.20	8.70	9.90	19.2	19.00	11.30
36.39	816.6	94-607-5-3,93	2.60	7.10	19.40	9.7	17.20	10.10
36.52	818.7	94-607-5-3,106	1.90	9.60	6.40	9.2	18.80	12.00
36.67	822.7	94-607-5-3,121	5.20	11.90	13.30	14.1	18.10	11.30
36.82	829.0	94-607-5-3,136	1.90	6.90	49.10	7.2	10.40	5.90
36.89	832.0	94-607-5-3,143	0.00	4.90	61.90	8.1	8.10	2.70
36.97	835.2	94-607-5-4,1	0.00	1.70	44.90	21.1	11.70	4.20
37.05	836.8	94-607-5-4,9	0.00	3.40	28.40	19.8	15.80	7.60
37.12	838.2	94-607-5-4,16	0.60	7.00	31.90	13.1	13.80	7.50
37.27	841.2	94-607-5-4,31	3.60	6.40	21.00	20.2	17.50	10.00
37.33	842.4	94-607-5-4,37	3.00	10.10	39.80	16.9	11.70	6.50
37.42	843.5	94-607-5-4,46	4.20	16.60	29.00	10.3	13.70	8.60
37.49	844.3	94-607-5-4,53	3.80	8.20	38.60	11.4	12.40	7.80
37.55	845.0	94-607-5-4,59	6.30	8.90	30.00	15.1	14.60	9.60
37.64	846.1	94-607-5-4,68	3.30	10.30	20.00	13.6	16.40	9.80
37.69	846.7	94-607-5-4,73	5.30	19.80	17.20	11.2	15.90	9.60
37.74	847.3	94-607-5-4,78	4.70	10.30	10.00	15.3	19.10	12.00
37.87	848.9	94-607-5-4,91	2.50	8.80	17.50	16.6	17.30	10.00
38.02	850.7	94-607-5-4,106	7.80	6.60	3.60	17.7	22.50	15.10
38.17	852.5	94-607-5-4,121	7.60	10.90	1.80	12.0	21.50	14.80
38.27	853.7	94-607-5-4,131	6.10	11.60	2.60	19.0	21.10	14.20
38.49	857.0	94-607-5-5,3	12.30	14.10	4.60	16.3	22.30	15.40
38.62	861.5	94-607-5-5,16	13.10	11.40	7.30	15.2	22.00	15.20
38.75	867.1	94-607-5-5,29	8.60	22.40	23.40	14.5	17.10	10.40
38.83	870.5	94-607-5-5,37	2.50	19.90	28.40	4.3	13.10	7.60
38.92	871.7	94-607-5-5,46	3.80	9.00	28.30	14.7	14.70	9.00
38.99	872.7	94-607-5-5,53	0.90	9.10	38.40	8.4	12.00	7.00
39.07	873.8	94-607-5-5,61	7.80	16.70	3.70	10.7	20.00	13.60
39.24	876.2	94-607-5-5,78	1.80	13.10	3.50	14.9	18.30	12.00
39.37	878.1	94-607-5-5,91	5.40	14.00	6.00	18.7	19.50	12.70
39.52	880.2	94-607-5-5,106	5.20	12.60	4.80	11.3	19.60	13.00
39.65	882.8	94-607-5-5,119	2.30	13.80	16.40	6.4	16.00	9.60
39.73	885.1	94-607-5-5,127	6.10	11.20	15.10	12.5	18.10	11.40
39.82	887.6	94-607-5-5,136	1.80	10.70	22.70	8.7	15.30	8.90
39.97	892.4	94-607-5-6,1	3.30	3.30	13.90	16.2	19.90	11.70
40.12	896.7	94-607-5-6,16	2.60	6.70	5.40	26.6	21.40	13.10
40.27	901.3	94-607-5-6,31	5.90	9.40	3.80	15.7	21.10	14.00
40.32	902.9	94-607-5-6,36	5.50	11.00	5.80	15.0	20.10	13.10
40.49	909.2	94-607-5-6,53	2.90	13.10	8.70	20.2	18.20	11.20
40.57	912.6	94-607-5-6,61	3.90	10.50	25.80	5.8	15.30	9.50
40.74	919.8	94-607-5-6,78	1.40	8.10	50.70	5.5	10.10	5.60
40.84	923.7	94-607-5-6,88	6.00	9.10	34.90	11.0	13.40	9.10
41.02	930.1	94-607-5-6,106	6.30	8.50	28.80	11.0	15.00	10.00
41.17	935.4	94-607-5-6,121	5.50	6.10	39.90	11.7	12.40	8.20
41.32	940.6	94-607-5-6,136	8.50	11.80	9.90	18.7	20.30	13.30
41.47	945.7	94-607-6-7,1	5.80	8.80	18.80	15.4	17.70	11.00
41.62	950.5	94-607-6-7,16	12.30	8.30	4.30	17.4	23.20	16.10
41.67	952.0	94-607-6-7,21	13.80	12.40	3.20	12.9	23.10	16.20
41.83	955.2	94-607A -6-4,121	9.50	17.30	7.10	14.8	20.30	13.50
41.97	956.8	94-607A -6-4,135	8.40	10.60	6.80	17.9	21.10	14.00
42.13	958.5	94-607A -6-5,1	5.90	11.10	16.50	11.3	17.70	11.20
42.26	960.1	94-607A -6-5,15	3.80	15.60	3.50	6.8	18.40	12.40
42.33	960.7	94-607A -6-5,21	6.40	14.70	3.00	10.4	19.90	13.50
42.42	961.8	94-607A -6-5,31	6.40	12.60	5.30	10.8	20.00	13.30
42.56	963.4	94-607A -6-5,45	4.00	11.00	4.30	19.9	20.10	13.10
42.72	965.3	94-607A -6-5,61	3.40	11.60	6.40	19.5	19.20	12.20
42.86	967.0	94-607A -6-5,75	3.60	12.90	22.50	15.6	15.30	9.20
43.02	968.8	94-607A -6-5,91	3.60	10.00	32.50	14.3	13.50	8.30
43.17	970.5	94-607-6-1,16	4.40	10.30	36.30	10.6	12.80	8.40
43.32	972.2	94-607-6-1,31	3.10	14.50	29.00	13.4	13.40	8.10
43.54	974.7	94-607-6-1,53	3.30	11.20	32.00	8.2	13.60	8.60
43.62	975.6	94-607-6-1,61	1.50	12.50	4.90	6.1	18.00	11.80
43.71	976.6	94-607-6-1,70	14.10	10.60	0.50	22.3	25.00	18.00
43.79	977.7	94-607-6-1,78	9.60	13.30	1.10	14.8	22.10	15.40
43.92	981.3	94-607-6-1,91	17.70	4.80	2.30	12.9	24.70	17.90
44.07	985.5	94-607-6-1,106	21.40	7.40	0.00	14.4	25.80	19.20
44.22	989.6	94-607-6-1,121	22.30	5.00	1.70	9.0	25.10	18.70
44.37	993.7	94-607-6-1,136	20.80	8.10	0.00	7.8	25.50	18.70
44.52	997.9	94-607-6-2,1	22.90	9.10	3.10	18.6	24.80	18.60
44.67	1002.0	94-607-6-2,16	14.50	16.50	1.20	17.3	24.00	17.00
44.82	1006.7	94-607-6-2,31	10.30	10.30	16.10	19.7	19.20	12.80
44.90	1009.0	94-607-6-2,39	8.50	17.30	26.60	14.6	15.70	10.40
45.04	1015.9	94-607-6-2,53	5.60	9.40	4.90	22.3	21.30	13.90
45.12	1018.0	94-607-6-2,61	6.80	4.50	23.40	20.1	17.60	10.80
45.29	1022.4	94-607-6-2,78	12.10	11.80	2.40	20.5	23.50	16.50
45.40	1025.8	94-607-6-2,89	12.70	12.60	6.50	10.9	21.80	15.00
45.57	1034.2	94-607-6-2,106	13.30	10.40	2.90	10.7	23.10	16.30
45.72	1038.6	94-607-6-2,121	7.10	10.20	8.10	18.3	20.60	13.40
45.87	1043.0	94-607-6-2,136	4.00	11.20	24.50	14.9	15.30	9.30
46.02	1047.4	94-607-6-3,1	1.90	5.30	9.70	30.5	21.40	12.00
46.05	1047.9	94-607-6-3,4	4.70	6.80	9.40	28.8	21.70	13.00
46.09	1048.5	94-607-6-3,8	3.40	6.80	11.50	28.3	20.70	11.90
46.17	1049.5	94-607-6-3,16	2.50	5.50	16.80	23.4	19.00	10.40
46.24	1050.4	94-607-6-3,23	5.20	9.50	23.60	25.9	17.10	9.60
46.32	1051.4	94-607-6-3,31	2.90	5.20	39.80	14.6	12.40	7.10
46.41	1052.6	94-607-6-3,40	6.30	10.10	20.60	18.6	17.20	10.70
46.54	1054.3	94-607-6-3,53	4.70	9.40	20.30	15.2	16.90	10.30
46.64	1055.6	94-607-6-3,63	9.50	8.40	10.20	31.9	23.30	14.80
46.79	1057.5	94-607-6-3,78	8.50	7.70	10.70	15.6	20.60	13.50
46.92	1059.2	94-607-6-3,91	11.60	6.80	7.10	15.3	22.30	15.20
47.02	1060.3	94-607-6-3,101	13.60	11.60	7.90	8.3	21.70	15.00
47.04	1060.6	94-607-6-3,103	16.60	12.80	7.30	6.2	22.50	15.70
47.07	1060.9	94-607-6-3,106	14.20	9.10	4.70	10.7	23.00	16.10
47.22	1062.7	94-607-6-3,121	11.70	11.40	3.90	8.8	22.30	15.40
47.30	1063.6	94-607-6-3,129	18.30	14.30	2.70	9.1	24.30	17.10
47.37	1064.4	94-607-6-3,136	12.80	14.10	4.20	11.2	22.30	15.40
47.52	1066.3	94-607-6-4,1	18.40	10.20	3.00	6.3	24.20	17.30
47.67	1067.9	94-607-6-4,16	15.50	14.50	0.30	13.2	24.20	17.30
47.80	1069.6	94-607-6-4,29	11.30	14.10	10.80	17.2	20.50	13.80
47.91	1071.7	94-607-6-4,40	20.10	15.00	0.80	2.8	25.40	17.80
48.04	1074.4	94-607-6-4,53	9.10	17.80	2.20	14.1	20.90	14.40
48.12	1076.1	94-607-6-4,61	17.10	11.60	2.60	10.7	24.00	17.10
48.29	1078.8	94-607-6-4,78	15.40	15.10	0.60	6.8	23.90	16.80
48.42	1080.1	94-607-6-4,91	14.40	10.80	4.90	4.2	22.80	15.90
48.46	1080.6	94-607-6-4,95	14.90	13.30	6.50	4.9	22.40	15.40
48.57	1081.7	94-607-6-4,106	6.40	7.30	14.90	4.7	19.10	12.20
48.72	1083.3	94-607-6-4,121	5.90	6.80	7.40	13.9	20.90	13.50
48.87	1084.9	94-607-6-4,136	6.00	5.30	10.30	12.6	20.60	13.10
49.02	1088.1	94-607-6-5,1	5.50	3.40	7.90	7.6	21.20	13.70
49.09	1089.7	94-607-6-5,8	4.20	7.70	4.50	26.8	21.90	13.90
49.17	1091.4	94-607-6-5,16	8.00	8.70	3.10	13.9	22.00	14.90
49.19	1091.6	94-607-6-5,18	8.90	8.60	5.10	16.8	22.00	14.80
49.32	1093.3	94-607-6-5,31	5.90	6.70	2.60	23.4	22.80	15.00
49.39	1094.2	94-607-6-5,38	10.30	10.70	0.70	10.3	22.70	15.90
49.54	1096.4	94-607-6-5,53	13.50	5.30	2.30	22.0	24.90	17.50
49.61	1097.4	94-607-6-5,60	11.80	8.90	1.00	23.6	24.60	17.30
49.62	1097.6	94-607-6-5,61	13.70	4.30	2.20	20.5	25.00	17.50
49.79	1100.2	94-607-6-5,78	8.40	7.20	0.00	16.4	23.20	16.10
49.92	1102.2	94-607-6-5,91	7.20	7.60	2.00	16.1	22.30	15.20
50.07	1104.5	94-607-6-5,106	22.10	13.10	0.00	23.2	27.40	20.40
50.22	1106.8	94-607-6-5,121	14.80	11.70	0.80	19.1	24.60	17.70
50.37	1109.9	94-607-6-5,136	18.70	14.00	0.30	15.7	25.40	18.40
50.52	1114.5	94-607-6-6,1	10.20	10.20	0.70	21.1	23.60	16.50
50.67	1119.2	94-607-6-6,16	7.00	10.40	1.20	19.5	22.00	15.10
50.82	1123.8	94-607-6-6,31	5.60	4.00	1.60	26.7	24.00	15.70
50.89	1126.0	94-607-6-6,38	8.50	9.70	0.30	13.9	22.50	15.70
51.04	1130.5	94-607-6-6,53	0.90	7.20	1.20	16.2	20.20	13.30
51.12	1132.7	94-607-6-6,61	1.40	2.80	0.00	31.2	23.60	15.00
51.21	1134.8	94-607-6-6,70	3.50	8.90	0.70	16.1	20.80	14.10
51.29	1136.7	94-607-6-6,78	5.80	7.20	0.30	18.6	22.40	15.30
51.42	1139.7	94-607-6-6,91	6.50	6.20	4.90	15.4	21.80	14.40
51.57	1143.2	94-607-6-6,106	16.90	7.10	0.30	15.4	25.20	18.30
51.70	1146.2	94-607-6-6,119	10.60	8.80	0.30	27.3	25.00	17.60
51.87	1149.9	94-607-6-6,136	21.80	16.10	0.40	18.8	27.00	19.50
52.02	1153.1	94-607-6-7,1	15.30	11.70	0.30	17.3	24.70	17.80
52.10	1154.8	94-607-6-7,9	14.20	11.90	1.60	29.0	26.00	18.60
52.25	1158.2	94-607A -7-5,1	12.40	14.20	0.70	27.0	24.80	17.80
52.40	1163.2	94-607A -7-5,15	11.20	7.00	1.00	25.1	25.00	17.40
52.54	1170.5	94-607A -7-5,30	9.20	9.20	0.00	27.7	24.50	17.10
52.65	1174.8	94-607A -7-5,41	3.30	14.00	0.70	26.0	20.10	13.70
52.69	1175.5	94-607A -7-5,45	5.80	11.60	0.00	24.3	22.00	15.20
52.84	1178.2	94-607A -7-5,60	1.40	19.10	0.80	16.3	16.60	11.50
52.99	1180.9	94-607-7-1,16	10.00	10.30	0.70	18.9	23.30	16.30
53.13	1183.2	94-607-7-1,29	7.50	14.20	1.10	28.1	22.50	15.70
53.20	1184.5	94-607-7-1,37	12.60	12.10	0.00	22.7	24.50	17.60
53.36	1187.0	94-607-7-1,53	15.60	10.10	0.00	16.7	24.90	18.00
53.44	1188.1	94-607-7-1,61	15.60	12.60	1.70	11.6	23.90	17.00
53.61	1190.5	94-607-7-1,78	12.70	11.30	0.00	8.0	23.40	16.70
53.74	1192.4	94-607-7-1,91	5.70	13.00	0.40	24.0	21.50	14.90
53.90	1194.5	94-607-7-1,106	7.00	13.40	0.00	24.3	22.10	15.50
54.04	1196.9	94-607-7-1,121	6.50	16.40	0.30	15.0	20.20	14.10
54.19	1200.4	94-607-7-1,136	7.30	10.10	0.60	19.0	22.30	15.40
54.34	1203.9	94-607-7-2,1	10.20	10.20	1.20	0.3	22.50	15.70
54.49	1207.7	94-607-7-2,16	2.50	10.10	1.20	28.7	21.20	13.90
54.57	1210.2	94-607-7-2,24	2.70	12.20	1.00	25.8	20.30	13.60
54.65	1212.4	94-607-7-2,31	5.00	9.20	0.40	38.3	24.50	16.80
54.70	1214.8	94-607-7-2,37	6.40	11.60	1.50	27.1	22.40	15.30
54.86	1221.2	94-607-7-2,53	19.40	7.70	6.70	14.3	25.30	18.60
54.97	1224.8	94-607-7-2,63	16.40	9.40	1.00	14.0	24.60	17.80
55.11	1229.2	94-607-7-2,78	13.10	10.50	1.30	15.6	23.70	16.80
55.24	1232.9	94-607-7-2,91	18.30	8.30	0.70	14.6	25.20	18.40
55.40	1237.3	94-607-7-2,106	19.80	10.70	1.50	9.9	24.90	18.00
55.54	1239.7	94-607-7-2,121	6.70	8.10	1.40	31.6	24.20	16.20
55.69	1242.1	94-607-7-2,136	7.80	15.00	0.60	13.8	21.00	14.70
55.84	1244.5	94-607-7-3,1	4.90	12.70	3.60	11.6	19.70	13.20
55.99	1246.8	94-607-7-3,16	8.20	10.50	5.10	15.2	21.30	14.30
56.13	1248.9	94-607-7-3,29	2.70	7.80	12.20	17.2	18.80	11.20
56.20	1250.7	94-607-7-3,37	3.60	7.70	13.10	14.2	18.80	11.40
56.36	1254.3	94-607-7-3,53	6.10	4.00	20.20	9.8	18.40	11.50
56.47	1257.1	94-607-7-3,63	3.70	7.10	18.30	19.5	18.10	10.50
56.61	1261.2	94-607-7-3,78	4.50	8.60	16.30	21.1	18.50	10.90
56.74	1264.8	94-607-7-3,91	2.70	6.50	0.40	22.1	21.70	14.40
56.90	1268.9	94-607-7-3,106	7.10	14.70	0.90	18.7	21.00	14.60
57.04	1273.0	94-607-7-3,121	10.20	19.00	0.30	11.2	21.50	15.00
57.19	1277.2	94-607-7-3,136	6.90	12.90	1.40	23.8	21.80	15.00
57.34	1281.5	94-607-7-4,1	10.60	12.30	1.40	12.3	22.50	15.70
57.49	1285.7	94-607-7-4,16	6.80	12.80	4.10	19.6	20.90	14.00
57.63	1289.4	94-607-7-4,29	6.20	13.10	9.90	9.1	18.90	12.20
57.70	1291.6	94-607-7-4,37	1.60	12.30	16.80	8.5	16.00	9.40
57.86	1295.8	94-607-7-4,53	7.10	11.80	14.50	16.8	18.60	11.80
57.92	1297.5	94-607-7-4,59	4.60	19.70	12.40	15.9	16.40	10.00
58.02	1300.1	94-607-7-4,69	5.30	15.20	5.30	28.8	20.50	13.50
58.11	1302.4	94-607-7-4,78	8.70	14.50	5.50	20.4	21.10	14.10
58.24	1305.8	94-607-7-4,91	4.70	8.30	0.70	16.0	21.40	14.60
58.33	1308.2	94-607-7-4,100	11.00	15.20	3.10	15.2	21.40	22.70
58.40	1309.7	94-607-7-4,106	10.00	15.20	1.60	14.8	21.90	15.20
58.54	1313.5	94-607-7-4,121	12.60	12.00	0.50	16.6	23.70	16.80
58.69	1317.2	94-607-7-4,136	15.30	8.40	1.10	10.2	24.30	17.40
58.84	1321.3	94-607-7-5,1	15.60	12.00	2.70	18.3	24.10	17.20
58.99	1325.4	94-607-7-5,16	4.40	11.30	11.60	20.4	18.80	11.50
59.13	1331.4	94-607-7-5,30	2.80	15.30	17.90	15.3	15.40	9.10
59.20	1335.5	94-607-7-5,37	1.10	14.20	19.50	23.8	15.20	8.00
59.36	1342.0	94-607-7-5,53	3.10	8.70	9.00	31.3	21.10	12.30
59.44	1343.9	94-607-7-5,61	3.40	7.50	9.10	27.5	20.90	12.40
59.61	1346.8	94-607-7-5,78	2.10	12.50	3.90	23.8	19.20	12.30
59.74	1348.5	94-607-7-5,91	1.50	6.60	3.80	25.3	21.00	13.10
59.90	1350.4	94-607-7-5,106	8.20	12.00	1.30	25.1	22.90	15.80
60.04	1352.3	94-607-7-5,121	14.40	15.20	1.10	17.0	24.00	17.00
60.19	1354.3	94-607-7-5,136	18.80	11.40	0.00	14.8	25.40	18.60
60.34	1356.6	94-607-7-6,1	12.20	9.30	1.40	22.9	24.40	17.20
60.49	1359.0	94-607-7-6,16	17.80	10.00	3.10	15.2	24.20	17.50
60.65	1361.6	94-607-7-6,31	12.50	10.30	4.50	18.6	23.00	16.00
60.70	1362.6	94-607-7-6,37	2.70	9.90	16.00	19.4	17.50	10.10
60.86	1365.3	94-607-7-6,53	2.70	13.90	19.60	13.5	15.40	9.10
60.94	1366.7	94-607-7-6,61	4.40	10.90	8.00	18.5	19.50	12.30
61.02	1368.8	94-607-7-6,69	6.20	9.20	9.20	27.8	21.50	13.40
61.11	1371.1	94-607-7-6,78	5.20	8.70	11.70	23.6	20.10	12.20
61.24	1375.6	94-607-7-6,91	2.00	8.20	14.10	19.7	18.20	10.40
61.40	1380.7	94-607-7-6,106	4.10	11.10	19.00	22.2	17.20	10.00
61.47	1383.2	94-607-7-6,114	8.70	13.00	9.40	18.7	20.30	13.30
61.54	1385.2	94-607-7-6,121	12.20	14.10	8.00	19.2	21.70	14.80
61.69	1389.3	94-607-7-6,136	15.70	12.30	1.40	17.2	24.40	17.50
61.84	1393.5	94-607-7-7,1	14.30	16.00	1.40	13.3	23.50	16.50
61.99	1397.6	94-607-7-7,16	18.00	16.10	0.90	20.2	25.80	18.60
62.07	1399.8	94-607-7-7,24	16.60	14.50	1.10	23.1	25.60	18.60
62.23	1404.0	94-607A-8-1,1	6.60	8.90	9.10	11.6	20.10	13.00
62.38	1407.8	94-607-8-1,5	3.10	11.30	6.80	31.3	20.60	12.70
62.48	1410.4	94-607-8-1,16	2.80	8.80	7.70	30.3	21.00	12.50
62.63	1414.0	94-607-8-1,31	1.00	9.90	13.40	36.7	19.70	10.30
62.70	1415.7	94-607-8-1,38	1.70	7.90	12.70	41.1	21.70	11.60
62.85	1417.2	94-607-8-1,53	1.20	11.70	12.80	36.4	19.20	10.40
62.93	1418.1	94-607-8-1,61	3.60	8.90	13.90	23.8	19.00	11.00
63.10	1419.9	94-607-8-1,78	4.10	10.80	13.20	24.9	19.00	11.20
63.22	1421.2	94-607-8-1,89	6.90	8.00	7.20	33.1	23.50	14.70
63.38	1422.8	94-607-8-1,106	4.00	10.30	25.80	16.2	15.20	9.20
63.45	1423.5	94-607-8-1,113	3.30	12.10	26.90	13.8	14.40	8.70
63.53	1424.2	94-607-8-1,121	4.90	8.60	8.60	13.8	19.90	12.60
63.61	1425.1	94-607-8-1,129	5.60	5.60	4.00	24.6	22.80	14.70
63.68	1426.0	94-607-8-1,136	5.10	10.60	4.00	27.0	21.60	14.10
63.85	1428.1	94-607-8-2,3	14.60	15.70	3.00	20.6	24.00	16.90
63.98	1433.5	94-607-8-2,16	11.00	13.00	2.70	15.0	22.40	15.60
64.11	1439.1	94-607-8-2,29	6.70	10.70	5.40	17.4	20.90	13.80
64.21	1442.1	94-607-8-2,38	4.10	7.90	7.20	22.6	20.80	12.90
64.35	1447.0	94-607-8-2,53	11.30	3.30	7.60	17.6	22.90	15.40
64.43	1449.5	94-607-8-2,61	5.40	8.30	8.00	17.4	20.50	13.00
64.60	1455.2	94-607-8-2,78	5.60	13.50	6.90	16.5	19.40	12.60
64.74	1458.7	94-607-8-2,91	6.60	11.00	6.60	12.1	20.20	13.30
64.89	1460.6	94-607-8-2,106	6.30	7.80	8.10	22.7	21.40	13.50
65.01	1461.5	94-607-8-2,119	4.80	7.50	9.20	29.0	21.60	13.00
65.18	1462.8	94-607-8-2,136	9.00	4.10	8.20	23.2	22.90	14.80
65.33	1463.9	94-607-8-3,1	8.40	10.00	14.10	18.4	19.40	12.60
65.49	1465.4	94-607-8-3,16	4.00	8.30	19.90	19.9	17.40	10.10
65.53	1465.9	94-607-8-3,21	3.20	8.60	15.20	21.8	18.40	10.60
65.64	1466.9	94-607-8-3,31	4.00	9.40	5.40	16.4	20.10	13.00
65.71	1467.7	94-607-8-3,38	4.40	8.20	5.10	20.8	21.00	13.50
65.85	1469.3	94-607-8-3,53	8.90	9.90	2.40	13.4	22.10	15.20
65.96	1470.4	94-607-8-3,63	12.30	11.00	1.70	11.3	23.10	16.30
66.10	1474.6	94-607-8-3,78	13.30	10.70	2.60	16.5	23.50	16.60
66.21	1477.8	94-607-8-3,89	9.90	7.40	3.40	12.3	22.60	15.50
66.39	1485.7	94-607-8-3,106	11.80	5.60	2.80	22.0	24.40	16.90
66.51	1491.7	94-607-8-3,119	8.10	7.10	4.20	21.8	22.80	15.20
66.68	1498.8	94-607-8-3,136	11.70	4.50	2.60	19.9	24.40	16.80
66.83	1503.8	94-607-8-4,1	11.60	6.40	3.50	14.2	23.30	16.10
66.99	1508.8	94-607-8-4,16	7.90	12.90	11.40	14.5	19.30	12.50
67.03	1510.4	94-607-8-4,21	6.00	13.80	18.00	13.8	16.90	10.70
67.14	1513.6	94-607-8-4,31	6.80	6.80	2.70	19.5	22.50	15.10
67.19	1515.3	94-607-8-4,37	9.50	6.10	1.40	22.0	24.10	16.50
67.35	1518.1	94-607-8-4,53	20.60	9.80	0.00	19.3	26.10	19.40
67.43	1519.6	94-607-8-4,61	16.10	8.90	1.10	21.8	25.40	18.40
67.60	1522.2	94-607-8-4,78	14.50	8.00	2.10	17.3	24.30	17.30
67.74	1524.1	94-607-8-4,91	9.20	7.50	2.90	11.3	22.50	15.40
67.89	1526.4	94-607-8-4,106	10.30	8.80	11.90	16.5	20.50	13.70
68.03	1528.7	94-607-8-4,121	9.50	8.90	3.90	20.3	22.80	15.50
68.18	1530.9	94-607-8-4,136	9.30	6.90	1.20	19.8	23.60	16.30
68.33	1533.8	94-607-8-5,1	10.50	8.60	2.80	19.8	23.30	16.10
68.49	1536.7	94-607-8-5,15	10.50	6.80	8.40	24.0	22.70	15.00
68.53	1537.5	94-607-8-5,20	8.80	4.60	17.30	24.0	20.10	12.50
68.64	1539.8	94-607-8-5,31	11.20	4.10	9.50	15.6	22.10	14.80
68.85	1544.4	94-607-8-5,53	14.20	8.20	0.70	17.5	24.60	17.60
68.93	1546.1	94-607-8-5,61	13.70	9.70	4.30	21.3	23.70	16.70
69.10	1549.7	94-607-8-5,78	10.70	11.00	1.10	23.5	23.80	16.70
69.24	1552.5	94-607-8-5,91	15.90	15.20	0.00	29.1	27.10	19.90
69.39	1556.0	94-607-8-5,106	17.00	19.50	0.40	23.8	26.70	19.20
69.53	1556.7	94-607-8-5,121	13.70	12.30	1.40	21.6	24.40	17.40
69.68	1563.4	94-607-8-5,136	15.40	4.10	1.50	22.9	25.70	18.40
69.83	1567.1	94-607-8-6,1	4.90	8.50	16.10	16.1	18.30	11.10
69.99	1570.7	94-607-8-6,16	9.40	8.30	14.40	16.3	19.70	13.00
70.11	1573.9	94-607-8-6,29	1.00	14.50	17.70	13.8	14.90	8.40
70.19	1575.6	94-607-8-6,37	0.90	5.90	20.10	22.0	17.50	9.10
70.35	1579.0	94-607-8-6,53	6.20	9.30	14.10	20.3	19.20	11.90
70.43	1580.6	94-607-8-6,61	18.30	7.30	6.40	16.2	23.10	16.80
