Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
4.079	3.25	4.21	2.30	2.95	3.41	2.49	4.53	6.01	3.05
4.08	3.24	4.12	2.36	2.93	3.39	2.46	4.52	5.89	3.15
4.081	3.17	4.15	2.19	2.92	3.38	2.46	4.41	5.92	2.90
4.082	3.13	4.12	2.15	2.91	3.38	2.45	4.36	5.88	2.85
4.083	3.09	4.08	2.10	2.90	3.37	2.44	4.31	5.83	2.78
4.084	3.23	4.16	2.30	2.90	3.37	2.43	4.48	5.91	3.05
4.085	3.00	3.92	2.07	2.90	3.36	2.43	4.27	5.70	2.83
4.086	3.06	4.05	2.07	2.89	3.36	2.42	4.26	5.79	2.73
4.087	3.05	4.04	2.06	2.90	3.37	2.43	4.24	5.77	2.71
4.088	3.00	3.95	2.04	2.91	3.38	2.44	4.17	5.65	2.69
4.089	3.03	4.02	2.04	2.92	3.39	2.45	4.21	5.74	2.69
4.09	2.94	3.87	2.00	2.94	3.41	2.47	4.19	5.63	2.74
4.091	3.05	4.03	2.06	2.96	3.43	2.49	4.24	5.76	2.72
4.092	3.04	4.03	2.05	2.97	3.44	2.49	4.24	5.76	2.71
4.093	3.03	4.03	2.04	2.98	3.45	2.50	4.23	5.77	2.70
4.094	3.01	4.01	2.01	2.97	3.44	2.49	4.21	5.75	2.68
4.095	2.99	3.99	1.99	2.96	3.44	2.48	4.20	5.74	2.65
4.096	2.95	3.95	1.95	2.94	3.42	2.46	4.15	5.70	2.61
4.097	2.95	3.96	1.94	2.94	3.42	2.46	4.15	5.71	2.60
4.098	2.94	3.96	1.93	2.93	3.42	2.45	4.16	5.72	2.59
4.099	2.99	4.01	1.97	2.94	3.43	2.45	4.22	5.79	2.65
4.1	3.04	4.06	2.01	2.95	3.44	2.46	4.29	5.87	2.72
4.101	3.08	4.11	2.05	2.95	3.44	2.46	4.34	5.92	2.76
4.102	3.14	4.16	2.11	2.96	3.46	2.47	4.41	5.99	2.83
4.103	3.00	4.06	1.94	2.95	3.44	2.45	4.24	5.86	2.61
4.104	3.02	4.08	1.96	2.95	3.46	2.45	4.26	5.89	2.62
4.105	3.23	4.19	2.28	2.96	3.47	2.46	4.52	6.00	3.04
4.106	3.05	4.12	1.98	2.97	3.48	2.46	4.29	5.93	2.64
4.107	3.05	4.12	1.98	2.97	3.48	2.47	4.29	5.92	2.65
4.108	2.86	3.87	1.84	2.97	3.48	2.46	4.15	5.71	2.58
4.109	2.85	3.86	1.84	2.96	3.47	2.46	4.14	5.70	2.58
4.11	2.79	3.75	1.83	2.96	3.47	2.45	4.08	5.56	2.59
4.111	3.04	4.14	1.95	2.95	3.46	2.43	4.26	5.94	2.59
4.112	3.13	4.31	1.95	2.93	3.44	2.42	4.37	6.17	2.57
4.113	3.08	4.26	1.91	2.91	3.42	2.40	4.30	6.10	2.51
4.114	3.02	4.08	1.96	2.90	3.41	2.39	4.27	5.90	2.64
4.115	2.98	4.09	1.87	2.88	3.39	2.37	4.16	5.86	2.46
4.116	2.90	4.06	1.73	2.86	3.37	2.35	4.05	5.83	2.27
4.117	2.55	3.57	1.54	2.84	3.36	2.33	3.59	5.15	2.03
4.118	2.53	3.55	1.51	2.84	3.35	2.33	3.56	5.13	1.98
4.119	2.43	3.38	1.49	2.84	3.35	2.33	3.42	4.88	1.96
4.12	2.71	3.59	1.83	2.85	3.36	2.34	3.90	5.26	2.53
4.121	2.66	3.60	1.72	2.86	3.37	2.35	3.82	5.28	2.37
4.122	2.66	3.61	1.71	2.86	3.37	2.35	3.83	5.30	2.37
4.123	2.68	3.64	1.72	2.87	3.38	2.36	3.87	5.35	2.39
4.124	2.70	3.67	1.74	2.89	3.40	2.37	3.91	5.40	2.42
4.125	2.71	3.68	1.73	2.89	3.40	2.38	3.92	5.43	2.42
4.126	2.58	3.56	1.61	2.89	3.40	2.38	3.77	5.27	2.27
