Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
0	0.14	0.33	-0.05	0.12	0.32	-0.07	0.21	0.63	-0.21
0.00105	-0.13	0.02	-0.28	-0.16	-0.01	-0.31	-0.22	0.16	-0.60
0.00205	-0.01	0.09	-0.11	0.00	0.10	-0.11	0.01	0.36	-0.34
0.00305	0.06	0.15	-0.02	0.07	0.16	-0.02	0.11	0.45	-0.23
0.00405	-0.03	0.09	-0.16	-0.01	0.12	-0.13	-0.07	0.29	-0.43
0.00505	-0.02	0.14	-0.19	-0.03	0.14	-0.20	-0.05	0.35	-0.44
0.00605	-0.08	0.09	-0.26	-0.09	0.09	-0.26	-0.14	0.26	-0.54
0.00705	0.02	0.20	-0.16	0.01	0.20	-0.17	0.03	0.44	-0.38
0.00805	-0.05	0.15	-0.26	-0.12	0.09	-0.33	-0.09	0.34	-0.52
0.00905	-0.17	0.06	-0.41	-0.24	0.00	-0.48	-0.29	0.17	-0.75
0.01005	-0.53	-0.26	-0.80	-0.58	-0.30	-0.85	-0.88	-0.37	-1.39
0.01105	-0.75	-0.48	-1.02	-0.76	-0.48	-1.04	-1.26	-0.75	-1.77
0.01205	-1.23	-0.98	-1.49	-1.23	-0.96	-1.49	-2.10	-1.60	-2.59
0.01305	-1.68	-1.41	-1.95	-1.66	-1.38	-1.93	-2.89	-2.38	-3.40
0.01405	-1.94	-1.67	-2.21	-1.90	-1.62	-2.19	-3.37	-2.86	-3.88
0.01505	-2.34	-2.04	-2.65	-2.30	-1.98	-2.61	-4.13	-3.58	-4.68
0.01605	-2.66	-2.29	-3.03	-2.60	-2.22	-2.98	-4.73	-4.09	-5.37
0.01705	-2.82	-2.41	-3.24	-2.76	-2.33	-3.18	-5.05	-4.35	-5.75
0.01805	-2.93	-2.53	-3.32	-2.85	-2.44	-3.26	-5.25	-4.58	-5.93
0.01905	-3.15	-2.77	-3.53	-3.07	-2.67	-3.47	-5.69	-5.04	-6.34
0.02005	-3.13	-2.78	-3.48	-3.05	-2.69	-3.41	-5.65	-5.04	-6.26
0.02105	-3.04	-2.67	-3.41	-2.99	-2.61	-3.37	-5.48	-4.84	-6.12
0.02205	-3.08	-2.70	-3.47	-3.02	-2.62	-3.42	-5.56	-4.90	-6.22
0.023	-3.20	-2.81	-3.58	-3.13	-2.73	-3.52	-5.79	-5.13	-6.44
0.024	-3.17	-2.81	-3.52	-3.05	-2.68	-3.42	-5.72	-5.11	-6.34
0.025	-3.17	-2.86	-3.48	-3.06	-2.73	-3.39	-5.74	-5.18	-6.30
0.026	-3.27	-2.92	-3.61	-3.15	-2.79	-3.51	-5.93	-5.33	-6.53
0.027	-3.29	-2.92	-3.67	-3.18	-2.79	-3.58	-5.98	-5.33	-6.62
0.028	-3.11	-2.77	-3.46	-3.01	-2.65	-3.37	-5.62	-5.02	-6.22
0.029	-3.00	-2.76	-3.24	-2.89	-2.63	-3.15	-5.39	-4.92	-5.87
0.03	-3.13	-2.88	-3.38	-3.06	-2.79	-3.33	-5.65	-5.18	-6.13
0.031	-3.12	-2.86	-3.39	-3.06	-2.78	-3.34	-5.64	-5.14	-6.14
0.032	-2.92	-2.68	-3.15	-2.87	-2.61	-3.13	-5.24	-4.77	-5.70
0.033	-2.97	-2.72	-3.22	-2.91	-2.64	-3.19	-5.34	-4.85	-5.83
0.034	-2.99	-2.77	-3.22	-2.93	-2.68	-3.18	-5.38	-4.92	-5.83
0.035	-2.91	-2.71	-3.12	-2.85	-2.62	-3.09	-5.23	-4.79	-5.67
0.036	-3.05	-2.84	-3.27	-3.00	-2.76	-3.23	-5.50	-5.05	-5.95
0.037	-3.15	-2.92	-3.38	-3.07	-2.81	-3.32	-5.69	-5.23	-6.16
0.038	-3.09	-2.85	-3.34	-3.01	-2.75	-3.28	-5.58	-5.10	-6.06
0.039	-3.20	-2.92	-3.47	-3.10	-2.81	-3.39	-5.78	-5.27	-6.30
0.04	-3.08	-2.85	-3.31	-2.98	-2.73	-3.23	-5.55	-5.09	-6.01
0.041	-3.06	-2.83	-3.30	-2.96	-2.71	-3.21	-5.52	-5.05	-5.99
0.042	-3.01	-2.79	-3.23	-2.90	-2.66	-3.14	-5.42	-4.96	-5.87
0.043	-2.85	-2.65	-3.06	-2.76	-2.53	-2.98	-5.11	-4.67	-5.54
0.044	-2.90	-2.69	-3.10	-2.78	-2.55	-3.01	-5.19	-4.76	-5.62
0.045	-2.85	-2.63	-3.07	-2.74	-2.50	-2.97	-5.10	-4.65	-5.55
0.046	-3.00	-2.76	-3.24	-2.85	-2.59	-3.10	-5.40	-4.93	-5.87
0.047	-3.02	-2.80	-3.24	-2.87	-2.64	-3.10	-5.44	-4.99	-5.88
0.048	-2.94	-2.71	-3.16	-2.82	-2.58	-3.06	-5.27	-4.82	-5.73
0.049	-2.74	-2.54	-2.94	-2.64	-2.42	-2.86	-4.89	-4.46	-5.32
0.05	-2.70	-2.49	-2.92	-2.61	-2.37	-2.85	-4.82	-4.37	-5.26
0.051	-2.58	-2.36	-2.81	-2.55	-2.32	-2.78	-4.59	-4.13	-5.04
0.052	-2.63	-2.41	-2.85	-2.58	-2.36	-2.80	-4.68	-4.23	-5.13
0.053	-2.71	-2.48	-2.95	-2.66	-2.43	-2.89	-4.84	-4.37	-5.30
0.054	-2.62	-2.39	-2.86	-2.58	-2.34	-2.81	-4.66	-4.19	-5.13
0.055	-2.61	-2.37	-2.85	-2.58	-2.35	-2.82	-4.63	-4.16	-5.10
0.056	-2.60	-2.37	-2.82	-2.56	-2.34	-2.78	-4.61	-4.16	-5.06
0.057	-2.65	-2.41	-2.89	-2.62	-2.39	-2.85	-4.71	-4.24	-5.18
0.058	-2.81	-2.56	-3.05	-2.74	-2.50	-2.98	-5.02	-4.54	-5.49
0.059	-2.85	-2.62	-3.08	-2.77	-2.54	-2.99	-5.10	-4.64	-5.56
0.06	-2.98	-2.73	-3.22	-2.90	-2.65	-3.14	-5.35	-4.87	-5.83
0.061	-2.93	-2.67	-3.19	-2.85	-2.59	-3.10	-5.27	-4.77	-5.76
0.062	-3.02	-2.79	-3.24	-2.93	-2.71	-3.16	-5.43	-4.97	-5.89
0.063	-3.14	-2.82	-3.45	-3.07	-2.75	-3.38	-5.67	-5.11	-6.24
0.064	-3.01	-2.72	-3.29	-2.95	-2.66	-3.23	-5.41	-4.88	-5.93
0.065	-2.97	-2.65	-3.30	-2.91	-2.58	-3.24	-5.34	-4.77	-5.92
0.066	-3.01	-2.69	-3.34	-2.95	-2.62	-3.27	-5.42	-4.85	-6.00
0.067	-2.87	-2.58	-3.16	-2.81	-2.52	-3.10	-5.14	-4.61	-5.67
0.068	-2.75	-2.49	-3.01	-2.71	-2.44	-2.97	-4.91	-4.41	-5.41
0.069	-2.66	-2.42	-2.91	-2.62	-2.38	-2.86	-4.74	-4.26	-5.22
0.07	-2.52	-2.26	-2.78	-2.49	-2.23	-2.75	-4.46	-3.97	-4.96
0.071	-2.37	-2.10	-2.65	-2.35	-2.07	-2.62	-4.18	-3.67	-4.70
0.072	-2.28	-2.00	-2.57	-2.26	-1.97	-2.54	-4.01	-3.48	-4.54
0.073	-2.00	-1.74	-2.26	-1.99	-1.73	-2.25	-3.49	-2.99	-3.99
0.074	-1.88	-1.63	-2.13	-1.88	-1.63	-2.13	-3.26	-2.77	-3.74
0.075	-1.68	-1.42	-1.93	-1.69	-1.43	-1.94	-2.89	-2.40	-3.38
0.076	-1.61	-1.35	-1.87	-1.62	-1.37	-1.88	-2.77	-2.27	-3.26
0.077	-1.64	-1.41	-1.88	-1.66	-1.43	-1.89	-2.83	-2.36	-3.29
0.078	-1.61	-1.36	-1.86	-1.62	-1.37	-1.87	-2.77	-2.28	-3.25
0.079	-1.41	-1.17	-1.64	-1.42	-1.19	-1.65	-2.40	-1.94	-2.87
0.08	-1.15	-0.93	-1.38	-1.19	-0.96	-1.41	-1.95	-1.50	-2.41
0.081	-1.08	-0.86	-1.30	-1.12	-0.91	-1.34	-1.82	-1.37	-2.27
0.082	-1.06	-0.83	-1.29	-1.07	-0.85	-1.30	-1.79	-1.33	-2.26
0.083	-1.06	-0.84	-1.29	-1.07	-0.84	-1.29	-1.80	-1.34	-2.26
0.084	-1.16	-0.90	-1.42	-1.15	-0.90	-1.41	-1.96	-1.47	-2.46
0.085	-1.27	-1.01	-1.54	-1.25	-0.99	-1.51	-2.16	-1.66	-2.67
0.086	-1.28	-1.02	-1.55	-1.26	-1.00	-1.52	-2.18	-1.68	-2.68
0.087	-1.42	-1.15	-1.68	-1.39	-1.12	-1.65	-2.42	-1.92	-2.93
0.088	-1.38	-1.12	-1.65	-1.36	-1.10	-1.62	-2.36	-1.86	-2.86
0.089	-1.33	-1.05	-1.60	-1.32	-1.05	-1.59	-2.26	-1.75	-2.77
0.09	-1.20	-0.92	-1.48	-1.20	-0.92	-1.47	-2.04	-1.52	-2.56
0.091	-1.16	-0.89	-1.43	-1.16	-0.89	-1.43	-1.96	-1.46	-2.47
0.092	-1.06	-0.79	-1.34	-1.07	-0.79	-1.35	-1.80	-1.28	-2.31
0.093	-1.00	-0.74	-1.27	-1.00	-0.73	-1.26	-1.69	-1.19	-2.19
0.094	-0.96	-0.67	-1.24	-0.98	-0.69	-1.27	-1.61	-1.09	-2.14
0.095	-0.88	-0.60	-1.17	-0.87	-0.58	-1.15	-1.48	-0.96	-2.01
0.096	-0.73	-0.45	-1.00	-0.72	-0.44	-1.00	-1.21	-0.70	-1.73
0.097	-0.65	-0.34	-0.96	-0.65	-0.34	-0.96	-1.08	-0.53	-1.64
0.098	-0.59	-0.33	-0.85	-0.59	-0.32	-0.85	-0.98	-0.49	-1.48
0.099	-0.62	-0.33	-0.90	-0.62	-0.33	-0.91	-1.03	-0.51	-1.56
0.1	-0.45	-0.16	-0.74	-0.47	-0.17	-0.76	-0.75	-0.22	-1.28
0.101	-0.52	-0.23	-0.81	-0.52	-0.23	-0.82	-0.86	-0.33	-1.40
0.102	-0.51	-0.22	-0.80	-0.50	-0.20	-0.79	-0.85	-0.32	-1.37
0.103	-0.46	-0.18	-0.74	-0.43	-0.15	-0.71	-0.77	-0.25	-1.28
0.104	-0.40	-0.14	-0.65	-0.38	-0.12	-0.64	-0.66	-0.17	-1.15
0.105	-0.52	-0.27	-0.78	-0.50	-0.24	-0.75	-0.87	-0.38	-1.36
0.106	-0.69	-0.42	-0.96	-0.64	-0.37	-0.92	-1.15	-0.64	-1.66
0.107	-0.91	-0.64	-1.17	-0.82	-0.55	-1.08	-1.53	-1.02	-2.03
0.108	-0.98	-0.73	-1.24	-0.89	-0.63	-1.15	-1.66	-1.16	-2.15
0.109	-0.90	-0.65	-1.14	-0.84	-0.59	-1.08	-1.50	-1.03	-1.98
0.11	-0.98	-0.74	-1.23	-0.91	-0.66	-1.16	-1.66	-1.18	-2.13
0.111	-0.94	-0.66	-1.22	-0.87	-0.59	-1.15	-1.58	-1.07	-2.10
0.112	-0.72	-0.47	-0.98	-0.71	-0.45	-0.97	-1.20	-0.71	-1.69
0.113	-0.71	-0.44	-0.99	-0.58	-0.29	-0.86	-1.18	-0.67	-1.70
0.114	-0.66	-0.37	-0.96	-0.42	-0.12	-0.72	-1.10	-0.56	-1.64
0.115	-0.66	-0.34	-0.99	-0.25	0.08	-0.57	-1.10	-0.53	-1.67
0.116	-0.56	-0.24	-0.89	-0.11	0.23	-0.44	-0.93	-0.35	-1.51
0.117	-0.36	-0.09	-0.64	0.14	0.42	-0.14	-0.60	-0.08	-1.11
0.118	-0.16	0.11	-0.44	0.34	0.62	0.06	-0.27	0.24	-0.77
0.119	-0.06	0.20	-0.32	0.56	0.83	0.30	-0.10	0.39	-0.60
0.12	0.14	0.36	-0.09	0.75	0.98	0.52	0.22	0.68	-0.23
0.121	0.34	0.57	0.10	0.82	1.06	0.58	0.54	1.00	0.08
0.122	0.44	0.66	0.21	0.99	1.22	0.76	0.70	1.15	0.24
0.123	0.54	0.77	0.30	1.10	1.34	0.86	0.85	1.32	0.39
0.124	0.64	0.87	0.41	1.09	1.33	0.86	1.01	1.47	0.55
0.125	0.64	0.88	0.39	0.98	1.23	0.74	1.01	1.48	0.53
0.126	0.64	0.94	0.33	0.67	0.98	0.37	1.01	1.56	0.46
0.127	0.64	0.95	0.32	0.48	0.79	0.16	1.01	1.57	0.45
0.128	0.44	0.78	0.10	0.08	0.42	-0.25	0.70	1.29	0.10
0.129	0.24	0.67	-0.20	-0.35	0.09	-0.79	0.38	1.11	-0.35
0.13	-0.26	0.19	-0.72	-0.69	-0.23	-1.15	-0.43	0.32	-1.18
0.131	-1.01	-0.60	-1.42	-0.93	-0.52	-1.34	-1.70	-1.02	-2.39
0.132	-1.23	-0.83	-1.64	-1.13	-0.72	-1.55	-2.09	-1.41	-2.77
0.133	-1.53	-1.11	-1.95	-1.42	-0.99	-1.85	-2.62	-1.91	-3.32
0.134	-1.74	-1.34	-2.14	-1.62	-1.22	-2.02	-3.00	-2.33	-3.67
0.135	-1.93	-1.57	-2.30	-1.80	-1.43	-2.17	-3.36	-2.73	-3.99
0.136	-1.98	-1.67	-2.29	-1.85	-1.53	-2.16	-3.45	-2.89	-4.01
0.137	-2.11	-1.82	-2.41	-1.98	-1.68	-2.28	-3.69	-3.15	-4.23
0.138	-2.22	-1.93	-2.51	-2.08	-1.79	-2.37	-3.90	-3.37	-4.43
0.139	-2.34	-2.08	-2.60	-2.19	-1.93	-2.45	-4.13	-3.63	-4.62
0.14	-2.31	-2.03	-2.59	-2.16	-1.88	-2.44	-4.07	-3.55	-4.58
0.141	-2.31	-2.04	-2.59	-2.15	-1.88	-2.43	-4.07	-3.55	-4.58
0.142	-2.39	-2.04	-2.73	-2.22	-1.88	-2.57	-4.21	-3.60	-4.81
0.143	-2.39	-2.00	-2.78	-2.25	-1.85	-2.64	-4.21	-3.55	-4.88
0.144	-2.52	-2.10	-2.94	-2.36	-1.93	-2.78	-4.47	-3.76	-5.18
0.145	-2.41	-2.06	-2.76	-2.27	-1.91	-2.63	-4.26	-3.64	-4.87
0.146	-2.31	-2.02	-2.61	-2.17	-1.87	-2.48	-4.07	-3.53	-4.61
0.147	-2.40	-2.07	-2.73	-2.25	-1.92	-2.59	-4.24	-3.65	-4.82
0.148	-2.43	-2.16	-2.71	-2.27	-1.98	-2.56	-4.30	-3.78	-4.82
0.149	-2.41	-2.14	-2.68	-2.27	-1.99	-2.55	-4.25	-3.74	-4.76
0.15	-2.51	-2.20	-2.81	-2.37	-2.05	-2.69	-4.44	-3.88	-4.99
0.151	-2.43	-2.13	-2.73	-2.30	-1.99	-2.61	-4.29	-3.75	-4.84
0.152	-2.35	-2.08	-2.63	-2.23	-1.95	-2.50	-4.15	-3.64	-4.66
0.153	-2.48	-2.13	-2.82	-2.37	-2.02	-2.72	-4.38	-3.78	-4.98
0.154	-2.78	-2.40	-3.15	-2.63	-2.25	-3.01	-4.96	-4.31	-5.61
0.155	-2.89	-2.50	-3.29	-2.74	-2.35	-3.14	-5.19	-4.52	-5.85
0.156	-2.88	-2.49	-3.26	-2.77	-2.38	-3.15	-5.16	-4.50	-5.82
0.157	-3.07	-2.68	-3.45	-2.89	-2.51	-3.28	-5.53	-4.87	-6.18
0.158	-3.00	-2.62	-3.38	-2.84	-2.46	-3.22	-5.40	-4.75	-6.05
0.159	-2.88	-2.54	-3.23	-2.72	-2.38	-3.06	-5.17	-4.57	-5.77
0.16	-2.59	-2.27	-2.90	-2.47	-2.16	-2.78	-4.59	-4.03	-5.15
0.161	-2.38	-2.08	-2.67	-2.31	-2.01	-2.61	-4.19	-3.65	-4.73
0.162	-2.58	-2.29	-2.87	-2.44	-2.13	-2.74	-4.58	-4.05	-5.12
0.163	-2.56	-2.30	-2.81	-2.43	-2.17	-2.70	-4.53	-4.04	-5.02
0.164	-2.46	-2.20	-2.71	-2.37	-2.10	-2.63	-4.34	-3.85	-4.83
0.165	-2.45	-2.17	-2.73	-2.35	-2.06	-2.63	-4.34	-3.82	-4.86
0.166	-2.51	-2.17	-2.85	-2.41	-2.07	-2.75	-4.45	-3.85	-5.04
0.167	-2.64	-2.33	-2.95	-2.51	-2.19	-2.82	-4.70	-4.14	-5.25
0.168	-2.75	-2.43	-3.07	-2.60	-2.28	-2.93	-4.92	-4.35	-5.48
0.169	-2.36	-2.08	-2.64	-2.25	-1.97	-2.54	-4.17	-3.65	-4.69
0.17	-2.30	-2.06	-2.54	-2.18	-1.93	-2.42	-4.04	-3.57	-4.51
0.171	-2.23	-2.00	-2.45	-2.08	-1.85	-2.31	-3.91	-3.45	-4.36
0.172	-2.36	-2.07	-2.66	-2.21	-1.91	-2.51	-4.17	-3.63	-4.70
0.173	-2.30	-2.01	-2.59	-2.16	-1.86	-2.45	-4.05	-3.52	-4.58
0.174	-2.36	-2.06	-2.67	-2.20	-1.88	-2.51	-4.16	-3.61	-4.71
0.175	-2.40	-2.04	-2.77	-2.23	-1.86	-2.61	-4.24	-3.61	-4.87
0.176	-2.22	-1.82	-2.62	-2.06	-1.65	-2.46	-3.89	-3.22	-4.57
0.177	-2.26	-1.84	-2.68	-2.07	-1.64	-2.50	-3.97	-3.26	-4.67
0.178	-2.32	-1.95	-2.70	-2.13	-1.74	-2.51	-4.09	-3.45	-4.73
0.179	-2.13	-1.82	-2.44	-1.96	-1.64	-2.28	-3.73	-3.17	-4.29
0.18	-2.11	-1.82	-2.40	-1.95	-1.65	-2.25	-3.69	-3.15	-4.22
0.181	-2.25	-1.96	-2.55	-2.10	-1.80	-2.41	-3.96	-3.42	-4.50
0.182	-2.38	-2.08	-2.69	-2.19	-1.88	-2.51	-4.21	-3.65	-4.76
0.183	-2.29	-2.00	-2.57	-2.13	-1.83	-2.43	-4.02	-3.49	-4.55
0.184	-2.16	-1.86	-2.45	-1.99	-1.68	-2.29	-3.78	-3.24	-4.31
0.185	-2.07	-1.78	-2.37	-1.92	-1.62	-2.22	-3.62	-3.08	-4.16
0.186	-2.05	-1.76	-2.34	-1.90	-1.60	-2.20	-3.58	-3.04	-4.11
0.187	-1.99	-1.72	-2.25	-1.81	-1.53	-2.08	-3.46	-2.95	-3.96
0.188	-1.85	-1.58	-2.12	-1.68	-1.41	-1.95	-3.21	-2.70	-3.71
0.189	-1.81	-1.56	-2.06	-1.65	-1.40	-1.90	-3.13	-2.64	-3.61
0.19	-1.79	-1.52	-2.05	-1.67	-1.40	-1.93	-3.09	-2.59	-3.59
0.191	-1.62	-1.37	-1.88	-1.57	-1.31	-1.82	-2.79	-2.31	-3.28
0.192	-1.38	-1.10	-1.67	-1.33	-1.05	-1.61	-2.36	-1.83	-2.88
0.193	-1.52	-1.21	-1.82	-1.49	-1.19	-1.79	-2.60	-2.05	-3.15
0.194	-1.49	-1.17	-1.80	-1.47	-1.17	-1.78	-2.55	-1.99	-3.12
0.195	-1.46	-1.15	-1.77	-1.45	-1.16	-1.75	-2.50	-1.95	-3.06
0.196	-1.38	-1.07	-1.70	-1.37	-1.06	-1.67	-2.36	-1.79	-2.92
0.197	-1.27	-0.97	-1.57	-1.26	-0.97	-1.55	-2.16	-1.61	-2.70
0.198	-1.05	-0.76	-1.34	-1.04	-0.75	-1.33	-1.78	-1.25	-2.31
0.199	-0.97	-0.69	-1.26	-0.95	-0.67	-1.23	-1.64	-1.12	-2.16
0.2	-0.95	-0.67	-1.22	-0.96	-0.69	-1.23	-1.59	-1.08	-2.11
0.201	-0.87	-0.61	-1.13	-0.87	-0.61	-1.14	-1.46	-0.97	-1.96
0.202	-0.77	-0.51	-1.03	-0.79	-0.53	-1.04	-1.29	-0.79	-1.78
0.203	-0.69	-0.44	-0.94	-0.72	-0.46	-0.98	-1.15	-0.66	-1.64
0.204	-0.74	-0.48	-1.00	-0.76	-0.49	-1.02	-1.24	-0.74	-1.73
0.205	-0.79	-0.54	-1.04	-0.80	-0.55	-1.06	-1.32	-0.84	-1.80
0.206	-0.78	-0.53	-1.04	-0.81	-0.55	-1.08	-1.32	-0.82	-1.81
0.207	-0.74	-0.48	-0.99	-0.77	-0.51	-1.03	-1.23	-0.75	-1.72
0.208	-0.64	-0.38	-0.89	-0.68	-0.41	-0.94	-1.06	-0.57	-1.55
0.209	-0.61	-0.32	-0.89	-0.65	-0.36	-0.94	-1.02	-0.49	-1.54
0.21	-0.62	-0.31	-0.93	-0.68	-0.37	-0.99	-1.04	-0.48	-1.60
0.211	-0.57	-0.26	-0.88	-0.64	-0.34	-0.95	-0.95	-0.39	-1.51
0.212	-0.54	-0.21	-0.87	-0.60	-0.28	-0.92	-0.89	-0.31	-1.48
0.213	-0.48	-0.12	-0.84	-0.57	-0.23	-0.92	-0.80	-0.18	-1.41
0.214	-0.57	-0.22	-0.92	-0.64	-0.31	-0.97	-0.96	-0.35	-1.56
0.215	-0.62	-0.29	-0.94	-0.68	-0.37	-1.00	-1.03	-0.45	-1.61
0.216	-0.61	-0.28	-0.94	-0.69	-0.38	-1.00	-1.02	-0.44	-1.60
0.217	-0.78	-0.45	-1.12	-0.84	-0.53	-1.15	-1.31	-0.72	-1.90
0.218	-0.99	-0.68	-1.30	-1.01	-0.72	-1.30	-1.67	-1.11	-2.23
0.219	-1.34	-1.03	-1.65	-1.30	-1.01	-1.60	-2.29	-1.73	-2.85
0.22	-1.53	-1.22	-1.85	-1.48	-1.18	-1.78	-2.63	-2.07	-3.20
0.221	-1.63	-1.32	-1.94	-1.56	-1.27	-1.86	-2.80	-2.24	-3.36
0.222	-1.79	-1.48	-2.11	-1.72	-1.41	-2.02	-3.10	-2.54	-3.67
0.223	-1.85	-1.53	-2.16	-1.76	-1.46	-2.06	-3.20	-2.64	-3.76
0.224	-1.81	-1.51	-2.12	-1.72	-1.42	-2.02	-3.14	-2.59	-3.70
0.225	-1.82	-1.52	-2.12	-1.73	-1.43	-2.02	-3.15	-2.61	-3.69
0.226	-1.84	-1.54	-2.15	-1.75	-1.45	-2.04	-3.19	-2.65	-3.74
0.227	-1.79	-1.47	-2.10	-1.72	-1.42	-2.03	-3.09	-2.53	-3.65
0.228	-1.80	-1.47	-2.12	-1.74	-1.43	-2.06	-3.11	-2.53	-3.68
0.229	-1.77	-1.44	-2.09	-1.72	-1.40	-2.03	-3.06	-2.48	-3.63
0.23	-1.73	-1.43	-2.04	-1.70	-1.40	-2.00	-2.99	-2.44	-3.55
0.231	-1.63	-1.32	-1.93	-1.60	-1.30	-1.90	-2.80	-2.25	-3.35
0.232	-1.47	-1.14	-1.80	-1.47	-1.15	-1.79	-2.52	-1.93	-3.10
0.233	-1.45	-1.12	-1.79	-1.47	-1.14	-1.79	-2.48	-1.90	-3.07
0.234	-1.40	-1.07	-1.74	-1.44	-1.10	-1.78	-2.40	-1.80	-3.00
0.235	-1.32	-0.99	-1.66	-1.37	-1.03	-1.70	-2.26	-1.67	-2.84
0.236	-1.18	-0.84	-1.51	-1.25	-0.91	-1.59	-2.00	-1.40	-2.59
0.237	-0.96	-0.62	-1.31	-1.05	-0.70	-1.40	-1.62	-1.02	-2.23
0.238	-0.83	-0.45	-1.22	-0.96	-0.58	-1.34	-1.40	-0.74	-2.06
0.239	-0.68	-0.29	-1.08	-0.83	-0.44	-1.22	-1.14	-0.47	-1.82
0.24	-0.63	-0.26	-1.00	-0.81	-0.44	-1.18	-1.05	-0.42	-1.69
0.241	-0.69	-0.33	-1.05	-0.84	-0.48	-1.20	-1.16	-0.54	-1.78
0.242	-0.96	-0.59	-1.33	-1.05	-0.68	-1.42	-1.61	-0.97	-2.25
0.243	-1.17	-0.82	-1.53	-1.23	-0.87	-1.59	-1.99	-1.37	-2.61
0.244	-1.30	-0.94	-1.66	-1.34	-0.98	-1.70	-2.21	-1.60	-2.83
0.245	-1.26	-0.83	-1.69	-1.32	-0.92	-1.73	-2.14	-1.42	-2.86
0.246	-1.61	-1.25	-1.97	-1.61	-1.26	-1.97	-2.76	-2.14	-3.39
0.247	-1.88	-1.55	-2.21	-1.84	-1.50	-2.18	-3.26	-2.68	-3.84
0.248	-2.08	-1.76	-2.39	-1.96	-1.63	-2.30	-3.62	-3.05	-4.19
0.249	-2.22	-1.91	-2.53	-2.10	-1.78	-2.43	-3.90	-3.34	-4.46
0.25	-2.29	-1.98	-2.59	-2.16	-1.84	-2.48	-4.02	-3.47	-4.57
0.251	-2.44	-2.12	-2.76	-2.32	-1.99	-2.65	-4.31	-3.74	-4.89
0.252	-2.34	-2.03	-2.65	-2.23	-1.91	-2.54	-4.11	-3.56	-4.67
0.253	-2.45	-2.12	-2.79	-2.33	-2.00	-2.66	-4.34	-3.75	-4.92
0.254	-2.52	-2.18	-2.86	-2.41	-2.07	-2.75	-4.47	-3.87	-5.07
0.255	-2.45	-2.12	-2.78	-2.36	-2.03	-2.68	-4.34	-3.75	-4.92
0.256	-2.45	-2.09	-2.80	-2.34	-2.00	-2.68	-4.32	-3.70	-4.94
0.257	-2.43	-2.10	-2.75	-2.32	-2.00	-2.64	-4.29	-3.71	-4.87
0.258	-2.44	-2.12	-2.77	-2.33	-2.02	-2.65	-4.32	-3.74	-4.89
0.259	-2.44	-2.13	-2.76	-2.33	-2.03	-2.64	-4.32	-3.76	-4.88
0.26	-2.51	-2.22	-2.80	-2.37	-2.08	-2.66	-4.44	-3.92	-4.97
0.261	-2.54	-2.25	-2.83	-2.39	-2.09	-2.69	-4.50	-3.97	-5.04
0.262	-2.71	-2.37	-3.05	-2.52	-2.19	-2.84	-4.83	-4.24	-5.42
0.263	-2.53	-2.20	-2.87	-2.35	-2.04	-2.67	-4.49	-3.90	-5.08
0.264	-2.68	-2.32	-3.03	-2.42	-2.09	-2.75	-4.77	-4.15	-5.39
0.265	-2.65	-2.30	-2.99	-2.42	-2.09	-2.74	-4.70	-4.11	-5.30
0.266	-2.68	-2.33	-3.04	-2.45	-2.12	-2.78	-4.78	-4.16	-5.39
0.267	-2.79	-2.44	-3.15	-2.55	-2.20	-2.90	-4.99	-4.37	-5.60
0.268	-2.90	-2.53	-3.26	-2.65	-2.27	-3.02	-5.19	-4.56	-5.83
0.269	-3.05	-2.69	-3.41	-2.77	-2.40	-3.15	-5.49	-4.86	-6.11
0.27	-2.92	-2.54	-3.30	-2.67	-2.29	-3.05	-5.24	-4.60	-5.89
0.271	-2.80	-2.38	-3.22	-2.58	-2.19	-2.97	-5.01	-4.30	-5.71
0.272	-2.75	-2.34	-3.15	-2.57	-2.18	-2.97	-4.90	-4.22	-5.58
0.273	-2.96	-2.53	-3.38	-2.67	-2.25	-3.08	-5.32	-4.61	-6.03
0.274	-2.84	-2.43	-3.26	-2.57	-2.15	-2.99	-5.09	-4.39	-5.79
0.275	-2.71	-2.31	-3.11	-2.52	-2.12	-2.92	-4.83	-4.16	-5.50
0.276	-2.70	-2.31	-3.09	-2.48	-2.08	-2.87	-4.81	-4.15	-5.47
0.277	-2.53	-2.14	-2.92	-2.37	-1.99	-2.76	-4.49	-3.83	-5.15
0.278	-2.44	-2.06	-2.83	-2.30	-1.93	-2.67	-4.32	-3.66	-4.97
0.279	-2.39	-2.00	-2.77	-2.25	-1.88	-2.63	-4.21	-3.56	-4.86
0.28	-2.27	-1.89	-2.65	-2.22	-1.84	-2.59	-3.99	-3.34	-4.64
0.281	-2.25	-1.88	-2.62	-2.12	-1.76	-2.48	-3.96	-3.32	-4.59
0.282	-2.06	-1.70	-2.43	-1.95	-1.61	-2.30	-3.60	-2.97	-4.23
0.283	-1.84	-1.48	-2.20	-1.79	-1.45	-2.13	-3.19	-2.56	-3.82
0.284	-1.65	-1.26	-2.04	-1.64	-1.28	-1.99	-2.84	-2.18	-3.51
