Age (Ma)	NH extratropics SST (oC)	NH extratropics SST +1 stdev	NH extratropics SST -1 stdev
0.169	-3.04	-2.63	-3.45
0.17	-2.87	-2.44	-3.29
0.171	-3.28	-2.75	-3.82
0.172	-3.89	-3.30	-4.47
0.173	-3.21	-2.65	-3.77
0.174	-3.55	-2.89	-4.20
0.175	-3.45	-2.70	-4.20
0.176	-2.79	-2.00	-3.58
0.177	-2.81	-1.98	-3.64
0.178	-2.85	-2.17	-3.53
0.179	-2.46	-1.95	-2.97
0.18	-2.43	-1.97	-2.88
0.181	-2.51	-2.01	-3.00
0.182	-3.01	-2.42	-3.60
0.183	-2.92	-2.52	-3.33
0.184	-2.82	-2.38	-3.26
0.185	-2.44	-1.95	-2.93
0.186	-2.48	-2.01	-2.94
0.187	-2.42	-1.97	-2.87
0.188	-2.46	-1.89	-3.03
0.189	-2.42	-1.86	-2.98
0.19	-2.14	-1.64	-2.64
0.191	-2.22	-1.69	-2.74
0.192	-1.72	-1.01	-2.44
0.193	-1.85	-1.15	-2.55
0.194	-1.54	-0.75	-2.33
0.195	-1.34	-0.58	-2.10
0.196	-1.32	-0.51	-2.13
0.197	-1.35	-0.61	-2.10
0.198	-0.93	-0.26	-1.60
0.199	-0.83	-0.15	-1.52
0.2	-0.90	-0.23	-1.58
0.201	-1.03	-0.36	-1.69
0.202	-0.74	-0.10	-1.39
0.203	-0.41	0.22	-1.04
0.204	-0.48	0.18	-1.15
0.205	-0.54	0.08	-1.16
0.206	-0.40	0.18	-0.98
0.207	-0.29	0.29	-0.87
0.208	-0.39	0.17	-0.95
0.209	-0.51	0.09	-1.11
0.21	-0.57	0.06	-1.21
0.211	-0.74	-0.02	-1.45
0.212	-0.86	-0.06	-1.67
0.213	-1.04	-0.16	-1.93
0.214	-1.31	-0.34	-2.27
0.215	-1.24	-0.20	-2.28
0.216	-1.14	-0.10	-2.19
0.217	-1.22	-0.14	-2.30
0.218	-1.67	-0.75	-2.58
0.219	-2.78	-1.83	-3.72
0.22	-2.89	-1.97	-3.82
0.221	-2.66	-1.82	-3.51
0.222	-2.81	-1.97	-3.66
0.223	-2.77	-1.85	-3.69
0.224	-2.35	-1.50	-3.19
0.225	-2.21	-1.43	-3.00
0.226	-2.19	-1.38	-3.00
0.227	-1.94	-1.18	-2.70
0.228	-1.73	-0.99	-2.46
0.229	-1.87	-1.14	-2.60
0.23	-1.68	-0.99	-2.38
0.231	-1.44	-0.77	-2.12
0.232	-1.05	-0.30	-1.79
0.233	-1.14	-0.44	-1.85
0.234	-0.94	-0.23	-1.66
0.235	-0.79	-0.08	-1.51
0.236	-0.58	0.15	-1.32
0.237	-0.71	0.02	-1.44
0.238	-0.65	0.21	-1.52
0.239	-0.55	0.34	-1.45
0.24	-0.48	0.31	-1.26
0.241	-0.95	-0.18	-1.73
0.242	-1.97	-1.09	-2.85
0.243	-2.79	-1.84	-3.74
0.244	-2.92	-1.98	-3.85
0.245	-2.17	-1.02	-3.32
0.246	-2.51	-1.55	-3.46
0.247	-2.98	-2.17	-3.79
0.248	-3.11	-2.34	-3.89
0.249	-3.15	-2.40	-3.90
0.25	-3.16	-2.44	-3.88
0.251	-2.85	-2.08	-3.63
0.252	-2.78	-2.01	-3.54
0.253	-2.74	-1.96	-3.51
0.254	-2.90	-2.16	-3.65
0.255	-2.77	-1.95	-3.58
0.256	-2.71	-1.79	-3.63
0.257	-2.63	-1.81	-3.46
0.258	-2.62	-1.82	-3.43
0.259	-2.57	-1.79	-3.35
0.26	-2.91	-2.19	-3.62
0.261	-3.07	-2.27	-3.86
0.262	-3.57	-2.49	-4.65
0.263	-3.57	-2.48	-4.67
0.264	-3.85	-2.53	-5.17
0.265	-3.48	-2.28	-4.68
0.266	-3.41	-2.15	-4.67
0.267	-3.42	-2.25	-4.59
0.268	-3.40	-2.33	-4.46
0.269	-3.47	-2.38	-4.55
0.27	-3.24	-2.03	-4.44
0.271	-2.59	-1.16	-4.01
0.272	-2.58	-1.34	-3.81
0.273	-3.57	-2.05	-5.08
0.274	-3.27	-1.91	-4.64
0.275	-3.18	-2.03	-4.34
0.276	-3.04	-1.83	-4.26
0.277	-2.40	-1.24	-3.57
0.278	-2.04	-0.89	-3.18
0.279	-1.79	-0.72	-2.85
0.28	-1.43	-0.51	-2.35
0.281	-1.21	-0.24	-2.17
0.282	-1.00	-0.06	-1.95
0.283	-1.05	-0.14	-1.96
0.284	-0.85	0.07	-1.78
0.285	-0.91	-0.01	-1.81
0.286	-0.92	-0.02	-1.82
0.287	-1.15	-0.29	-2.02
0.288	-1.90	-1.10	-2.70
0.289	-2.02	-1.13	-2.91
0.29	-2.60	-1.73	-3.47
0.291	-2.56	-1.77	-3.35
0.292	-2.77	-1.88	-3.66
0.293	-2.85	-1.99	-3.72
0.294	-2.86	-2.08	-3.64
0.295	-2.25	-1.42	-3.08
0.296	-1.91	-0.99	-2.84
0.297	-1.97	-1.20	-2.75
0.298	-1.69	-0.94	-2.44
0.299	-1.50	-0.79	-2.21
0.3	-1.49	-0.83	-2.14
0.301	-1.33	-0.64	-2.01
0.302	-1.25	-0.57	-1.94
0.303	-1.24	-0.57	-1.91
0.304	-1.18	-0.54	-1.82
0.305	-1.16	-0.56	-1.75
0.306	-1.12	-0.47	-1.76
0.307	-1.26	-0.61	-1.90
0.308	-0.94	-0.29	-1.60
0.309	-0.72	-0.03	-1.41
0.31	-0.61	0.09	-1.31
0.311	-0.56	0.11	-1.24
0.312	-0.65	-0.03	-1.28
0.313	-0.42	0.34	-1.18
0.314	-0.61	0.06	-1.27
0.315	-0.76	-0.15	-1.36
0.316	-0.92	-0.25	-1.60
0.317	-0.64	-0.01	-1.28
0.318	-0.73	-0.12	-1.34
0.319	-0.57	0.14	-1.27
0.32	-0.34	0.51	-1.19
0.321	-0.38	0.36	-1.13
0.322	-0.26	0.46	-0.98
0.323	0.00	0.58	-0.59
0.324	0.21	0.79	-0.37
0.325	0.19	0.84	-0.46
0.326	0.88	1.68	0.08
0.327	0.80	1.53	0.07
0.328	0.93	1.66	0.19
0.329	0.93	1.68	0.18
0.33	0.81	1.49	0.14
0.331	0.59	1.23	-0.04
0.332	0.34	1.06	-0.37
0.333	-0.55	0.31	-1.40
0.334	-1.13	-0.13	-2.12
0.335	-1.66	-0.45	-2.88
0.336	-1.88	-0.58	-3.17
0.337	-2.65	-1.11	-4.19
0.338	-2.68	-0.93	-4.43
0.339	-2.59	-1.14	-4.05
0.34	-1.84	-0.31	-3.37
0.341	-2.90	-1.51	-4.29
0.342	-2.96	-1.56	-4.35
0.343	-2.51	-1.34	-3.68
0.344	-2.67	-1.59	-3.74
0.345	-2.83	-1.80	-3.86
0.346	-2.91	-1.95	-3.87
0.347	-2.94	-2.10	-3.78
0.348	-2.66	-1.94	-3.38
0.349	-2.53	-1.86	-3.20
0.35	-2.94	-2.26	-3.61
0.351	-2.88	-2.17	-3.59
0.352	-3.03	-2.19	-3.88
0.353	-3.36	-2.32	-4.40
0.354	-3.85	-2.66	-5.05
0.355	-4.56	-3.25	-5.88
0.356	-4.40	-3.03	-5.77
0.357	-4.23	-2.94	-5.51
0.358	-3.65	-2.45	-4.85
0.359	-3.77	-2.65	-4.89
0.36	-3.50	-2.50	-4.51
0.361	-3.56	-2.49	-4.63
0.362	-3.59	-2.52	-4.66
0.363	-3.28	-2.30	-4.25
0.364	-3.16	-2.20	-4.13
0.365	-3.40	-2.51	-4.30
0.366	-3.30	-2.41	-4.19
0.367	-3.18	-2.33	-4.04
0.368	-3.36	-2.42	-4.30
0.369	-3.02	-2.13	-3.92
0.37	-2.83	-1.97	-3.68
0.371	-2.78	-1.97	-3.58
0.372	-2.85	-2.07	-3.62
0.373	-3.12	-2.31	-3.93
0.374	-2.80	-1.99	-3.61
0.375	-2.69	-1.88	-3.51
0.376	-2.40	-1.56	-3.24
0.377	-2.23	-1.36	-3.11
0.378	-2.31	-1.42	-3.21
0.379	-2.06	-1.29	-2.83
0.38	-2.19	-1.42	-2.96
0.381	-2.02	-1.26	-2.78
0.382	-2.23	-1.43	-3.03
0.383	-2.19	-1.37	-3.01
0.384	-1.91	-1.21	-2.60
0.385	-2.12	-1.28	-2.96
0.386	-1.90	-1.26	-2.54
0.387	-1.53	-0.88	-2.18
0.388	-1.84	-1.17	-2.51
0.389	-2.08	-1.43	-2.74
0.39	-2.12	-1.33	-2.92
0.391	-1.59	-0.66	-2.51
0.392	-0.71	0.23	-1.64
0.393	-0.72	0.08	-1.52
0.394	-0.66	0.07	-1.39
0.395	-0.55	0.08	-1.18
0.396	-0.92	-0.08	-1.76
0.397	0.00	0.79	-0.78
0.398	0.17	1.05	-0.70
0.399	0.24	1.15	-0.66
0.4	0.59	1.49	-0.30
0.401	0.67	1.67	-0.33
0.402	0.74	1.74	-0.26
0.403	1.07	2.05	0.09
0.404	1.03	1.94	0.12
0.405	1.16	2.01	0.31
0.406	1.19	1.91	0.47
0.407	1.15	1.89	0.41
0.408	1.19	1.94	0.44
0.409	1.11	1.89	0.34
0.41	0.93	1.74	0.13
0.411	0.75	1.62	-0.12
0.412	0.75	1.65	-0.15
0.413	0.80	1.80	-0.19
0.414	1.05	1.99	0.12
0.415	0.95	1.89	0.00
0.416	0.62	1.54	-0.30
0.417	0.45	1.35	-0.45
0.418	0.29	1.18	-0.60
0.419	0.08	0.96	-0.80
0.42	-0.16	0.73	-1.04
0.421	-0.50	0.24	-1.24
0.422	-0.88	-0.22	-1.54
0.423	-1.29	-0.62	-1.95
0.424	-2.49	-1.36	-3.62
0.425	-2.82	-1.77	-3.87
0.426	-3.36	-2.20	-4.52
0.427	-3.59	-2.43	-4.76
0.428	-4.04	-2.68	-5.40
0.429	-3.44	-2.24	-4.64
0.43	-3.24	-2.21	-4.27
0.431	-3.36	-2.31	-4.42
0.432	-3.61	-2.46	-4.76
0.433	-4.12	-2.80	-5.45
0.434	-4.67	-3.18	-6.17
0.435	-4.94	-3.42	-6.46
0.436	-3.79	-2.32	-5.27
0.437	-4.25	-3.02	-5.47
0.438	-4.52	-3.18	-5.85
0.439	-4.22	-3.02	-5.43
0.44	-3.83	-2.77	-4.88
0.441	-3.56	-2.51	-4.60
0.442	-3.32	-2.29	-4.35
0.443	-3.41	-2.46	-4.35
0.444	-3.57	-2.74	-4.40
0.445	-3.67	-2.81	-4.54
0.446	-3.69	-2.92	-4.46
0.447	-3.63	-2.91	-4.36
0.448	-3.60	-2.92	-4.28
0.449	-3.82	-3.13	-4.50
0.45	-4.14	-3.49	-4.79
0.451	-4.05	-3.43	-4.66
0.452	-4.41	-3.78	-5.05
0.453	-4.72	-4.03	-5.40
0.454	-4.56	-3.91	-5.22
0.455	-4.82	-4.12	-5.52
0.456	-4.87	-4.08	-5.65
0.457	-4.47	-3.85	-5.09
0.458	-4.25	-3.64	-4.86
0.459	-3.83	-3.19	-4.46
0.46	-3.77	-3.08	-4.46
0.461	-3.93	-3.15	-4.71
0.462	-4.41	-3.72	-5.09
0.463	-4.33	-3.63	-5.03
0.464	-4.41	-3.72	-5.09
0.465	-4.46	-3.81	-5.11
0.466	-4.52	-3.86	-5.18
0.467	-4.30	-3.63	-4.97
0.468	-4.06	-3.34	-4.79
0.469	-4.34	-3.61	-5.08
0.47	-4.62	-3.70	-5.54
0.471	-4.89	-3.95	-5.84
0.472	-5.05	-4.11	-6.00
0.473	-4.88	-3.95	-5.80
0.474	-4.31	-3.51	-5.12
0.475	-3.43	-2.72	-4.14
0.476	-3.24	-2.45	-4.03
0.477	-3.08	-2.29	-3.87
0.478	-3.02	-2.15	-3.89
0.479	-2.82	-1.88	-3.76
0.48	-2.56	-1.71	-3.42
0.481	-2.86	-2.04	-3.68
0.482	-2.81	-1.94	-3.68
0.483	-2.78	-1.95	-3.62
0.484	-2.65	-1.89	-3.40
0.485	-2.51	-1.79	-3.24
0.486	-2.46	-1.77	-3.15
0.487	-2.15	-1.47	-2.82
0.488	-2.09	-1.43	-2.75
0.489	-1.81	-1.15	-2.48
0.49	-1.55	-0.85	-2.25
0.491	-1.31	-0.58	-2.04
0.492	-1.15	-0.40	-1.91
0.493	-1.34	-0.59	-2.08
0.494	-1.22	-0.40	-2.04
0.495	-1.50	-0.68	-2.32
0.496	-1.45	-0.57	-2.33
0.497	-1.22	-0.35	-2.09
0.498	-1.10	-0.28	-1.91
0.499	-1.20	-0.41	-1.99
0.5	-1.31	-0.54	-2.08
0.501	-1.38	-0.62	-2.14
0.502	-1.20	-0.43	-1.98
0.503	-1.40	-0.68	-2.11
0.504	-1.48	-0.78	-2.17
0.505	-1.45	-0.78	-2.12
0.506	-1.62	-0.92	-2.32
0.507	-1.52	-0.85	-2.19
0.508	-1.52	-0.86	-2.17
0.509	-1.65	-1.00	-2.30
0.51	-1.16	-0.20	-2.12
0.511	-1.12	-0.35	-1.89
0.512	-1.25	-0.56	-1.93
0.513	-1.38	-0.74	-2.02
0.514	-1.53	-0.90	-2.17
