Age	d18Osw	sigma
1.141	0.38	0.32
1.142	0.32	0.34
1.143	0.38	0.31
1.144	0.44	0.29
1.145	0.41	0.31
1.146	0.39	0.33
1.147	0.40	0.33
1.148	0.41	0.34
1.149	0.42	0.29
1.15	0.42	0.26
1.151	0.36	0.27
1.152	0.27	0.27
1.153	0.26	0.27
1.154	0.27	0.27
1.155	0.29	0.31
1.156	0.33	0.35
1.157	0.30	0.32
1.158	0.26	0.29
1.159	0.33	0.30
1.16	0.38	0.31
1.161	0.33	0.31
1.162	0.28	0.31
1.163	0.33	0.29
1.164	0.35	0.27
1.165	0.29	0.27
1.166	0.23	0.26
1.167	0.22	0.28
1.168	0.20	0.30
1.169	0.26	0.29
1.17	0.30	0.28
1.171	0.33	0.28
1.172	0.38	0.28
1.173	0.45	0.27
1.174	0.52	0.27
1.175	0.50	0.32
1.176	0.50	0.39
1.177	0.43	0.34
1.178	0.35	0.30
1.179	0.31	0.34
1.18	0.27	0.39
1.181	0.34	0.32
1.182	0.39	0.27
1.183	0.48	0.28
1.184	0.55	0.29
1.185	0.52	0.30
1.186	0.48	0.32
1.187	0.47	0.29
1.188	0.47	0.27
1.189	0.54	0.31
1.19	0.63	0.35
1.191	0.75	0.31
1.192	0.91	0.27
1.193	0.87	0.27
1.194	0.86	0.27
1.195	0.88	0.28
1.196	0.93	0.30
1.197	0.95	0.29
1.198	0.93	0.29
1.199	0.98	0.29
1.2	1.02	0.28
1.201	0.87	0.32
1.202	0.72	0.38
1.203	0.83	0.32
1.204	0.95	0.27
1.205	0.83	0.33
1.206	0.71	0.40
1.207	0.81	0.33
1.208	0.91	0.27
1.209	0.87	0.27
1.21	0.81	0.27
1.211	0.72	0.31
1.212	0.62	0.36
1.213	0.66	0.32
1.214	0.72	0.29
1.215	0.60	0.30
1.216	0.50	0.32
1.217	0.40	0.39
1.218	0.34	0.46
1.219	0.44	0.35
1.22	0.54	0.28
1.221	0.48	0.30
1.222	0.43	0.32
1.223	0.34	0.31
1.224	0.25	0.30
1.225	0.20	0.30
1.226	0.17	0.30
1.227	0.19	0.29
1.228	0.19	0.29
1.229	0.13	0.28
1.23	0.07	0.27
1.231	0.09	0.28
1.232	0.07	0.29
1.233	0.08	0.28
1.234	0.10	0.28
1.235	0.12	0.29
1.236	0.13	0.31
1.237	0.13	0.31
1.238	0.11	0.30
1.239	0.08	0.32
1.24	0.06	0.35
1.241	0.14	0.37
1.242	0.21	0.39
1.243	0.23	0.37
1.244	0.27	0.34
1.245	0.43	0.31
1.246	0.58	0.29
1.247	0.67	0.28
1.248	0.75	0.28
1.249	0.73	0.30
1.25	0.71	0.32
1.251	0.70	0.34
1.252	0.67	0.36
1.253	0.71	0.31
1.254	0.77	0.27
1.255	0.67	0.27
1.256	0.58	0.27
1.257	0.50	0.29
1.258	0.45	0.31
1.259	0.36	0.35
1.26	0.30	0.40
1.261	0.34	0.32
1.262	0.40	0.27
1.263	0.30	0.29
1.264	0.21	0.32
1.265	0.28	0.28
1.266	0.33	0.26
1.267	0.30	0.27
1.268	0.27	0.28
1.269	0.26	0.29
1.27	0.27	0.30
1.271	0.22	0.29
1.272	0.18	0.29
1.273	0.21	0.28
1.274	0.24	0.27
1.275	0.22	0.28
1.276	0.20	0.28
1.277	0.26	0.29
1.278	0.34	0.31
1.279	0.30	0.33
1.28	0.29	0.35
1.281	0.30	0.38
1.282	0.29	0.42
1.283	0.37	0.33
1.284	0.43	0.27
1.285	0.52	0.29
1.286	0.60	0.33
1.287	0.76	0.30
1.288	0.88	0.28
1.289	0.89	0.28
1.29	0.90	0.29
1.291	0.85	0.28
1.292	0.78	0.27
1.293	0.60	0.29
1.294	0.43	0.32
1.295	0.56	0.30
1.296	0.70	0.29
1.297	0.62	0.28
1.298	0.53	0.28
1.299	0.55	0.29
1.3	0.58	0.29
1.301	0.53	0.30
1.302	0.48	0.32
1.303	0.44	0.31
1.304	0.40	0.31
1.305	0.33	0.32
1.306	0.28	0.33
1.307	0.33	0.30
1.308	0.38	0.28
1.309	0.38	0.28
1.31	0.37	0.28
1.311	0.35	0.28
1.312	0.34	0.28
1.313	0.30	0.32
1.314	0.27	0.37
1.315	0.30	0.33
1.316	0.33	0.29
1.317	0.34	0.34
1.318	0.35	0.39
1.319	0.41	0.37
1.32	0.45	0.35
1.321	0.50	0.32
1.322	0.56	0.29
1.323	0.57	0.29
1.324	0.59	0.30
1.325	0.61	0.30
1.326	0.63	0.31
1.327	0.62	0.33
1.328	0.59	0.36
1.329	0.67	0.30
1.33	0.76	0.26
1.331	0.75	0.27
1.332	0.74	0.28
1.333	0.73	0.31
1.334	0.71	0.36
1.335	0.73	0.30
1.336	0.76	0.27
1.337	0.69	0.28
1.338	0.64	0.31
1.339	0.66	0.34
1.34	0.68	0.37
1.341	0.61	0.32
1.342	0.52	0.28
1.343	0.40	0.31
1.344	0.29	0.35
1.345	0.37	0.35
1.346	0.42	0.36
1.347	0.32	0.38
1.348	0.22	0.41
1.349	0.24	0.36
1.35	0.25	0.32
1.351	0.16	0.32
1.352	0.10	0.32
1.353	0.10	0.32
1.354	0.11	0.32
1.355	0.16	0.29
1.356	0.17	0.27
1.357	0.20	0.28
1.358	0.24	0.30
1.359	0.33	0.29
1.36	0.42	0.28
1.361	0.49	0.30
1.362	0.56	0.34
1.363	0.64	0.29
1.364	0.71	0.26
1.365	0.71	0.27
1.366	0.72	0.27
1.367	0.77	0.27
1.368	0.83	0.26
1.369	0.78	0.29
1.37	0.70	0.34
1.371	0.73	0.29
1.372	0.75	0.26
1.373	0.69	0.27
1.374	0.62	0.30
1.375	0.59	0.32
1.376	0.54	0.36
1.377	0.66	0.31
1.378	0.80	0.27
1.379	0.70	0.27
1.38	0.60	0.28
1.381	0.51	0.28
1.382	0.43	0.29
1.383	0.44	0.29
1.384	0.42	0.28
1.385	0.35	0.27
1.386	0.30	0.27
1.387	0.26	0.30
1.388	0.22	0.35
1.389	0.24	0.32
1.39	0.28	0.29
1.391	0.25	0.30
1.392	0.21	0.31
1.393	0.32	0.40
1.394	0.42	0.50
1.395	0.35	0.41
1.396	0.30	0.33
1.397	0.28	0.30
1.398	0.27	0.28
1.399	0.29	0.35
1.4	0.30	0.44
1.401	0.39	0.42
1.402	0.48	0.40
1.403	0.48	0.37
1.404	0.48	0.33
1.405	0.49	0.36
1.406	0.51	0.39
1.407	0.47	0.38
1.408	0.45	0.36
1.409	0.65	0.30
1.41	0.81	0.26
1.411	0.86	0.27
1.412	0.91	0.29
1.413	0.87	0.29
1.414	0.85	0.29
1.415	0.80	0.35
1.416	0.76	0.43
1.417	0.69	0.38
1.418	0.58	0.34
1.419	0.63	0.29
1.42	0.69	0.26
1.421	0.69	0.27
1.422	0.67	0.28
1.423	0.60	0.27
1.424	0.54	0.27
1.425	0.48	0.27
1.426	0.42	0.28
1.427	0.36	0.30
1.428	0.31	0.34
1.429	0.28	0.30
1.43	0.25	0.27
1.431	0.21	0.27
1.432	0.17	0.28
1.433	0.16	0.28
1.434	0.17	0.28
1.435	0.16	0.28
1.436	0.13	0.28
1.437	0.05	0.31
1.438	-0.04	0.35
1.439	0.03	0.30
1.44	0.10	0.27
1.441	0.08	0.30
1.442	0.04	0.35
1.443	0.11	0.30
1.444	0.18	0.27
1.445	0.14	0.28
1.446	0.09	0.31
1.447	0.10	0.33
1.448	0.11	0.36
1.449	0.10	0.33
1.45	0.07	0.30
1.451	0.12	0.36
1.452	0.17	0.44
1.453	0.41	0.49
1.454	0.68	0.53
1.455	0.75	0.42
1.456	0.86	0.32
1.457	0.90	0.30
1.458	0.93	0.29
1.459	0.85	0.32
1.46	0.79	0.36
1.461	0.78	0.34
1.462	0.77	0.32
1.463	0.72	0.30
1.464	0.67	0.28
1.465	0.56	0.29
1.466	0.45	0.30
1.467	0.50	0.31
1.468	0.56	0.33
1.469	0.46	0.41
1.47	0.35	0.51
1.471	0.41	0.42
1.472	0.47	0.34
1.473	0.36	0.32
1.474	0.26	0.30
1.475	0.25	0.32
1.476	0.23	0.35
1.477	0.24	0.34
1.478	0.25	0.33
1.479	0.20	0.31
1.48	0.14	0.29
1.481	0.16	0.27
1.482	0.16	0.26
1.483	0.18	0.29
1.484	0.21	0.33
1.485	0.28	0.33
1.486	0.33	0.34
1.487	0.24	0.31
1.488	0.13	0.30
1.489	0.17	0.35
1.49	0.21	0.42
1.491	0.45	0.37
1.492	0.69	0.32
1.493	0.75	0.32
1.494	0.81	0.32
1.495	0.94	0.30
1.496	1.07	0.28
1.497	0.98	0.32
1.498	0.90	0.37
1.499	0.93	0.34
1.5	0.97	0.32
1.501	0.93	0.33
1.502	0.89	0.33
1.503	0.83	0.34
1.504	0.72	0.39
1.505	0.60	0.46
1.506	0.66	0.38
1.507	0.73	0.31
1.508	0.79	0.27
1.509	0.73	0.27
1.51	0.67	0.27
1.511	0.62	0.28
1.512	0.59	0.29
1.513	0.56	0.30
1.514	0.54	0.30
1.515	0.52	0.31
1.516	0.47	0.30
1.517	0.42	0.30
1.518	0.38	0.30
1.519	0.34	0.30
1.52	0.29	0.30
1.521	0.34	0.29
1.522	0.37	0.28
1.523	0.43	0.27
1.524	0.48	0.29
1.525	0.53	0.32
1.526	0.55	0.30
1.527	0.58	0.28
1.528	0.61	0.26
1.529	0.66	0.31
1.53	0.73	0.40
1.531	0.77	0.35
1.532	0.83	0.31
1.533	0.88	0.28
1.534	0.94	0.32
1.535	1.02	0.39
1.536	0.97	0.38
1.537	0.91	0.38
1.538	0.87	0.37
1.539	0.92	0.34
1.54	0.97	0.31
1.541	0.91	0.29
1.542	0.86	0.28
1.543	0.81	0.27
1.544	0.72	0.28
1.545	0.64	0.30
1.546	0.61	0.29
1.547	0.57	0.29
1.548	0.53	0.28
1.549	0.45	0.33
1.55	0.37	0.39
1.551	0.44	0.36
1.552	0.47	0.33
1.553	0.49	0.30
1.554	0.47	0.32
1.555	0.45	0.34
1.556	0.44	0.34
1.557	0.45	0.33
1.558	0.48	0.32
1.559	0.47	0.30
1.56	0.45	0.28
1.561	0.42	0.28
1.562	0.39	0.28
1.563	0.36	0.28
1.564	0.36	0.28
1.565	0.34	0.29
1.566	0.37	0.31
1.567	0.38	0.33
1.568	0.40	0.36
1.569	0.47	0.33
1.57	0.53	0.30
1.571	0.61	0.30
1.572	0.69	0.29
1.573	0.77	0.29
1.574	0.86	0.28
1.575	0.94	0.28
1.576	0.94	0.28
1.577	0.93	0.29
1.578	0.89	0.29
1.579	0.79	0.29
1.58	0.70	0.29
1.581	0.68	0.33
1.582	0.66	0.38
1.583	0.65	0.43
1.584	0.61	0.35
1.585	0.55	0.29
1.586	0.53	0.29
1.587	0.50	0.29
1.588	0.47	0.28
1.589	0.45	0.30
1.59	0.43	0.31
1.591	0.46	0.33
1.592	0.52	0.34
1.593	0.59	0.36
1.594	0.52	0.32
1.595	0.44	0.29
1.596	0.42	0.28
1.597	0.39	0.27
1.598	0.38	0.26
1.599	0.34	0.27
1.6	0.29	0.28
1.601	0.27	0.31
1.602	0.25	0.33
1.603	0.23	0.37
1.604	0.24	0.35
1.605	0.27	0.33
1.606	0.31	0.33
1.607	0.35	0.33
1.608	0.39	0.33
1.609	0.46	0.34
1.61	0.53	0.34
1.611	0.57	0.31
1.612	0.61	0.28
1.613	0.64	0.26
1.614	0.62	0.27
1.615	0.59	0.29
1.616	0.60	0.30
1.617	0.61	0.33
1.618	0.62	0.35
1.619	0.51	0.31
1.62	0.41	0.27
1.621	0.38	0.27
1.622	0.36	0.27
1.623	0.33	0.27
1.624	0.36	0.28
1.625	0.39	0.28
1.626	0.46	0.32
1.627	0.55	0.36
1.628	0.63	0.41
1.629	0.49	0.38
1.63	0.35	0.35
1.631	0.32	0.34
1.632	0.29	0.32
1.633	0.26	0.31
1.634	0.31	0.38
1.635	0.38	0.46
1.636	0.31	0.39
1.637	0.26	0.32
1.638	0.20	0.28
1.639	0.35	0.31
1.64	0.49	0.35
1.641	0.49	0.38
1.642	0.49	0.41
1.643	0.49	0.44
1.644	0.58	0.39
1.645	0.68	0.34
1.646	0.70	0.33
1.647	0.72	0.32
1.648	0.74	0.31
1.649	0.80	0.32
1.65	0.86	0.33
1.651	0.86	0.32
1.652	0.85	0.31
1.653	0.85	0.31
1.654	0.87	0.29
1.655	0.90	0.28
1.656	0.86	0.28
1.657	0.82	0.29
1.658	0.76	0.29
1.659	0.76	0.29
1.66	0.74	0.30
1.661	0.70	0.30
1.662	0.68	0.30
1.663	0.66	0.30
1.664	0.66	0.29
1.665	0.67	0.29
1.666	0.63	0.30
1.667	0.58	0.31
1.668	0.56	0.32
1.669	0.56	0.31
1.67	0.55	0.30
1.671	0.50	0.29
1.672	0.44	0.28
1.673	0.42	0.28
1.674	0.36	0.28
1.675	0.30	0.28
1.676	0.34	0.28
1.677	0.37	0.29
1.678	0.40	0.29
1.679	0.36	0.29
1.68	0.32	0.29
1.681	0.31	0.28
1.682	0.28	0.28
1.683	0.28	0.27
1.684	0.29	0.27
1.685	0.29	0.27
1.686	0.31	0.29
1.687	0.33	0.32
1.688	0.33	0.36
1.689	0.38	0.33
1.69	0.43	0.31
1.691	0.47	0.31
1.692	0.50	0.32
1.693	0.53	0.33
1.694	0.58	0.33
1.695	0.61	0.32
1.696	0.58	0.30
1.697	0.54	0.29
1.698	0.50	0.28
1.699	0.56	0.33
1.7	0.63	0.41
1.701	0.70	0.38
1.702	0.78	0.34
1.703	0.85	0.31
1.704	0.84	0.30
1.705	0.83	0.29
1.706	0.81	0.29
1.707	0.78	0.30
1.708	0.74	0.30
1.709	0.68	0.29
1.71	0.61	0.27
1.711	0.54	0.29
1.712	0.47	0.32
1.713	0.41	0.34
1.714	0.37	0.34
1.715	0.35	0.33
1.716	0.32	0.37
1.717	0.31	0.42
1.718	0.28	0.47
1.719	0.28	0.41
1.72	0.26	0.35
1.721	0.32	0.34
1.722	0.38	0.32
1.723	0.44	0.31
1.724	0.45	0.32
1.725	0.45	0.33
1.726	0.46	0.33
1.727	0.46	0.33
1.728	0.46	0.34
1.729	0.43	0.31
1.73	0.39	0.28
1.731	0.48	0.31
1.732	0.57	0.34
1.733	0.66	0.37
1.734	0.50	0.31
1.735	0.35	0.27
1.736	0.37	0.28
1.737	0.40	0.30
1.738	0.42	0.33
1.739	0.46	0.37
1.74	0.50	0.42
1.741	0.53	0.42
1.742	0.54	0.41
1.743	0.57	0.41
1.744	0.69	0.37
1.745	0.79	0.34
1.746	0.77	0.34
1.747	0.74	0.34
1.748	0.71	0.34
1.749	0.66	0.33
1.75	0.60	0.32
1.751	0.55	0.30
1.752	0.51	0.29
1.753	0.48	0.28
1.754	0.39	0.30
1.755	0.29	0.33
1.756	0.36	0.33
1.757	0.41	0.34
1.758	0.46	0.34
1.759	0.39	0.30
1.76	0.32	0.27
1.761	0.24	0.30
1.762	0.17	0.35
1.763	0.13	0.40
1.764	0.11	0.38
1.765	0.09	0.36
1.766	0.12	0.35
1.767	0.15	0.35
1.768	0.18	0.35
1.769	0.18	0.31
1.77	0.17	0.28
1.771	0.19	0.28
1.772	0.20	0.28
1.773	0.23	0.28
1.774	0.28	0.28
1.775	0.33	0.29
1.776	0.37	0.30
1.777	0.41	0.30
1.778	0.46	0.31
1.779	0.45	0.32
1.78	0.43	0.33
1.781	0.46	0.35
1.782	0.49	0.38
1.783	0.53	0.40
1.784	0.52	0.35
1.785	0.51	0.30
1.786	0.49	0.31
1.787	0.46	0.32
1.788	0.43	0.34
1.789	0.52	0.31
1.79	0.64	0.29
1.791	0.70	0.29
1.792	0.74	0.30
1.793	0.80	0.30
1.794	0.74	0.30
1.795	0.71	0.29
1.796	0.70	0.30
1.797	0.67	0.31
1.798	0.66	0.32
1.799	0.61	0.32
1.8	0.57	0.31
1.801	0.55	0.30
1.802	0.53	0.29
1.803	0.51	0.29
1.804	0.42	0.29
1.805	0.36	0.30
1.806	0.36	0.29
1.807	0.36	0.29
1.808	0.37	0.28
1.809	0.27	0.28
1.81	0.17	0.27
1.811	0.24	0.27
1.812	0.32	0.28
1.813	0.37	0.29
1.814	0.44	0.33
1.815	0.52	0.39
1.816	0.49	0.39
1.817	0.46	0.39
1.818	0.43	0.39
1.819	0.38	0.36
1.82	0.33	0.34
1.821	0.29	0.32
1.822	0.26	0.31
1.823	0.21	0.29
1.824	0.21	0.30
1.825	0.21	0.31
1.826	0.22	0.30
1.827	0.25	0.30
1.828	0.26	0.29
1.829	0.26	0.32
1.83	0.31	0.36
1.831	0.32	0.39
1.832	0.33	0.42
1.833	0.31	0.45
1.834	0.43	0.42
1.835	0.55	0.39
1.836	0.53	0.38
1.837	0.52	0.38
1.838	0.53	0.37
1.839	0.50	0.38
1.84	0.45	0.39
1.841	0.46	0.40
1.842	0.47	0.40
1.843	0.50	0.40
1.844	0.49	0.37
1.845	0.46	0.34
1.846	0.44	0.34
1.847	0.41	0.33
1.848	0.37	0.32
1.849	0.34	0.32
1.85	0.28	0.31
1.851	0.28	0.31
1.852	0.27	0.30
1.853	0.26	0.30
1.854	0.26	0.30
1.855	0.27	0.31
1.856	0.27	0.31
1.857	0.28	0.31
1.858	0.29	0.32
1.859	0.31	0.31
1.86	0.32	0.30
1.861	0.42	0.32
1.862	0.54	0.34
1.863	0.66	0.37
1.864	0.60	0.34
1.865	0.54	0.32
1.866	0.51	0.32
1.867	0.49	0.33
1.868	0.47	0.34
1.869	0.55	0.35
1.87	0.63	0.36
1.871	0.58	0.40
1.872	0.54	0.45
1.873	0.49	0.51
1.874	0.61	0.44
1.875	0.67	0.37
1.876	0.62	0.36
1.877	0.54	0.35
1.878	0.49	0.34
1.879	0.52	0.32
1.88	0.53	0.30
1.881	0.48	0.29
1.882	0.42	0.29
1.883	0.38	0.28
1.884	0.29	0.27
1.885	0.24	0.26
1.886	0.19	0.29
1.887	0.16	0.33
1.888	0.10	0.39
1.889	0.17	0.35
1.89	0.24	0.31
1.891	0.22	0.31
1.892	0.20	0.30
1.893	0.19	0.30
1.894	0.30	0.29
1.895	0.39	0.28
1.896	0.40	0.29
1.897	0.39	0.30
1.898	0.37	0.31
1.899	0.53	0.32
1.9	0.64	0.33
1.901	0.67	0.33
1.902	0.69	0.34
1.903	0.73	0.35
1.904	0.73	0.34
1.905	0.72	0.34
1.906	0.75	0.31
1.907	0.78	0.29
1.908	0.81	0.27
1.909	0.72	0.28
1.91	0.65	0.29
1.911	0.63	0.30
1.912	0.61	0.30
1.913	0.59	0.30
1.914	0.51	0.29
1.915	0.46	0.28
1.916	0.46	0.28
1.917	0.48	0.27
1.918	0.49	0.27
1.919	0.48	0.27
1.92	0.47	0.27
1.921	0.45	0.26
1.922	0.43	0.26
1.923	0.41	0.26
1.924	0.44	0.27
1.925	0.45	0.28
1.926	0.40	0.28
1.927	0.34	0.27
1.928	0.29	0.27
1.929	0.27	0.27
1.93	0.27	0.27
1.931	0.28	0.28
1.932	0.28	0.29
1.933	0.26	0.30
1.934	0.23	0.30
1.935	0.17	0.31
1.936	0.19	0.31
1.937	0.22	0.30
1.938	0.26	0.30
1.939	0.31	0.31
1.94	0.36	0.32
1.941	0.44	0.32
1.942	0.55	0.32
1.943	0.65	0.32
1.944	0.70	0.35
1.945	0.75	0.38
1.946	0.78	0.34
1.947	0.80	0.31
1.948	0.84	0.29
1.949	0.75	0.31
1.95	0.65	0.34
1.951	0.63	0.32
1.952	0.62	0.30
1.953	0.61	0.29
1.954	0.56	0.29
1.955	0.52	0.30
1.956	0.50	0.30
1.957	0.46	0.31
1.958	0.45	0.31
1.959	0.46	0.33
1.96	0.48	0.34
1.961	0.49	0.33
1.962	0.51	0.31
1.963	0.51	0.30
1.964	0.50	0.30
1.965	0.50	0.29
1.966	0.45	0.31
1.967	0.42	0.32
1.968	0.39	0.34
1.969	0.36	0.35
1.97	0.35	0.37
1.971	0.28	0.33
1.972	0.23	0.29
1.973	0.16	0.27
1.974	0.21	0.30
1.975	0.26	0.34
1.976	0.24	0.34
1.977	0.22	0.35
1.978	0.19	0.36
1.979	0.11	0.34
1.98	0.03	0.33
1.981	0.07	0.32
1.982	0.11	0.31
1.983	0.16	0.31
1.984	0.17	0.29
1.985	0.20	0.28
1.986	0.20	0.28
1.987	0.21	0.28
1.988	0.21	0.28
1.989	0.19	0.30
1.99	0.16	0.34
1.991	0.22	0.32
1.992	0.27	0.30
1.993	0.31	0.29
1.994	0.33	0.28
1.995	0.32	0.27
1.996	0.40	0.28
1.997	0.48	0.29
1.998	0.57	0.31
1.999	0.63	0.30
2	0.70	0.29
2.001	0.64	0.30
2.002	0.58	0.31
2.003	0.53	0.32
2.004	0.55	0.30
2.005	0.57	0.28
2.006	0.55	0.27
2.007	0.53	0.27
2.008	0.51	0.26
2.009	0.43	0.28
2.01	0.35	0.30
2.011	0.40	0.29
2.012	0.44	0.28
2.013	0.48	0.27
2.014	0.49	0.30
2.015	0.53	0.34
2.016	0.45	0.32
2.017	0.38	0.31
2.018	0.28	0.30
2.019	0.26	0.29
2.02	0.24	0.28
2.021	0.24	0.29
2.022	0.26	0.31
2.023	0.29	0.33
2.024	0.22	0.36
2.025	0.15	0.40
2.026	0.17	0.37
2.027	0.21	0.34
2.028	0.23	0.32
2.029	0.22	0.30
2.03	0.21	0.28
2.031	0.25	0.28
2.032	0.29	0.28
2.033	0.34	0.28
2.034	0.39	0.29
2.035	0.44	0.31
2.036	0.42	0.31
2.037	0.38	0.31
2.038	0.35	0.31
2.039	0.41	0.30
2.04	0.47	0.29
2.041	0.47	0.29
2.042	0.49	0.29
2.043	0.48	0.29
2.044	0.51	0.28
2.045	0.54	0.27
2.046	0.44	0.30
2.047	0.35	0.34
2.048	0.25	0.38
2.049	0.32	0.36
2.05	0.39	0.34
2.051	0.39	0.34
2.052	0.40	0.35
2.053	0.40	0.34
2.054	0.46	0.33
2.055	0.51	0.31
2.056	0.49	0.33
2.057	0.46	0.35
2.058	0.43	0.37
2.059	0.50	0.36
2.06	0.56	0.34
2.061	0.55	0.34
2.062	0.56	0.34
2.063	0.56	0.34
2.064	0.62	0.33
2.065	0.67	0.33
2.066	0.70	0.31
2.067	0.73	0.29
2.068	0.79	0.27
2.069	0.82	0.27
2.07	0.87	0.27
2.071	0.84	0.26
2.072	0.81	0.26
2.073	0.78	0.26
2.074	0.74	0.28
2.075	0.67	0.30
2.076	0.66	0.32
2.077	0.63	0.35
2.078	0.63	0.38
2.079	0.58	0.33
2.08	0.56	0.30
2.081	0.62	0.29
2.082	0.68	0.29
2.083	0.74	0.29
2.084	0.69	0.30
2.085	0.63	0.30
2.086	0.63	0.29
2.087	0.63	0.28
2.088	0.63	0.28
2.089	0.54	0.27
2.09	0.45	0.26
2.091	0.45	0.26
2.092	0.45	0.27
2.093	0.44	0.27
2.094	0.36	0.27
2.095	0.27	0.27
2.096	0.24	0.28
2.097	0.20	0.28
2.098	0.18	0.28
2.099	0.18	0.30
2.1	0.16	0.32
2.101	0.20	0.33
2.102	0.23	0.34
2.103	0.26	0.34
2.104	0.30	0.32
2.105	0.34	0.30
2.106	0.32	0.29
2.107	0.30	0.28
2.108	0.29	0.28
2.109	0.26	0.29
2.11	0.24	0.31
2.111	0.22	0.30
2.112	0.22	0.28
2.113	0.20	0.27
2.114	0.21	0.29
2.115	0.22	0.32
2.116	0.28	0.34
2.117	0.35	0.36
2.118	0.42	0.38
2.119	0.43	0.36
2.12	0.43	0.34
2.121	0.48	0.31
2.122	0.52	0.29
2.123	0.56	0.27
2.124	0.46	0.28
2.125	0.35	0.30
2.126	0.30	0.30
2.127	0.27	0.30
2.128	0.25	0.31
2.129	0.14	0.33
2.13	0.04	0.36
2.131	0.09	0.32
2.132	0.13	0.29
2.133	0.17	0.26
2.134	0.10	0.31
2.135	0.03	0.38
2.136	0.04	0.40
2.137	0.06	0.43
2.138	0.08	0.45
2.139	0.10	0.34
2.14	0.11	0.27
2.141	0.15	0.27
2.142	0.20	0.27
2.143	0.25	0.27
2.144	0.35	0.30
2.145	0.44	0.33
2.146	0.47	0.35
2.147	0.49	0.36
2.148	0.52	0.38
2.149	0.68	0.34
2.15	0.81	0.30
2.151	0.85	0.30
2.152	0.88	0.30
2.153	0.92	0.29
2.154	0.85	0.29
2.155	0.79	0.29
2.156	0.79	0.29
2.157	0.76	0.29
2.158	0.76	0.29
2.159	0.75	0.28
2.16	0.75	0.27
2.161	0.69	0.29
2.162	0.63	0.30
2.163	0.56	0.33
2.164	0.56	0.34
2.165	0.55	0.35
2.166	0.54	0.32
2.167	0.53	0.29
2.168	0.51	0.27
2.169	0.49	0.27
2.17	0.45	0.27
2.171	0.44	0.27
2.172	0.43	0.28
2.173	0.42	0.28
2.174	0.37	0.27
2.175	0.31	0.27
2.176	0.26	0.27
2.177	0.22	0.28
2.178	0.17	0.29
2.179	0.15	0.30
2.18	0.13	0.31
2.181	0.13	0.29
2.182	0.15	0.27
2.183	0.13	0.26
2.184	0.16	0.28
2.185	0.20	0.31
2.186	0.17	0.33
2.187	0.15	0.35
2.188	0.12	0.37
2.189	0.23	0.32
2.19	0.34	0.28
2.191	0.37	0.29
2.192	0.42	0.30
2.193	0.47	0.31
2.194	0.44	0.30
2.195	0.41	0.29
2.196	0.43	0.29
2.197	0.47	0.28
2.198	0.50	0.28
2.199	0.53	0.28
2.2	0.55	0.29
2.201	0.60	0.28
2.202	0.62	0.27
2.203	0.65	0.27
2.204	0.61	0.27
2.205	0.57	0.28
2.206	0.57	0.29
2.207	0.56	0.29
2.208	0.57	0.30
2.209	0.48	0.29
2.21	0.38	0.27
2.211	0.36	0.27
2.212	0.33	0.27
2.213	0.30	0.26
2.214	0.26	0.27
2.215	0.20	0.29
2.216	0.27	0.30
2.217	0.37	0.30
2.218	0.44	0.31
2.219	0.36	0.30
2.22	0.32	0.29
2.221	0.32	0.29
2.222	0.28	0.30
2.223	0.26	0.30
2.224	0.21	0.29
2.225	0.16	0.28
2.226	0.18	0.29
2.227	0.19	0.29
2.228	0.22	0.30
2.229	0.19	0.30
2.23	0.18	0.29
2.231	0.21	0.30
2.232	0.24	0.32
2.233	0.26	0.34
2.234	0.28	0.32
2.235	0.31	0.30
2.236	0.36	0.30
2.237	0.42	0.30
2.238	0.47	0.30
2.239	0.56	0.30
2.24	0.67	0.29
2.241	0.63	0.30
2.242	0.60	0.31
2.243	0.57	0.32
2.244	0.50	0.32
2.245	0.45	0.33
2.246	0.44	0.31
2.247	0.43	0.29
2.248	0.41	0.27
2.249	0.41	0.28
2.25	0.41	0.28
2.251	0.39	0.29
2.252	0.39	0.30
2.253	0.37	0.31
2.254	0.25	0.30
2.255	0.12	0.29
2.256	0.10	0.28
2.257	0.08	0.27
2.258	0.05	0.27
2.259	-0.04	0.28
2.26	-0.11	0.29
2.261	-0.09	0.29
2.262	-0.07	0.29
2.263	-0.06	0.29
2.264	0.03	0.28
2.265	0.13	0.27
2.266	0.14	0.27
2.267	0.16	0.27
2.268	0.15	0.26
2.269	0.27	0.26
2.27	0.39	0.26
2.271	0.34	0.30
2.272	0.29	0.36
2.273	0.24	0.42
2.274	0.47	0.35
2.275	0.68	0.30
2.276	0.66	0.32
2.277	0.65	0.35
2.278	0.63	0.39
2.279	0.64	0.35
2.28	0.67	0.31
2.281	0.68	0.29
2.282	0.67	0.28
2.283	0.67	0.27
2.284	0.61	0.27
2.285	0.56	0.27
2.286	0.51	0.27
2.287	0.46	0.28
2.288	0.43	0.29
2.289	0.40	0.29
2.29	0.36	0.30
2.291	0.34	0.29
2.292	0.30	0.28
2.293	0.25	0.27
2.294	0.19	0.28
2.295	0.14	0.30
2.296	0.14	0.31
2.297	0.14	0.33
2.298	0.13	0.34
2.299	0.10	0.36
2.3	0.07	0.39
2.301	0.11	0.33
2.302	0.15	0.29
2.303	0.19	0.26
2.304	0.28	0.27
2.305	0.36	0.28
