Age	d18OT	sigma
0.795	3.86	0.11
0.796	3.88	0.12
0.797	3.86	0.12
0.798	3.81	0.11
0.799	3.85	0.11
0.800	3.83	0.11
0.801	3.88	0.12
0.802	3.85	0.11
0.803	3.85	0.11
0.804	3.84	0.11
0.805	3.86	0.10
0.806	3.85	0.10
0.807	3.83	0.10
0.808	3.80	0.10
0.809	3.79	0.10
0.810	3.72	0.09
0.811	3.66	0.09
0.812	3.64	0.09
0.813	3.64	0.10
0.814	3.62	0.10
0.815	3.62	0.10
0.816	3.61	0.09
0.817	3.61	0.10
0.818	3.60	0.11
0.819	3.57	0.11
0.820	3.54	0.11
0.821	3.53	0.10
0.822	3.51	0.10
0.823	3.51	0.10
0.824	3.51	0.10
0.825	3.52	0.11
0.826	3.52	0.11
0.827	3.52	0.11
0.828	3.53	0.12
0.829	3.53	0.12
0.830	3.54	0.12
0.831	3.51	0.12
0.832	3.51	0.12
0.833	3.48	0.11
0.834	3.46	0.11
0.835	3.47	0.10
0.836	3.46	0.10
0.837	3.46	0.10
0.838	3.45	0.10
0.839	3.44	0.10
0.840	3.43	0.09
0.841	3.41	0.09
0.842	3.38	0.08
0.843	3.38	0.08
0.844	3.35	0.08
0.845	3.35	0.08
0.846	3.35	0.08
0.847	3.35	0.08
0.848	3.36	0.08
0.849	3.37	0.08
0.850	3.38	0.09
0.851	3.42	0.10
0.852	3.41	0.09
0.853	3.38	0.09
0.854	3.35	0.09
0.855	3.33	0.09
0.856	3.33	0.09
0.857	3.30	0.10
0.858	3.30	0.10
0.859	3.31	0.09
0.860	3.32	0.09
0.861	3.36	0.10
0.862	3.41	0.10
0.863	3.45	0.10
0.864	3.49	0.10
0.865	3.55	0.11
0.866	3.58	0.10
0.867	3.62	0.10
0.868	3.62	0.10
0.869	3.65	0.09
0.870	3.66	0.09
0.871	3.68	0.09
0.872	3.70	0.09
0.873	3.70	0.09
0.874	3.70	0.10
0.875	3.69	0.09
0.876	3.68	0.08
0.877	3.68	0.07
0.878	3.66	0.08
0.879	3.70	0.09
0.880	3.70	0.10
0.881	3.75	0.10
0.882	3.73	0.10
0.883	3.74	0.10
0.884	3.74	0.10
0.885	3.75	0.09
0.886	3.75	0.09
0.887	3.72	0.10
0.888	3.73	0.09
0.889	3.70	0.09
0.890	3.68	0.08
0.891	3.65	0.08
0.892	3.64	0.08
0.893	3.63	0.08
0.894	3.62	0.08
0.895	3.61	0.08
0.896	3.62	0.08
0.897	3.61	0.08
0.898	3.61	0.08
0.899	3.59	0.08
0.900	3.58	0.07
0.901	3.56	0.07
0.902	3.55	0.08
0.903	3.53	0.08
0.904	3.52	0.08
0.905	3.52	0.08
0.906	3.51	0.08
0.907	3.52	0.07
0.908	3.51	0.07
0.909	3.50	0.07
0.910	3.50	0.07
0.911	3.49	0.07
0.912	3.50	0.07
0.913	3.52	0.07
0.914	3.52	0.07
0.915	3.54	0.07
0.916	3.57	0.08
0.917	3.61	0.08
0.918	3.62	0.09
0.919	3.64	0.09
0.920	3.65	0.08
0.921	3.67	0.08
0.922	3.68	0.08
0.923	3.68	0.07
0.924	3.67	0.07
0.925	3.65	0.08
0.926	3.64	0.08
0.927	3.65	0.08
0.928	3.64	0.08
0.929	3.63	0.08
0.930	3.60	0.08
0.931	3.59	0.07
0.932	3.57	0.07
0.933	3.53	0.07
0.934	3.50	0.06
0.935	3.49	0.06
0.936	3.49	0.06
0.937	3.48	0.06
0.938	3.46	0.06
0.939	3.44	0.07
0.940	3.45	0.07
0.941	3.44	0.07
0.942	3.42	0.07
0.943	3.39	0.07
0.944	3.38	0.07
0.945	3.36	0.08
0.946	3.35	0.09
0.947	3.33	0.09
0.948	3.32	0.09
0.949	3.31	0.09
0.950	3.28	0.09
0.951	3.28	0.10
0.952	3.28	0.10
0.953	3.28	0.10
0.954	3.28	0.10
0.955	3.28	0.10
0.956	3.29	0.10
0.957	3.31	0.09
0.958	3.33	0.09
0.959	3.32	0.09
0.960	3.32	0.09
0.961	3.35	0.08
0.962	3.36	0.08
0.963	3.38	0.08
0.964	3.40	0.08
0.965	3.41	0.09
0.966	3.41	0.09
0.967	3.40	0.08
0.968	3.42	0.07
0.969	3.43	0.07
0.970	3.41	0.07
0.971	3.40	0.08
0.972	3.38	0.08
0.973	3.39	0.08
0.974	3.40	0.08
0.975	3.39	0.08
0.976	3.39	0.08
0.977	3.38	0.08
0.978	3.38	0.09
0.979	3.38	0.09
0.980	3.39	0.09
0.981	3.40	0.09
0.982	3.41	0.09
0.983	3.44	0.10
0.984	3.44	0.11
0.985	3.44	0.11
0.986	3.44	0.10
0.987	3.43	0.09
0.988	3.41	0.09
0.989	3.41	0.09
0.990	3.41	0.09
0.991	3.41	0.09
0.992	3.40	0.09
0.993	3.39	0.08
0.994	3.36	0.09
0.995	3.35	0.09
0.996	3.34	0.09
0.997	3.33	0.09
0.998	3.33	0.08
0.999	3.32	0.08
1.000	3.32	0.08
1.001	3.32	0.07
1.002	3.32	0.07
1.003	3.34	0.08
1.004	3.35	0.08
1.005	3.35	0.08
1.006	3.35	0.08
1.007	3.35	0.08
1.008	3.36	0.08
1.009	3.37	0.08
1.010	3.37	0.08
1.011	3.37	0.08
1.012	3.37	0.08
1.013	3.36	0.08
1.014	3.36	0.08
1.015	3.35	0.08
1.016	3.34	0.08
1.017	3.33	0.08
