Age	OcnTemp	sigma
0.246	-1.74	0.45
0.247	-2.02	0.42
0.248	-2.21	0.41
0.249	-2.36	0.39
0.25	-2.42	0.37
0.251	-2.58	0.40
0.252	-2.47	0.37
0.253	-2.59	0.41
0.254	-2.66	0.42
0.255	-2.59	0.39
0.256	-2.58	0.42
0.257	-2.56	0.38
0.258	-2.58	0.38
0.259	-2.58	0.37
0.26	-2.65	0.35
0.261	-2.68	0.36
0.262	-2.85	0.42
0.263	-2.67	0.41
0.264	-2.81	0.45
0.265	-2.78	0.42
0.266	-2.82	0.44
0.267	-2.93	0.47
0.268	-3.03	0.51
0.269	-3.18	0.51
0.27	-3.06	0.53
0.271	-2.94	0.57
0.272	-2.88	0.55
0.273	-3.1	0.58
0.274	-2.98	0.58
0.275	-2.85	0.55
0.276	-2.83	0.55
0.277	-2.67	0.55
0.278	-2.58	0.53
0.279	-2.52	0.53
0.28	-2.41	0.54
0.281	-2.39	0.51
0.282	-2.2	0.48
0.283	-1.98	0.47
0.284	-1.79	0.48
0.285	-1.69	0.46
0.286	-1.65	0.46
0.287	-1.68	0.43
0.288	-1.83	0.38
0.289	-1.8	0.40
0.29	-1.89	0.39
0.291	-1.96	0.37
0.292	-2.1	0.38
0.293	-2.36	0.39
0.294	-2.36	0.37
0.295	-2.31	0.41
0.296	-2.15	0.42
0.297	-2.19	0.38
0.298	-2.1	0.38
0.299	-2.1	0.43
0.3	-2.14	0.42
0.301	-2.05	0.41
0.302	-1.97	0.40
0.303	-1.87	0.40
0.304	-1.78	0.39
0.305	-1.77	0.38
0.306	-1.71	0.40
0.307	-1.71	0.38
0.308	-1.53	0.38
0.309	-1.4	0.39
0.31	-1.34	0.39
0.311	-1.26	0.37
0.312	-1.2	0.35
0.313	-1.05	0.40
0.314	-1.1	0.34
0.315	-1.23	0.34
0.316	-1.23	0.35
0.317	-1.25	0.35
0.318	-1.3	0.36
0.319	-1.12	0.36
0.32	-0.94	0.40
0.321	-0.8	0.39
0.322	-0.69	0.39
0.323	-0.65	0.38
0.324	-0.54	0.39
0.325	-0.45	0.41
0.326	-0.32	0.44
0.327	-0.33	0.45
0.328	-0.21	0.46
0.329	-0.1	0.45
0.33	-0.11	0.43
0.331	-0.07	0.45
0.332	-0.16	0.47
0.333	-0.46	0.45
0.334	-0.64	0.49
0.335	-1.01	0.47
0.336	-1.24	0.46
0.337	-1.68	0.50
0.338	-1.77	0.55
0.339	-2.07	0.56
0.34	-2.25	0.65
0.341	-2.62	0.61
0.342	-2.75	0.63
0.343	-2.67	0.62
0.344	-2.75	0.59
0.345	-2.91	0.58
0.346	-2.98	0.57
0.347	-2.99	0.51
0.348	-2.96	0.45
0.349	-2.86	0.41
0.35	-2.94	0.38
0.351	-3.04	0.44
0.352	-2.95	0.46
0.353	-2.9	0.50
0.354	-3.01	0.53
0.355	-3.16	0.52
0.356	-3.04	0.56
0.357	-3.07	0.52
0.358	-2.91	0.50
0.359	-2.92	0.47
0.36	-2.78	0.47
0.361	-3.01	0.45
0.362	-3.26	0.53
0.363	-3.25	0.51
0.364	-3.13	0.52
0.365	-3.19	0.49
0.366	-3.13	0.48
0.367	-3.12	0.48
0.368	-3.13	0.51
0.369	-2.97	0.50
0.37	-2.93	0.47
0.371	-2.86	0.45
0.372	-2.88	0.42
0.373	-3.06	0.49
0.374	-2.96	0.49
0.375	-2.87	0.48
0.376	-2.78	0.47
0.377	-2.59	0.47
0.378	-2.48	0.46
0.379	-2.3	0.44
0.38	-2.2	0.43
0.381	-2.12	0.41
0.382	-2.12	0.39
0.383	-2.01	0.39
0.384	-1.98	0.44
0.385	-2.09	0.52
0.386	-2.17	0.59
0.387	-1.62	0.38
0.388	-1.76	0.43
0.389	-1.71	0.42
0.39	-1.61	0.44
0.391	-1.45	0.49
0.392	-1.21	0.53
0.393	-1.26	0.50
0.394	-1.29	0.49
0.395	-1.22	0.46
0.396	-1.32	0.46
0.397	-0.93	0.51
0.398	-1	0.53
0.399	-0.82	0.53
0.4	-0.55	0.55
0.401	-0.34	0.57
0.402	-0.09	0.59
0.403	0.27	0.68
