Age	OcnTemp	sigma
1.04	-1.35022571910001	0.31
1.041	-1.44593410960001	0.31
1.042	-1.36529240550001	0.30
1.043	-1.30240071040001	0.31
1.044	-1.23962568150001	0.32
1.045	-1.22088400980001	0.33
1.046	-1.28992572030001	0.34
1.047	-1.35006742640001	0.33
1.048	-1.43636748120001	0.32
1.049	-1.47000084000001	0.31
1.05	-1.45985917390001	0.30
1.051	-1.46720085120001	0.31
1.052	-1.52687589250001	0.32
1.053	-1.45568419060001	0.33
1.054	-1.43687585250001	0.34
1.055	-1.28760076960001	0.31
1.056	-1.36459248830001	0.28
1.057	-1.23303408120001	0.28
1.058	-1.17112571550001	0.29
1.059	-1.17000072000001	0.28
1.06	-1.12558403100001	0.29
1.061	-0.994750621000006	0.30
1.062	-0.812317177400005	0.30
1.063	-0.673400426400004	0.29
1.064	-0.508875324500003	0.30
1.065	-0.327433543600002	0.30
1.066	-0.137733422400001	0.29
1.067	-0.0172000112000001	0.28
1.068	0.0859167230000006	0.27
1.069	0.163083441000001	0.27
1.07	0.197225131100001	0.28
1.071	0.171333448000001	0.28
1.072	0.171166782000001	0.29
1.073	0.196650133400001	0.29
1.074	0.170833450000001	0.30
1.075	0.204800140800001	0.29
1.076	0.213125147500001	0.27
1.077	0.153300106800001	0.26
1.078	0.187183464600001	0.25
1.079	0.238000168000002	0.23
1.08	0.297208544500002	0.23
1.081	0.330850236600002	0.22
1.082	0.313575225700002	0.23
1.083	0.237066838400002	0.24
1.084	0.160708450500001	0.26
1.085	0.126750093000001	0.25
1.086	-0.101300074800001	0.24
1.087	-0.202400150400002	0.23
1.088	-0.404400302400003	0.21
1.089	-0.446083669000003	0.22
1.09	-0.554950420200004	0.22
1.091	-0.562800428800004	0.22
1.092	-0.604200463200005	0.23
1.093	-0.796417281000006	0.23
1.094	-0.938000728000008	0.24
1.095	-1.07093416960001	0.24
1.096	-1.16180924610001	0.25
1.097	-1.17735093060001	0.26
1.098	-1.08441752900001	0.28
1.099	-1.20833430000001	0.33
1.1	-1.09057587770001	0.31
1.101	-1.08948421540001	0.31
1.102	-1.16316761400001	0.32
1.103	-1.22840100640001	0.34
1.104	-1.16912596350001	0.36
1.105	-1.05198420540001	0.34
1.106	-0.868875724500007	0.33
1.107	-0.801867339200007	0.33
1.108	-0.635892203100006	0.33
1.109	-0.610500518000005	0.31
1.11	-0.329666948000003	0.28
1.111	-0.518700445200005	0.27
1.112	-0.616875532500005	0.26
1.113	-0.723067294400007	0.26
1.114	-0.796209028500007	0.26
1.115	-0.844600741600008	0.26
1.116	-0.950234172400009	0.26
1.117	-1.01473423440001	0.25
1.118	-1.03005091980001	0.24
1.119	-1.14333436000001	0.23
1.12	-1.19927608290001	0.24
1.121	-1.33660121360001	0.25
1.122	-1.48178468620001	0.26
1.123	-1.53720141120001	0.26
1.124	-1.51937640250001	0.25
1.125	-1.47723470440001	0.24
1.126	-1.38652629390001	0.25
1.127	-1.32840124640001	0.24
1.128	-1.31085123660001	0.24
1.129	-1.34991794700001	0.25
1.13	-1.39697633210001	0.26
1.131	-1.39553467120001	0.28
1.132	-1.49079310350002	0.30
1.133	-1.58585153660002	0.32
1.134	-1.47966810800001	0.32
1.135	-1.20500118000001	0.32
1.136	-1.34820132720001	0.29
1.137	-1.35481800740001	0.29
1.138	-1.44950977530002	0.29
1.139	-1.36000136000001	0.29
1.14	-1.23870957850001	0.30
1.141	-1.05380106480001	0.31
1.142	-1.06067607730001	0.29
1.143	-0.97990100040001	0.28
1.144	-0.94704263850001	0.28
1.145	-0.91425094300001	0.27
1.146	-0.825934189600009	0.25
1.147	-0.690200719200008	0.24
1.148	-0.586450614200006	0.24
1.149	-0.467083825000005	0.24
1.15	-0.403325426700004	0.23
1.151	-0.363400386400004	0.22
1.152	-0.457717155800005	0.26
1.153	-0.457233824400005	0.30
1.154	-0.378000408000004	0.28
1.155	-0.322533683200004	0.28
1.156	-0.220033573200002	0.27
1.157	-0.149150163400002	0.27
1.158	-0.0941001036000011	0.25
1.159	-0.0470000520000005	0.26
1.16	-0.0391250435000005	0.27
1.161	-0.0234500262000003	0.27
1.162	0.0390417105000005	0.27
1.163	0.124800140800001	0.27
1.164	0.109083457000001	0.27
1.165	0.124533475200001	0.27
1.166	0.163275186900002	0.27
1.167	0.178633538800002	0.28
1.168	0.170683530600002	0.29
1.169	0.240250279000003	0.30
1.17	0.239991946700003	0.30
1.171	0.208800244800003	0.30
1.172	0.216300254800003	0.30
1.173	0.223783598200003	0.29
1.174	0.246666960000003	0.29
1.175	0.207900248400003	0.30
1.176	0.215366925200003	0.30
1.177	0.215133592800003	0.30
1.178	0.184200223200002	0.30
1.179	0.207000252000003	0.30
1.18	0.222091938300003	0.30
1.181	0.321300394800004	0.28
1.182	0.359158776700005	0.26
1.183	0.389300482800005	0.24
1.184	0.350750437000005	0.22
1.185	0.373217133800005	0.22
1.186	0.349983773400005	0.22
1.187	0.349600441600005	0.23
1.188	0.341625433500004	0.23
1.189	0.288167034000004	0.23
1.19	0.272700349200004	0.25
1.191	0.0605334112000008	0.24
1.192	-0.0226750293000003	0.25
1.193	-0.196300254800003	0.28
1.194	-0.256417001000003	0.27
1.195	-0.421867219200006	0.28
1.196	-0.489125643500007	0.28
1.197	-0.533684038600007	0.28
1.198	-0.71329261350001	0.27
1.199	-0.817501090000011	0.29
1.2	-0.913984557400013	0.30
1.201	-0.890517864600012	0.31
1.202	-0.882051191800012	0.32
1.203	-0.910934569600013	0.33
1.204	-0.895001220000013	0.34
1.205	-0.871651193400012	0.35
1.206	-0.855792843500012	0.35
1.207	-0.773067734400011	0.34
1.208	-0.70537597850001	0.27
1.209	-0.615584191000009	0.24
1.21	-0.644525901900009	0.22
1.211	-0.584600821600009	0.20
1.212	-0.554375782500008	0.20
1.213	-0.642350910600009	0.21
1.214	-0.641625913500009	0.21
1.215	-0.773501106000011	0.25
1.216	-0.853567892400013	0.26
1.217	-0.911401314400014	0.27
1.218	-0.844292889500013	0.30
1.219	-0.858001248000013	0.30
1.22	-0.900976316100014	0.29
1.221	-0.863367933200013	0.27
1.222	-0.767376130500012	0.26
1.223	-0.67890100440001	0.25
1.224	-0.612500910000009	0.24
1.225	-0.517117438200008	0.24
1.226	-0.400125599500006	0.24
1.227	-0.290667104000005	0.25
1.228	-0.275817083400004	0.25
1.229	-0.166750253000003	0.25
1.23	-0.0941418101000015	0.26
1.231	0.137433543600002	0.26
1.232	0.216750333000003	0.26
1.233	0.202066978400003	0.26
1.234	0.194625301500003	0.27
1.235	0.194400302400003	0.27
1.236	0.172600269600003	0.28
1.237	0.165216925800003	0.29
1.238	0.0789251243000013	0.30
1.239	0.00716667800000012	0.32
1.24	-0.0143166894000002	0.33
1.241	-0.0858001368000014	0.31
1.242	-0.249958733500004	0.32
1.243	-0.428000688000007	0.33
1.244	-0.57712593150001	0.32
1.245	-0.782834602000013	0.31
1.246	-1.00938497580002	0.32
1.247	-1.10050179800002	0.32
1.248	-1.20558531100002	0.30
1.249	-1.24666872000002	0.29
1.25	-1.27350210600002	0.29
1.251	-1.17306861440002	0.29
1.252	-1.12933521600002	0.29
1.253	-1.26900212400002	0.29
1.254	-1.30975220100002	0.29
1.255	-1.37853565920002	0.29
1.256	-1.39797736810002	0.34
1.257	-1.40333572000002	0.36
1.258	-1.34560229760002	0.32
1.259	-1.34400230400002	0.33
1.26	-1.25850216600002	0.32
1.261	-1.34778566220002	0.37
1.262	-1.31827728690002	0.38
1.263	-1.31670229320002	0.38
1.264	-1.22466880800002	0.36
1.265	-1.07030187880002	0.37
1.266	-0.971835046000018	0.35
1.267	-0.929068310400017	0.34
1.268	-0.893326586700016	0.32
1.269	-0.892251591000017	0.32
1.27	-0.794459755500015	0.33
1.271	-0.738301326800014	0.33
1.272	-0.634034477200012	0.34
1.273	-0.591967738800011	0.34
1.274	-0.52250095000001	0.35
1.275	-0.50813426080001	0.34
1.276	-0.445792483500008	0.32
1.277	-0.445250819000009	0.30
1.278	-0.362609002900007	0.28
1.279	-0.403167414000008	0.28
1.28	-0.293475546100006	0.25
1.281	-0.361284008200007	0.26
1.282	-0.483392573100009	0.29
1.283	-0.50320094720001	0.31
1.284	-0.570501078000011	0.35
1.285	-0.583367773200011	0.36
1.286	-0.596201135200012	0.35
1.287	-0.50750097000001	0.34
1.288	-0.52715101140001	0.34
1.289	-0.587251131000012	0.34
1.29	-0.647201251200013	0.35
1.291	-0.538667712000011	0.34
1.292	-0.531276034900011	0.35
1.293	-0.611217861800012	0.37
1.294	-0.690959689500014	0.38
1.295	-0.716901412400015	0.38
1.296	-0.695934709600014	0.38
1.297	-0.681701353200014	0.36
1.298	-0.747601489600015	0.37
1.299	-0.706668080000015	0.31
1.3	-0.665834670000014	0.28
1.301	-0.638401286400013	0.26
1.302	-0.591109528900012	0.26
1.303	-0.550567784400011	0.27
1.304	-0.503501026000011	0.27
1.305	-0.45655093380001	0.27
1.306	-0.370067426400008	0.27
1.307	-0.323400666400007	0.27
1.308	-0.270258892300006	0.27
1.309	-0.190917063000004	0.27
1.31	-0.124925260300003	0.28
1.311	-0.118200247200003	0.28
1.312	-0.045908429700001	0.29
1.313	-0.0131000276000003	0.28
1.314	0.0785001660000017	0.31
1.315	0.163333680000004	0.30
1.316	0.228375486500005	0.30
1.317	0.241117182200005	0.28
1.318	0.253825544700006	0.26
1.319	0.240500518000005	0.24
1.32	0.155800336800004	0.23
1.321	0.0842835162000019	0.23
1.322	0.0194250423000004	0.25
1.323	-0.045266765600001	0.28
1.324	-0.0968752125000022	0.29
1.325	-0.116100255600003	0.32
1.326	-0.154600341600004	0.33
1.327	-0.109366909200003	0.31
1.328	-0.128500286000003	0.29
1.329	-0.179667068000004	0.28
1.33	-0.211475474100005	0.26
1.331	-0.224000504000005	0.25
1.332	-0.249275562900006	0.24
1.333	-0.344700781200008	0.25
1.334	-0.459001044000011	0.26
1.335	-0.41383427800001	0.28
1.336	-0.324275742900008	0.31
1.337	-0.43815100740001	0.33
1.338	-0.488309460100012	0.33
1.339	-0.500334492000012	0.33
1.34	-0.499676161300012	0.32
1.341	-0.467434423600011	0.32
1.342	-0.473126107500011	0.32
1.343	-0.42840100640001	0.32
1.344	-0.352334164000009	0.29
1.345	-0.163367053200004	0.28
1.346	-0.112950268200003	0.26
1.347	-0.0250667264000006	0.27
1.348	0.0500667864000012	0.28
1.349	0.131250315000003	0.30
1.35	0.187250451000005	0.31
1.351	0.162067058400004	0.32
1.352	0.273900664400007	0.29
1.353	0.373000908000009	0.28
1.354	0.484251183000012	0.26
1.355	0.589001444000015	0.25
1.356	0.569634734800015	0.26
1.357	0.556501374000014	0.28
1.358	0.605151499400016	0.28
1.359	0.616668200000016	0.28
1.36	0.597359823900015	0.25
1.361	0.602701509200016	0.25
1.362	0.589601481600015	0.25
1.363	0.545868043200014	0.24
1.364	0.447126131500012	0.23
1.365	0.336417521000009	0.22
1.366	0.244333956000006	0.20
1.367	0.0976002496000026	0.21
1.368	0.0243667292000006	0.21
1.369	-0.0486667920000013	0.23
1.37	-0.206550533800006	0.24
1.371	-0.321534167200009	0.25
1.372	-0.448317833400012	0.23
1.373	-0.520301358800014	0.22
1.374	-0.592084885000016	0.21
1.375	-0.573168174000016	0.22
1.376	-0.644676701300018	0.21
1.377	-0.655818403400018	0.22
1.378	-0.606843279300017	0.24
1.379	-0.636001696000018	0.24
1.38	-0.641110048900018	0.25
1.381	-0.646201735200018	0.25
1.382	-0.609451642200017	0.26
1.383	-0.513134720800014	0.28
1.384	-0.524334756000015	0.29
1.385	-0.446251215000013	0.28
1.386	-0.297084145000008	0.32
1.387	-0.255134032800007	0.32
1.388	-0.237000652000007	0.31
1.389	-0.230750637000007	0.30
1.39	-0.159525441900005	0.29
1.391	-0.070800196800002	0.30
1.392	-0.0117833662000003	0.30
1.393	0.0176500494000005	0.30
1.394	-0.0117500330000003	0.29
1.395	-0.0704001984000021	0.30
1.396	-0.0234333996000007	0.29
1.397	0.0409501162000012	0.32
1.398	0.0934669328000028	0.33
1.399	0.0816669000000024	0.33
1.4	0.0466001336000014	0.32
1.401	0.034900100400001	0.31
1.402	0.0290417505000009	0.30
1.403	0.0232000672000007	0.30
1.404	-0.034750101000001	0.30
1.405	-0.138800404800004	0.28
1.406	-0.231000676000007	0.28
1.407	-0.294100863600009	0.29
1.408	-0.276400814400008	0.27
1.409	-0.166750493000005	0.25
1.41	-0.155025459900005	0.25
1.411	-0.177733862400005	0.28
1.412	-0.211825632700007	0.28
1.413	-0.205800616800006	0.28
1.414	-0.0856252575000027	0.32
1.415	-0.0855002580000027	0.31
1.416	-0.00569168390000018	0.32
1.417	0.0568335060000018	0.34
1.418	-0.0113500346000004	0.34
1.419	-0.0283334200000009	0.32
1.42	-0.00565835070000018	0.31
1.421	0.0339001044000011	0.33
1.422	0.0507751569000016	0.36
1.423	0.0450668064000015	0.33
1.424	0.061875192500002	0.30
1.425	0.106716999800003	0.27
1.426	0.112167018000004	0.26
1.427	0.123200387200004	0.25
1.428	0.156567160400005	0.25
1.429	0.150750477000005	0.24
1.43	0.122650389400004	0.24
1.431	0.205967322800007	0.22
1.432	0.255684150600008	0.22
1.433	0.28860092560001	0.22
1.434	0.387917915000013	0.21
1.435	0.403934637600013	0.21
1.436	0.375701217200013	0.21
1.437	0.408234660400014	0.22
1.438	0.402109644900014	0.23
1.439	0.407001332000014	0.24
1.44	0.411876352500014	0.23
1.441	0.460601517600016	0.24
1.442	0.454426502300016	0.24
1.443	0.464668208000016	0.24
1.444	0.469418229000016	0.24
1.445	0.501401674400017	0.25
1.446	0.489751641000017	0.25
1.447	0.478134940800017	0.25
1.448	0.444851500600015	0.25
1.449	0.390001320000014	0.25
1.45	0.28123428840001	0.24
1.451	0.172800588800006	0.25
1.452	0.0539168510000019	0.25
1.453	-0.156117202200006	0.26
1.454	-0.252625869500009	0.25
1.455	-0.375667964000013	0.25
1.456	-0.337576169700012	0.24
1.457	-0.315651097400011	0.23
1.458	-0.336526173900012	0.23
1.459	-0.384001344000014	0.23
1.46	-0.378076327700014	0.24
1.461	-0.425334832000016	0.25
1.462	-0.456518280600017	0.27
1.463	-0.418701485200015	0.27
1.464	-0.381001356000014	0.28
1.465	-0.322284484200012	0.29
1.466	-0.247925888300009	0.30
1.467	-0.215934109600008	0.31
1.468	-0.178783978200007	0.32
1.469	-0.115500418000004	0.31
1.47	-0.0838669712000032	0.29
1.471	-0.0366334668000014	0.27
1.472	-0.0052250191000002	0.25
1.473	0.026083429000001	0.24
1.474	0.0572918775000022	0.24
1.475	0.114400422400004	0.24
1.476	0.166133948800006	0.23
1.477	0.228067514400009	0.23
1.478	0.279451042200011	0.23
1.479	0.310001160000012	0.23
1.48	0.304342809300012	0.24
1.481	0.355351338600014	0.25
1.482	0.385626457500015	0.26
1.483	0.390134812800015	0.26
1.484	0.430501638000017	0.26
1.485	0.460501758000018	0.26
1.486	0.464860113900018	0.26
1.487	0.479401842400019	0.25
1.488	0.453160080700018	0.24
1.489	0.381251475000015	0.23
1.49	0.304501182000012	0.23
1.491	0.24826763360001	0.24
1.492	0.187159064700008	0.25
1.493	0.136350534600006	0.25
1.494	0.0806669840000033	0.26
1.495	0.0352334724000014	0.27
1.496	-0.00502501990000021	0.28
1.497	-0.115383791800005	0.29
1.498	-0.150250599000006	0.29
1.499	-0.160000640000007	0.30
1.5	-0.13	0.29
1.501	-0.125	0.30
1.502	-0.13	0.30
1.503	-0.16	0.30
1.504	-0.17	0.29
1.505	-0.18	0.28
1.506	-0.165	0.27
1.507	-0.135	0.27
1.508	-0.125	0.28
1.509	-0.1	0.29
1.51	-0.07	0.27
1.511	-0.05	0.26
1.512	0.015	0.25
1.513	0.055	0.25
1.514	0.09	0.25
1.515	0.1	0.25
1.516	0.11	0.25
1.517	0.1	0.26
1.518	0.14	0.26
1.519	0.15	0.28
1.52	0.14	0.28
1.521	0.155	0.29
1.522	0.085	0.29
1.523	0.095	0.29
1.524	0.095	0.29
1.525	0.05	0.30
1.526	0.035	0.31
1.527	0.01	0.30
1.528	0.045	0.29
1.529	-0.105	0.29
1.53	-0.13	0.29
1.531	-0.225	0.29
1.532	-0.245	0.28
1.533	-0.31	0.24
1.534	-0.36	0.23
1.535	-0.38	0.22
1.536	-0.38	0.22
1.537	-0.455	0.24
1.538	-0.45	0.22
1.539	-0.41	0.22
1.54	-0.37	0.23
1.541	-0.385	0.23
1.542	-0.37	0.24
1.543	-0.365	0.25
1.544	-0.37	0.26
1.545	-0.34	0.28
1.546	-0.295	0.28
1.547	-0.305	0.28
1.548	-0.285	0.30
1.549	-0.22	0.28
1.55	-0.135	0.27
1.551	0	0.26
1.552	-0.03	0.26
1.553	-0.075	0.27
1.554	-0.09	0.25
1.555	-0.09	0.25
1.556	-0.095	0.24
1.557	-0.05	0.24
1.558	0.08	0.22
1.559	0.16	0.21
1.56	0.195	0.21
1.561	0.21	0.21
1.562	0.205	0.22
1.563	0.215	0.22
1.564	0.25	0.22
1.565	0.22	0.23
1.566	0.24	0.24
1.567	0.205	0.24
1.568	0.155	0.24
1.569	0.14	0.23
1.57	0.075	0.23
1.571	0.055	0.23
1.572	-0.015	0.23
1.573	-0.035	0.24
1.574	-0.095	0.23
1.575	-0.15	0.23
1.576	-0.09	0.23
1.577	-0.075	0.25
1.578	-0.2	0.25
1.579	-0.185	0.25
1.58	-0.165	0.26
1.581	-0.11	0.27
1.582	-0.08	0.26
1.583	-0.015	0.26
1.584	0.045	0.27
1.585	0.095	0.27
1.586	0.075	0.27
1.587	0.045	0.28
1.588	0.005	0.28
1.589	0.015	0.27
1.59	-0.005	0.28
1.591	-0.075	0.30
1.592	-0.04	0.29
1.593	0.04	0.28
1.594	0.105	0.29
1.595	0.105	0.28
1.596	0.095	0.28
1.597	0.095	0.30
1.598	0.12	0.28
1.599	0.155	0.25
1.6	0.175	0.26
1.601	0.19	0.27
1.602	0.215	0.29
1.603	0.24	0.31
1.604	0.25	0.33
1.605	0.285	0.33
1.606	0.28	0.30
1.607	0.285	0.27
1.608	0.29	0.25
1.609	0.28	0.24
1.61	0.27	0.23
1.611	0.28	0.22
1.612	0.285	0.22
1.613	0.27	0.21
1.614	0.285	0.21
1.615	0.285	0.21
1.616	0.28	0.22
1.617	0.265	0.22
1.618	0.245	0.23
1.619	0.205	0.22
1.62	0.185	0.21
1.621	0.155	0.21
1.622	0.15	0.22
1.623	0.145	0.22
1.624	0.1	0.22
1.625	0.055	0.21
1.626	0.045	0.21
1.627	0.09	0.22
1.628	0.12	0.22
1.629	0.18	0.22
1.63	0.23	0.22
1.631	0.235	0.23
1.632	0.235	0.23
1.633	0.22	0.24
1.634	0.18	0.25
1.635	0.175	0.29
1.636	0.11	0.31
1.637	0.085	0.31
1.638	0.06	0.30
1.639	0.025	0.28
1.64	0	0.27
1.641	-0.01	0.28
1.642	-0.01	0.27
1.643	-0.025	0.27
1.644	-0.06	0.28
1.645	-0.07	0.28
1.646	-0.095	0.28
1.647	-0.11	0.30
1.648	-0.135	0.29
1.649	-0.17	0.30
1.65	-0.165	0.31
1.651	-0.17	0.31
1.652	-0.195	0.30
1.653	-0.215	0.28
1.654	-0.26	0.27
1.655	-0.295	0.25
1.656	-0.28	0.26
1.657	-0.305	0.24
1.658	-0.355	0.23
1.659	-0.36	0.23
1.66	-0.39	0.24
1.661	-0.5	0.25
1.662	-0.485	0.24
1.663	-0.49	0.25
1.664	-0.495	0.25
1.665	-0.505	0.25
1.666	-0.46	0.23
1.667	-0.445	0.24
1.668	-0.32	0.24
1.669	-0.22	0.25
1.67	-0.145	0.26
1.671	-0.165	0.28
1.672	-0.215	0.30
1.673	-0.14	0.29
1.674	-0.135	0.27
1.675	-0.11	0.26
1.676	-0.085	0.25
1.677	-0.055	0.25
1.678	-0.03	0.24
1.679	-0.015	0.24
1.68	0.01	0.24
1.681	0.01	0.24
1.682	-0.04	0.24
1.683	0.025	0.24
1.684	0.05	0.24
1.685	-0.005	0.24
1.686	0.025	0.24
1.687	0.06	0.23
1.688	0.06	0.21
1.689	0.085	0.21
1.69	0.145	0.21
1.691	0.19	0.23
1.692	0.205	0.25
1.693	0.205	0.27
1.694	0.18	0.30
1.695	0.095	0.31
1.696	0.055	0.30
1.697	0	0.32
1.698	-0.04	0.33
1.699	-0.075	0.34
1.7	-0.09	0.33
1.701	-0.1	0.32
1.702	-0.105	0.32
1.703	-0.155	0.30
1.704	-0.13	0.29
1.705	-0.115	0.26
1.706	-0.08	0.25
1.707	-0.055	0.23
1.708	-0.065	0.22
1.709	-0.08	0.21
1.71	-0.105	0.20
1.711	-0.075	0.21
1.712	-0.045	0.22
1.713	-0.005	0.25
1.714	0.025	0.24
1.715	0.095	0.23
1.716	0.105	0.24
1.717	0.16	0.25
1.718	0.17	0.26
1.719	0.19	0.26
1.72	0.14	0.27
1.721	0.09	0.28
1.722	0.065	0.29
1.723	0.04	0.31
1.724	0.065	0.30
1.725	0.075	0.28
1.726	0.05	0.28
1.727	0.035	0.28
1.728	0.01	0.28
1.729	-0.01	0.27
1.73	-0.05	0.26
1.731	-0.03	0.25
1.732	0.005	0.25
1.733	0.01	0.25
1.734	0.015	0.24
1.735	0.065	0.26
1.736	0.125	0.27
1.737	0.235	0.28
1.738	0.32	0.30
1.739	0.325	0.32
1.74	0.285	0.30
1.741	0.22	0.28
1.742	0.025	0.19
1.743	-0.05	0.19
1.744	-0.08	0.20
1.745	-0.13	0.25
1.746	-0.15	0.30
1.747	-0.17	0.30
1.748	-0.2	0.29
1.749	-0.155	0.31
1.75	-0.11	0.28
1.751	-0.12	0.26
1.752	-0.065	0.28
1.753	-0.02	0.30
1.754	-0.065	0.29
1.755	-0.135	0.30
1.756	-0.035	0.30
1.757	-0.05	0.28
1.758	-0.03	0.27
1.759	-0.025	0.27
1.76	-0.02	0.25
1.761	-0.07	0.23
1.762	-0.105	0.23
1.763	-0.03	0.23
1.764	0.055	0.23
1.765	0.13	0.23
1.766	0.18	0.23
1.767	0.215	0.23
1.768	0.24	0.23
1.769	0.26	0.23
1.77	0.265	0.23
1.771	0.33	0.23
1.772	0.35	0.23
1.773	0.445	0.24
1.774	0.465	0.24
1.775	0.475	0.24
1.776	0.49	0.23
1.777	0.48	0.23
1.778	0.5	0.24
1.779	0.465	0.23
1.78	0.39	0.21
1.781	0.325	0.21
1.782	0.26	0.21
1.783	0.235	0.21
1.784	0.205	0.21
1.785	0.145	0.21
1.786	0.1	0.21
1.787	0.04	0.22
1.788	-0.055	0.22
1.789	-0.125	0.23
1.79	-0.14	0.24
1.791	-0.1	0.26
1.792	-0.185	0.28
1.793	-0.17	0.27
1.794	-0.17	0.27
1.795	-0.105	0.26
1.796	-0.08	0.25
1.797	-0.14	0.26
1.798	-0.145	0.27
1.799	-0.115	0.28
1.8	-0.025	0.24
1.801	0.045	0.22
1.802	0.09	0.23
1.803	0.145	0.22
1.804	0.105	0.22
1.805	0.145	0.22
1.806	0.17	0.22
1.807	0.17	0.22
1.808	0.185	0.23
1.809	0.2	0.25
1.81	0.255	0.25
1.811	0.215	0.24
1.812	0.245	0.25
1.813	0.145	0.25
1.814	0.14	0.26
1.815	0.115	0.25
1.816	0.065	0.25
1.817	-0.015	0.24
1.818	-0.07	0.25
1.819	-0.005	0.23
1.82	0.05	0.23
1.821	0.095	0.23
1.822	0.21	0.24
1.823	0.235	0.23
1.824	0.26	0.23
1.825	0.285	0.21
1.826	0.3	0.21
1.827	0.36	0.22
1.828	0.385	0.23
1.829	0.305	0.21
1.83	0.41	0.25
1.831	0.38	0.23
1.832	0.395	0.22
1.833	0.255	0.22
1.834	0.27	0.22
1.835	0.285	0.22
1.836	0.24	0.22
1.837	0.2	0.23
1.838	0.255	0.23
1.839	0.315	0.24
1.84	0.3	0.25
1.841	0.295	0.25
1.842	0.325	0.26
1.843	0.41	0.23
1.844	0.5	0.21
1.845	0.485	0.20
1.846	0.49	0.20
1.847	0.445	0.19
1.848	0.38	0.17
1.849	0.36	0.18
1.85	0.26	0.18
1.851	0.26	0.18
1.852	0.2	0.18
1.853	0.16	0.19
1.854	0.135	0.21
1.855	0.145	0.19
1.856	0.07	0.18
1.857	0.025	0.19
1.858	-0.01	0.20
1.859	0.01	0.23
1.86	-0.005	0.22
1.861	-0.075	0.21
1.862	-0.06	0.20
1.863	-0.04	0.21
1.864	0.035	0.22
1.865	0.055	0.22
1.866	0.075	0.24
1.867	0.1	0.23
1.868	0.145	0.25
1.869	0.175	0.24
1.87	0.195	0.23
1.871	0.18	0.21
1.872	0.23	0.22
1.873	0.27	0.22
1.874	0.42	0.23
1.875	0.32	0.23
1.876	0.335	0.23
1.877	0.27	0.22
1.878	0.315	0.23
1.879	0.325	0.22
1.88	0.285	0.21
1.881	0.29	0.20
1.882	0.27	0.20
1.883	0.29	0.21
1.884	0.235	0.20
1.885	0.29	0.20
1.886	0.28	0.21
1.887	0.325	0.22
1.888	0.285	0.21
1.889	0.295	0.21
1.89	0.29	0.22
1.891	0.255	0.21
1.892	0.235	0.21
1.893	0.22	0.21
1.894	0.27	0.19
1.895	0.23	0.19
1.896	0.25	0.19
1.897	0.185	0.19
1.898	0.12	0.21
1.899	0.255	0.25
1.9	0.21	0.28
1.901	0.205	0.28
1.902	0.165	0.28
1.903	0.2	0.26
1.904	0.22	0.26
1.905	0.2	0.26
1.906	0.22	0.28
1.907	0.27	0.27
1.908	0.3	0.26
1.909	0.31	0.28
1.91	0.405	0.29
1.911	0.395	0.28
1.912	0.385	0.29
1.913	0.375	0.29
1.914	0.32	0.29
1.915	0.335	0.29
1.916	0.35	0.28
1.917	0.395	0.28
1.918	0.435	0.28
1.919	0.44	0.27
1.92	0.445	0.27
1.921	0.465	0.26
1.922	0.475	0.25
1.923	0.535	0.24
1.924	0.555	0.23
1.925	0.525	0.22
1.926	0.515	0.23
1.927	0.515	0.22
1.928	0.52	0.22
1.929	0.49	0.23
1.93	0.51	0.22
1.931	0.555	0.22
1.932	0.575	0.22
1.933	0.52	0.23
1.934	0.565	0.22
1.935	0.52	0.22
1.936	0.445	0.22
1.937	0.435	0.24
1.938	0.46	0.22
1.939	0.46	0.23
1.94	0.46	0.23
1.941	0.325	0.24
1.942	0.315	0.24
1.943	0.28	0.24
1.944	0.225	0.24
1.945	0.18	0.24
1.946	0.135	0.25
1.947	0.09	0.26
1.948	0.09	0.25
1.949	0.07	0.24
1.95	0.005	0.22
1.951	0.01	0.20
1.952	0.03	0.18
1.953	0.08	0.19
1.954	0.105	0.20
1.955	0.125	0.21
1.956	0.115	0.22
1.957	0.05	0.23
1.958	0.085	0.24
1.959	0.12	0.25
1.96	0.16	0.28
1.961	0.235	0.30
1.962	0.305	0.33
1.963	0.34	0.29
1.964	0.33	0.27
1.965	0.315	0.23
1.966	0.28	0.22
1.967	0.295	0.24
1.968	0.28	0.25
1.969	0.265	0.26
1.97	0.28	0.26
1.971	0.31	0.25
1.972	0.36	0.23
1.973	0.385	0.23
1.974	0.43	0.23
1.975	0.465	0.23
1.976	0.475	0.23
1.977	0.485	0.22
1.978	0.47	0.21
1.979	0.47	0.21
1.98	0.48	0.21
1.981	0.495	0.20
1.982	0.51	0.20
1.983	0.52	0.19
1.984	0.475	0.20
1.985	0.465	0.20
1.986	0.445	0.19
1.987	0.46	0.19
1.988	0.48	0.19
1.989	0.475	0.20
1.99	0.445	0.20
1.991	0.505	0.21
1.992	0.475	0.22
1.993	0.42	0.22
1.994	0.435	0.23
1.995	0.35	0.22
1.996	0.34	0.23
1.997	0.385	0.23
1.998	0.42	0.23
1.999	0.35	0.23
2	0.34	0.22
2.001	0.345	0.22
2.002	0.335	0.21
2.003	0.355	0.21
2.004	0.325	0.20
2.005	0.28	0.21
2.006	0.28	0.22
2.007	0.285	0.23
2.008	0.285	0.24
