Age [ka BP] (Catunda et al., 2021)	SST [°C] (Naafs et al., 2012, original ...)	Age [ka BP] (Catunda et al., 2021)	SST [°C] (linearly interpolated to matc...)	SubT [°C]	delta T [°C] (SST-Sub-ST, Calculated)
793.97	13.69				
794.69	10.26				
795.17	10.69				
795.65	11.19				
796.13	10.28				
796.61	13.28				
797.09	13.23				
797.57	11.80				
798.05	13.88				
798.54	13.79				
799.02	12.96				
799.50	13.44				
799.98	12.60				
800.46	12.93				
800.94	11.29				
801.18	12.77				
801.66	12.18				
802.14	13.00				
802.62	12.92				
803.11	13.41				
803.59	12.19				
804.07	12.68				
804.55	13.34				
805.03	13.48				
805.51	13.70				
805.98	13.22				
806.38	13.79				
806.79	12.63				
807.20	12.23				
807.61	11.94				
808.02	12.64				
808.42	12.77				
808.83	12.17				
809.24	12.19				
809.65	12.73				
810.06	13.55				
810.46	13.32				
810.87	12.90				
811.28	12.83				
811.69	12.74				
812.10	12.41				
812.51	12.58				
812.91	12.94				
813.32	12.76				
813.73	13.40				
814.14	12.40				
814.55	13.38				
814.95	13.15				
815.36	13.61				
815.77	14.15				
816.18	13.55				
816.59	13.56				
816.99	13.51				
817.40	13.46				
817.81	13.86				
818.22	14.17				
818.63	15.75				
819.03	13.79				
819.44	13.45				
819.85	13.49				
820.26	13.06				
820.67	14.28				
821.07	14.65				
821.48	14.62				
821.89	14.81				
822.30	14.93				
822.71	15.07				
823.11	14.94				
823.52	14.78				
823.93	15.31				
824.34	15.53				
824.75	14.97				
825.15	15.39				
825.56	15.55				
826.05	15.46				
826.57	15.26				
827.10	15.67				
827.62	15.85				
828.15	15.67				
828.67	15.70				
829.20	15.74				
829.72	15.96				
830.25	15.77				
830.77	14.70				
831.30	15.91				
831.82	16.21				
832.34	14.95				
832.87	14.35				
833.39	16.89				
833.92	13.76				
834.44	16.29				
834.97	14.50				
835.49	15.18				
836.02	15.74				
836.54	15.67				
837.07	15.14				
837.59	16.12				
838.12	15.80				
838.64	17.93				
839.17	16.02				
839.69	15.37				
840.22	16.58				
840.74	17.13				
841.27	16.72				
841.79	16.55				
842.58	17.85				
843.10	17.21				
843.63	16.10				
844.15	16.23				
844.68	15.86				
845.20	15.45				
845.73	16.91				
846.25	17.12				
846.78	15.99				
847.30	16.32				
847.82	17.48				
848.35	17.28				
849.40	16.73				
849.92	16.75				
850.45	17.13				
851.50	17.09				
852.02	17.16				
852.55	17.55				
853.07	17.51				
853.60	15.31				
854.12	16.18				
855.17	14.81				
855.70	15.08				
856.22	16.15				
856.75	16.37				
857.27	15.75				
857.79	17.26				
858.32	16.47				
858.84	15.86				
859.37	16.64				
859.89	16.61				
860.42	17.50				
860.94	19.46				
861.47	17.06				
861.99	17.77				
862.52	16.67				
863.04	18.16				
863.83	17.48				
864.35	16.44				
864.88	16.27				
865.40	16.37				
865.93	15.43				
866.45	16.68				
866.97	14.97				
867.48	12.26				
867.99	14.52				
868.50	15.38				
869.01	11.55				
869.51	11.51				
870.02	10.96				
870.53	11.48				
871.04	13.42				
871.55	12.90				
873.07	14.26				
873.84	12.85				
874.34	13.56				
875.36	13.44				
875.87	12.08				
876.38	11.93				
876.89	12.65				
877.90	13.38				
878.41	12.61				
878.92	13.50				
879.43	12.94				
880.19	13.44				
880.70	12.07				
881.21	12.80				
881.71	12.84				
882.73	13.01				
883.24	13.78				
884.26	14.63				
885.27	13.20				
885.53	15.11				
886.04	13.70				
886.54	14.27				
887.56	10.90				
888.07	12.82				
888.58	10.89				
889.09	11.36				
890.10	10.42				
890.61	13.34				
891.12	12.64				
891.63	11.19				
892.39	13.16				
892.90	13.45				
893.41	11.74				
893.91	12.91				
894.93	13.54				
895.44	13.47				
895.95	12.89				
896.46	12.57				
897.47	13.70				
897.73	14.10				
898.24	13.76				
898.74	14.18				
899.76	15.17				
900.23	14.67				
900.62	14.20				
901.01	14.82				
901.79	15.22				
902.18	15.48				
902.58	15.74				
902.77	15.50				
903.56	15.27				
903.95	15.61				
904.34	15.25				
904.73	15.38				
905.51	14.64				
905.91	16.05				
906.30	16.74				
906.69	15.72				
907.28	15.33				
907.67	15.53				
908.06	15.99				
908.45	15.32				
909.24	13.87				
909.63	13.48				
910.02	13.93				
910.41	13.86				
911.19	14.72				
911.59	15.21				
911.98	14.96				
912.17	15.45				
912.96	16.24				
913.35	16.01				
913.74	15.42				
914.13	15.89				
914.92	15.61				
915.31	15.91				
915.70	16.44				
916.09	16.42				
916.87	16.85				
917.27	15.26				
917.67	13.83				
918.09	13.59				
918.94	13.01				
919.36	12.89				
919.79	12.84				
920.21	13.12				
921.05	12.50				
921.48	12.69				
921.90	12.76				
922.32	12.88				
923.17	12.37				
923.59	12.76				
924.01	13.65				
924.44	13.62				
925.49	13.83				
925.92	14.44				
926.34	14.54				
926.76	15.04				
927.61	13.57				
928.03	14.36				
928.46	13.77				
928.88	13.82				
929.72	15.20				
930.15	14.59				
930.57	14.59				
930.99	13.29				
931.84	11.13				
932.26	14.02				
932.68	14.35				
933.11	14.92				
933.95	14.00				
934.38	15.72				
935.01	15.86				
935.43	17.40				
936.28	15.20				
936.70	15.49				
937.13	16.08				
937.55	15.21				
938.39	15.44				
938.82	15.54				
939.24	16.64				
939.66	14.11				
940.51	16.52				
940.93	14.80				
941.35	17.16				
941.78	17.35				
942.62	16.63				
943.05	16.91				
943.47	15.95				
944.10	17.20				
944.95	18.27				
945.37	15.24				
945.79	16.69				
946.22	15.66				
947.06	16.48				
947.49	17.48				
947.91	17.77				
949.18	18.26				
949.60	18.26				
950.02	19.77				
950.45	19.00				
950.66	20.01				
951.08	19.20				
951.29	19.70				
951.50	19.22				
951.72	17.64				
951.93	20.24				
952.14	20.27				
952.35	18.12				
952.77	19.69				
953.20	18.45				
953.62	18.38				
954.04	16.43				
954.46	19.92				
955.31	19.91				
955.73	15.85				
956.16	16.09				
956.58	15.51				
957.43	13.01				
957.85	13.84				
958.27	11.80				
959.54	14.55				
960.39	15.63				
962.50	17.52				
964.61	18.21				
966.73	18.12				
968.89	18.98				
971.14	17.57				
973.38	15.09				
975.62	16.58				
977.86	17.08				
979.66	16.31				
981.45	12.98				
983.70	16.06				
985.04	16.37				
987.28	17.19				
989.08	17.00				
990.87	16.58				
992.46	16.74				
993.58	16.65				
995.44	17.48				
999.16	17.94				
1002.89	13.78				
1004.75	17.60				
1008.47	18.31				
1010.34	13.65				
1014.06	17.23				
1016.49	16.53				
1018.97	13.80				
1021.45	16.81				
1031.61	18.79				
1035.51	15.73				
1038.91	17.36				
1042.31	16.98				
1045.50	17.73				
1048.90	16.60				
1055.70	13.44				
1058.89	14.46				
1062.72	17.28				
1066.42	19.33				
1068.45	17.76				
1070.26	18.28				
1077.93	17.89				
1082.45	18.72				
1087.05	18.59				
1092.01	17.70				
1096.97	9.70				
1101.93	15.26				
1106.88	18.81				
1111.84	17.58				
1116.63	16.83				
1120.45	16.07				
1124.27	14.07				
1128.10	15.54				
1131.92	11.27				
1135.74	12.73				
1139.96	16.32				
1142.47	15.48				
1150.02	19.09				
1155.05	19.48				
1160.08	19.26				
1165.11	19.20				
1170.14	19.70				
1175.17	19.64				
1180.20	18.66				
1185.23	17.94				
1190.16	17.02				
1194.23	16.02				
1198.30	16.47				
1202.36	16.36				
1206.43	16.81				
