Age [ka BP] (Catunda et al., 2021)	SST [°C] (Naafs et al., 2012, original ...)	Age [ka BP] (Catunda et al., 2021)	SST [°C] (linearly interpolated to matc...)	SubT [°C]	delta T [°C] (SST-Sub-ST, Calculated)
600.75	15.95	697.07	17.37	7.58	9.78
601.36	16.54	698.27	17.66	6.46	11.20
601.77	16.25	699.80	18.64	8.10	10.54
602.17	17.29	699.80	18.64	7.78	10.86
602.58	16.76	701.32	18.78	8.11	10.67
602.98	16.87	702.42	18.10	8.45	9.66
603.35	16.68	702.42	18.10	10.79	7.32
603.73	16.58	703.51	18.12	8.65	9.47
604.10	17.43	704.92	17.88	7.26	10.63
604.48	16.36	706.02	17.81	8.07	9.74
604.86	16.37	706.89	17.47	8.03	9.44
605.42	17.04	707.87	18.08	9.41	8.67
605.80	16.38	707.87	18.08	7.80	10.28
606.17	16.28	708.96	17.26	7.29	9.97
606.55	17.45	710.71	16.90	6.71	10.19
606.92	17.00	712.13	16.16	7.35	8.81
607.30	17.33	712.13	16.16	9.81	6.35
607.68	18.12	713.45	12.46	6.23	6.23
608.05	16.99	714.26	11.42	4.67	6.75
608.43	17.82	716.36	12.09	3.95	8.15
608.80	17.25	717.00	12.82	4.05	8.77
609.18	17.46	717.91	12.39	3.50	8.89
609.74	18.20	718.82	13.80	8.02	5.78
610.12	17.10	720.00	15.44	6.41	9.03
610.50	17.83	720.92	15.50	6.39	9.12
610.87	18.46	721.55	15.50	4.08	11.42
611.25	18.24	722.47	15.76	6.61	9.15
611.62	18.50	723.38	17.01	6.42	10.59
612.00	19.07	724.74	15.55	7.52	8.03
612.38	19.15	725.56	15.99	8.08	7.91
612.57	19.14	726.11	16.14	7.61	8.53
612.94	18.85	727.02	16.69	6.96	9.73
613.32	20.20	728.30	16.25	6.17	10.09
613.51	18.42	729.21	16.64	8.94	7.70
613.88	18.14	730.21	16.53	7.57	8.96
614.26	18.13	730.67	17.03	5.56	11.47
614.63	17.02	731.58	17.10	7.19	9.91
614.82	18.07	731.58	17.10	6.46	10.64
615.20	17.41	732.49	17.72	7.50	10.22
615.57	16.75	733.59	15.99	8.26	7.73
615.76	16.69	734.68	14.78	9.01	5.77
616.14	17.53	735.23	16.86	8.50	8.36
616.51	17.40	736.14	17.95	5.80	12.15
616.89	17.27	737.05	16.55	6.95	9.60
617.08	16.81	738.23	16.94	7.51	9.43
617.45	17.66	739.15	16.83	6.41	10.42
617.83	16.69	739.78	18.11	7.69	10.43
618.02	18.26	740.70	17.29	9.05	8.24
618.39	16.31	740.70	17.29	7.36	9.93
618.77	16.23	741.61	16.57	6.37	10.20
619.15	16.28	741.61	16.57	7.15	9.42
619.33	16.41	742.52	14.40	6.83	7.57
619.71	16.50	742.79	14.64	5.53	9.11
620.09	16.07	746.17	12.71	5.47	7.25
620.27	16.45	747.08	13.53	3.54	9.99
620.65	16.50	747.08	13.53	4.46	9.07
621.03	15.76	748.08	14.28	4.06	10.22
621.46	16.94	748.99	14.91	4.20	10.71
621.68	16.17	749.82	14.91	4.84	10.07
622.11	14.75	750.73	15.74	4.64	11.10
622.55	14.53	751.64	15.09	4.42	10.67
622.77	14.74	752.64	14.49	3.55	10.94
623.20	14.48	753.92	14.71	3.70	11.01
623.64	13.96	755.29	14.86	3.12	11.75
624.08	14.80	757.30	15.57	3.05	12.52
624.29	14.24	758.12	16.40	4.87	11.53
624.73	11.09	759.33	16.11	4.51	11.61
625.17	13.19	760.61	16.09	3.59	12.50
625.39	13.89	762.32	16.21	6.71	9.50
625.82	14.47	762.32	16.21	5.14	11.07
626.26	14.64	764.03	16.79	5.57	11.22
626.69	15.08	765.32	17.32	7.08	10.25
626.91	14.79	766.46	16.66	7.06	9.60
627.35	15.23	767.88	15.51	7.75	7.76
627.79	15.34	769.31	15.39	7.59	7.80
628.22	15.11	770.73	14.16	6.24	7.92
628.66	15.26	772.30	15.74	7.36	8.38
629.10	15.86	773.59	16.08	7.35	8.72
629.31	15.69	775.01	16.25	7.01	9.24
629.75	15.31	776.30	16.40	6.08	10.32
630.19	15.88	777.86	15.88	7.00	8.88
630.62	16.13	779.43	16.26	7.37	8.90
631.06	14.98	780.72	16.50	6.23	10.27
631.50	15.67	782.14	17.21	7.78	9.43
631.71	16.58	783.57	16.24	6.20	10.04
632.15	16.07	785.14	16.55	7.02	9.53
632.59	15.67	786.42	17.37	6.59	10.78
633.02	15.34	787.85	16.29	6.23	10.06
633.46	15.18	789.27	15.73	6.98	8.75
633.90	14.97	790.60	16.26	5.57	10.69
634.33	14.94	791.80	14.08	6.27	7.81
634.55	13.45	793.12	12.41	5.32	7.09
634.99	14.15	795.53	11.07	8.07	3.00
635.42	14.83	795.53	11.07	6.11	4.95
635.86	14.84	796.73	13.27	4.38	8.88
636.30	16.31	798.05	13.88	2.43	11.45
636.73	17.23	798.05	13.88	3.39	10.49
636.95	15.72	799.02	12.96	4.13	8.83
637.39	15.39	800.10	12.68	3.68	9.01
637.82	14.78	801.30	12.62	3.71	8.92
638.26	14.57	802.87	13.16	3.01	10.16
638.70	15.23	804.07	12.68	5.05	7.63
639.13	14.43	805.27	13.59	3.09	10.50
639.35	15.78	806.18	13.51	4.34	9.17
639.79	14.84	807.20	12.23	3.92	8.31
640.22	16.57	808.12	12.67	3.18	9.49
640.66	14.64	809.44	12.46	4.22	8.24
641.10	14.63	810.36	13.38	4.08	9.30
641.53	14.61	811.28	12.83	2.70	10.13
641.75	14.88	812.40	12.54	6.47	6.06
642.19	15.66	813.32	12.76	4.97	7.79
642.62	15.24	814.44	13.14	6.67	6.46
643.06	15.39	815.46	13.75	5.65	8.09
643.50	15.10	816.38	13.55	7.28	6.28
643.93	13.40	817.40	13.46	6.54	6.92
644.37	16.11	818.42	14.96	7.25	7.71
644.81	14.66	819.44	13.45	6.86	6.59
645.24	13.65	820.56	13.97	6.58	7.39
645.68	13.53	821.48	14.62	6.10	8.52
646.33	15.10	822.50	15.00	7.58	7.42
646.77	14.09	823.52	14.78	6.79	7.99
647.21	15.26	824.54	15.25	7.57	7.68
647.64	14.75	825.56	15.55	6.86	8.69
648.08	14.68	826.84	15.47	7.03	8.44
648.30	14.84	828.15	15.67	7.41	8.26
648.52	11.45	829.46	15.85	7.82	8.03
648.73	13.30	831.16	15.61	6.07	9.53
648.95	13.50	832.21	15.27	6.99	8.28
649.17	12.81	833.39	16.89	6.07	10.82
649.39	13.28	834.71	15.40	6.96	8.43
649.61	13.41	834.71	15.40	7.12	8.27
649.83	12.30	836.15	15.72	7.39	8.33
650.26	13.85	837.59	16.12	6.27	9.85
650.70	14.20	838.90	16.98	6.26	10.71
651.13	15.21	839.95	15.98	6.62	9.35
651.57	14.68	841.27	16.72	6.24	10.48
652.01	14.01	842.58	17.85	7.09	10.76
652.44	14.89	844.02	16.20	6.48	9.71
652.88	15.22	845.33	15.81	7.02	8.80
653.32	16.31	846.51	16.56	6.80	9.75
653.75	14.40	849.14	16.87	6.80	10.07
654.19	16.61	850.71	17.12	7.76	9.36
654.63	13.76	851.89	17.14	6.89	10.25
655.06	14.75	853.07	17.51	6.14	11.37
655.50	16.61	854.38	15.84	8.09	7.74
655.94	13.99	855.70	15.08	8.72	6.36
656.37	14.22	856.61	16.31	7.32	9.00
656.81	13.44	858.58	16.16	6.64	9.52
657.24	14.00	859.63	16.63	7.46	9.16
657.68	15.37	860.94	19.46	6.49	12.97
