% Supplement to Berends, C. J., de Boer, B., and van de Wal, R. S. W.: Reconstructing 
% the Evolution of Ice Sheets, Sea Level and Atmospheric CO2 During the Past 
% 3.6 Million Years, Clim. Past Discuss., https://doi.org/10.5194/cp-2020-52, in review, 2020
%
% Results from three separate simulations of the last 3.6 Myr with the hybrid ice-sheet - climate model.
%
% SL   = Global mean sea-level (m w.r.t. PD)
% pCO2 = Atmospheric CO2 concentration (ppmv)
%
% Time (kyr ago)    SL   SL_lower   SL_upper     pCO2   pCO2_lower   pCO2_upper
-3599.9          -0.18      -0.18      -0.18     317.73     301.28       334.17
-3599.8          -0.17      -0.28      -0.14     318.62     302.14       335.17
-3599.7          -0.12      -0.35      -0.06     318.61     302.32       335.23
-3599.6          -0.04      -0.39       0.04     318.45     302.33       335.15
-3599.5           0.06      -0.40       0.18     318.39     302.43       335.14
-3599.4           0.17      -0.39       0.30     318.32     302.51       335.13
-3599.3           0.27      -0.38       0.42     318.25     302.56       335.13
-3599.2           0.37      -0.36       0.54     318.17     302.60       335.11
-3599.1           0.47      -0.34       0.66     317.97     302.52       334.98
-3599.0           0.56      -0.32       0.76     317.89     302.59       334.98
-3598.9           0.64      -0.31       0.85     317.83     302.63       335.02
-3598.8           0.72      -0.28       0.92     317.68     302.59       334.97
-3598.7           0.79      -0.24       1.00     317.65     302.67       335.04
-3598.6           0.85      -0.22       1.07     317.51     302.65       334.99
-3598.5           0.92      -0.20       1.15     317.49     302.76       335.05
-3598.4           0.99      -0.17       1.24     317.33     302.72       335.00
-3598.3           1.05      -0.13       1.33     317.32     302.79       335.05
-3598.2           1.11      -0.11       1.42     317.19     302.76       334.98
-3598.1           1.17      -0.09       1.50     317.17     302.87       335.06
-3598.0           1.24      -0.06       1.58     317.02     302.86       335.05
-3597.9           1.30      -0.05       1.64     316.90     302.86       335.03
-3597.8           1.36      -0.03       1.71     316.92     303.02       335.15
-3597.7           1.42      -0.02       1.77     316.83     303.06       335.15
-3597.6           1.48      -0.00       1.83     316.74     303.08       335.17
-3597.5           1.53       0.02       1.89     316.64     303.12       335.18
-3597.4           1.58       0.03       1.95     316.57     303.17       335.19
-3597.3           1.62       0.04       2.00     316.50     303.22       335.22
-3597.2           1.66       0.05       2.06     316.43     303.26       335.23
-3597.1           1.70       0.07       2.12     316.35     303.32       335.26
-3597.0           1.76       0.09       2.16     316.25     303.37       335.30
-3596.9           1.80       0.10       2.21     316.17     303.42       335.34
-3596.8           1.84       0.12       2.26     315.56     302.95       334.79
-3596.7           1.89       0.13       2.29     315.89     303.25       335.27
-3596.6           1.95       0.14       2.33     316.09     303.47       335.67
-3596.5           2.00       0.14       2.37     316.43     303.81       336.18
-3596.4           2.04       0.15       2.40     316.67     304.03       336.59
-3596.3           2.07       0.16       2.42     317.03     304.37       337.12
-3596.2           2.10       0.16       2.45     317.28     304.59       337.53
-3596.1           2.13       0.17       2.48     317.52     304.82       337.95
-3596.0           2.17       0.18       2.51     317.76     305.05       338.38
-3595.9           2.20       0.19       2.54     318.03     305.27       338.81
-3595.8           2.23       0.19       2.56     318.28     305.50       339.21
-3595.7           2.25       0.19       2.58     318.55     305.73       339.65
-3595.6           2.27       0.19       2.61     318.83     305.94       340.09
-3595.5           2.30       0.20       2.62     319.10     306.15       340.52
-3595.4           2.32       0.21       2.64     319.38     306.36       340.98
-3595.3           2.34       0.21       2.66     319.55     306.45       341.30
-3595.2           2.36       0.22       2.68     319.86     306.67       341.75
-3595.1           2.38       0.22       2.70     320.01     306.77       342.08
-3595.0           2.39       0.23       2.73     320.31     306.99       342.51
-3594.9           2.41       0.23       2.75     320.49     307.08       342.84
-3594.8           2.42       0.23       2.77     320.78     307.29       343.29
-3594.7           2.45       0.24       2.79     320.94     307.35       343.63
-3594.6           2.47       0.24       2.81     321.12     307.43       343.97
-3594.5           2.48       0.25       2.82     321.26     307.52       344.31
-3594.4           2.50       0.25       2.84     321.43     307.59       344.65
-3594.3           2.52       0.25       2.85     321.61     307.67       345.00
-3594.2           2.53       0.25       2.86     321.79     307.75       345.36
-3594.1           2.54       0.25       2.88     321.96     307.82       345.71
-3594.0           2.55       0.25       2.89     322.13     307.89       346.06
-3593.9           2.56       0.26       2.91     322.33     307.96       346.39
-3593.8           2.57       0.26       2.94     322.35     307.88       346.60
-3593.7           2.58       0.27       2.96     322.51     307.92       346.94
-3593.6           2.59       0.27       2.97     322.54     307.83       347.16
-3593.5           2.60       0.27       2.99     322.69     307.87       347.49
-3593.4           2.61       0.27       3.00     322.70     307.78       347.71
-3593.3           2.63       0.27       3.02     322.86     307.82       348.04
-3593.2           2.65       0.27       3.04     322.87     307.75       348.27
-3593.1           2.66       0.27       3.06     322.90     307.68       348.49
-3593.0           2.68       0.27       3.07     322.94     307.60       348.73
-3592.9           2.69       0.27       3.08     322.97     307.53       348.97
-3592.8           2.69       0.28       3.10     323.00     307.42       349.19
-3592.7           2.71       0.28       3.11     323.01     307.32       349.42
-3592.6           2.73       0.28       3.12     323.00     307.23       349.65
-3592.5           2.74       0.28       3.13     323.00     307.14       349.89
-3592.4           2.75       0.28       3.14     323.00     307.05       350.13
-3592.3           2.76       0.28       3.16     323.03     306.97       350.36
-3592.2           2.77       0.28       3.17     323.05     306.89       350.59
-3592.1           2.78       0.28       3.18     323.07     306.81       350.85
-3592.0           2.78       0.28       3.19     323.09     306.74       351.09
-3591.9           2.79       0.27       3.20     323.10     306.66       351.35
-3591.8           2.80       0.27       3.22     323.21     306.69       351.69
-3591.7           2.81       0.27       3.24     323.22     306.61       351.93
-3591.6           2.82       0.27       3.25     323.23     306.52       352.17
-3591.5           2.83       0.26       3.26     323.34     306.56       352.54
-3591.4           2.84       0.26       3.28     323.35     306.46       352.79
-3591.3           2.84       0.25       3.29     323.17     306.33       352.73
-3591.2           2.85       0.25       3.30     322.85     306.05       352.53
-3591.1           2.86       0.25       3.31     322.65     305.89       352.45
-3591.0           2.87       0.24       3.33     322.46     305.75       352.36
-3590.9           2.88       0.24       3.35     322.26     305.60       352.29
-3590.8           2.88       0.23       3.37     321.94     305.33       352.09
-3590.7           2.89       0.23       3.38     321.74     305.18       352.01
-3590.6           2.90       0.23       3.40     321.53     305.03       351.93
-3590.5           2.91       0.22       3.41     321.35     304.87       351.87
-3590.4           2.91       0.22       3.43     321.14     304.72       351.78
-3590.3           2.92       0.22       3.46     321.07     304.68       351.82
-3590.2           2.92       0.21       3.48     320.86     304.53       351.73
-3590.1           2.94       0.21       3.51     320.67     304.38       351.65
-3590.0           2.95       0.21       3.53     320.47     304.22       351.56
-3589.9           2.95       0.21       3.57     320.38     304.18       351.59
-3589.8           2.96       0.21       3.60     320.19     304.02       351.50
-3589.7           2.97       0.21       3.64     320.10     303.98       351.53
-3589.6           2.97       0.21       3.67     319.92     303.81       351.44
-3589.5           2.97       0.20       3.70     319.84     303.76       351.47
-3589.4           2.98       0.20       3.74     319.76     303.71       351.50
-3589.3           2.98       0.20       3.77     319.57     303.55       351.42
-3589.2           2.99       0.20       3.80     319.50     303.49       351.45
-3589.1           2.99       0.20       3.85     319.43     303.43       351.46
-3589.0           2.99       0.19       3.90     319.35     303.38       351.47
-3588.9           3.00       0.19       3.94     319.28     303.32       351.50
-3588.8           3.00       0.19       3.99     319.19     303.26       351.53
-3588.7           3.01       0.19       4.03     319.13     303.19       351.56
-3588.6           3.01       0.19       4.07     319.05     303.13       351.60
-3588.5           3.02       0.18       4.11     318.98     303.06       351.63
-3588.4           3.02       0.18       4.14     319.02     303.12       351.80
-3588.3           3.03       0.18       4.18     318.94     303.05       351.83
-3588.2           3.04       0.18       4.21     318.88     302.99       351.88
-3588.1           3.05       0.18       4.25     318.93     303.04       352.05
-3588.0           3.06       0.17       4.29     318.86     302.97       352.08
-3587.9           3.06       0.17       4.32     318.90     303.00       352.24
-3587.8           3.06       0.17       4.35     318.94     303.03       352.40
-3587.7           3.07       0.18       4.38     318.85     302.93       352.43
-3587.6           3.07       0.18       4.41     318.89     302.94       352.57
-3587.5           3.07       0.18       4.44     318.91     302.96       352.71
-3587.4           3.08       0.18       4.47     318.94     302.96       352.86
-3587.3           3.08       0.18       4.50     318.85     302.85       352.88
-3587.2           3.08       0.18       4.52     318.86     302.84       353.01
-3587.1           3.08       0.17       4.55     318.88     302.84       353.13
-3587.0           3.09       0.17       4.58     318.88     302.83       353.25
-3586.9           3.09       0.17       4.62     318.78     302.70       353.23
-3586.8           3.09       0.17       4.66     318.77     302.68       353.32
-3586.7           3.09       0.17       4.70     318.77     302.66       353.41
-3586.6           3.09       0.17       4.75     318.76     302.65       353.50
-3586.5           3.09       0.17       4.79     318.76     302.62       353.58
-3586.4           3.10       0.16       4.83     318.63     302.47       353.55
-3586.3           3.10       0.16       4.87     318.61     302.44       353.62
-3586.2           3.10       0.16       4.92     318.60     302.40       353.68
-3586.1           3.10       0.16       4.96     318.57     302.36       353.76
-3586.0           3.10       0.16       4.99     318.42     302.20       353.71
-3585.9           3.11       0.15       5.03     318.39     302.17       353.76
-3585.8           3.11       0.15       5.07     318.36     302.12       353.82
-3585.7           3.11       0.15       5.11     318.21     301.95       353.76
-3585.6           3.12       0.15       5.14     318.16     301.92       353.82
-3585.5           3.13       0.15       5.18     318.11     301.88       353.86
-3585.4           3.15       0.15       5.21     318.04     301.83       353.91
-3585.3           3.16       0.14       5.24     317.87     301.66       353.84
-3585.2           3.17       0.14       5.27     317.80     301.61       353.88
-3585.1           3.19       0.14       5.30     317.74     301.57       353.93
-3585.0           3.20       0.14       5.33     317.57     301.40       353.85
-3584.9           3.21       0.14       5.37     317.49     301.35       353.87
-3584.8           3.22       0.14       5.40     317.43     301.29       353.88
-3584.7           3.23       0.14       5.43     317.21     301.10       353.79
-3584.6           3.24       0.13       5.46     317.13     301.04       353.80
-3584.5           3.25       0.13       5.48     317.05     300.97       353.83
-3584.4           3.27       0.13       5.50     316.96     300.91       353.86
-3584.3           3.28       0.13       5.53     316.76     300.73       353.75
-3584.2           3.29       0.13       5.55     316.67     300.67       353.77
-3584.1           3.30       0.13       5.57     316.57     300.62       353.79
-3584.0           3.32       0.12       5.60     316.36     300.44       353.67
-3583.9           3.33       0.12       5.62     316.26     300.38       353.69
-3583.8           3.35       0.12       5.64     316.01     300.17       353.56
-3583.7           3.37       0.12       5.66     315.88     300.09       353.56
-3583.6           3.39       0.12       5.68     315.75     299.99       353.55
-3583.5           3.40       0.12       5.70     315.49     299.79       353.42
-3583.4           3.42       0.12       5.72     315.36     299.71       353.40
-3583.3           3.44       0.12       5.74     315.22     299.63       353.39
-3583.2           3.46       0.11       5.76     314.96     299.42       353.24
-3583.1           3.48       0.11       5.78     314.82     299.34       353.22
-3583.0           3.50       0.11       5.80     314.67     299.25       353.19
-3582.9           3.53       0.11       5.82     314.42     299.06       353.04
-3582.8           3.55       0.11       5.84     314.23     298.93       352.99
-3582.7           3.57       0.11       5.85     313.93     298.69       352.83
-3582.6           3.60       0.10       5.87     313.75     298.57       352.78
-3582.5           3.62       0.10       5.88     313.57     298.45       352.73
-3582.4           3.64       0.10       5.90     313.40     298.34       352.69
-3582.3           3.66       0.10       5.92     313.10     298.11       352.52
-3582.2           3.68       0.09       5.94     312.94     298.00       352.46
-3582.1           3.70       0.09       5.96     312.88     298.01       352.55
-3582.0           3.72       0.09       5.98     312.71     297.90       352.50
-3581.9           3.75       0.09       6.00     312.54     297.79       352.45
-3581.8           3.77       0.09       6.02     312.34     297.66       352.41
-3581.7           3.79       0.09       6.04     312.28     297.65       352.47
-3581.6           3.81       0.09       6.05     312.21     297.63       352.54
-3581.5           3.83       0.09       6.08     312.03     297.51       352.49
-3581.4           3.85       0.09       6.10     311.96     297.49       352.56
-3581.3           3.86       0.08       6.11     311.90     297.49       352.62
-3581.2           3.88       0.08       6.13     311.83     297.48       352.70
-3581.1           3.90       0.08       6.15     311.77     297.45       352.76
-3581.0           3.92       0.08       6.17     311.72     297.44       352.84
-3580.9           3.94       0.08       6.19     311.78     297.55       353.04
-3580.8           3.96       0.08       6.21     311.70     297.52       353.10
-3580.7           3.97       0.08       6.23     311.76     297.62       353.29
-3580.6           3.99       0.08       6.25     311.69     297.58       353.36
-3580.5           4.00       0.09       6.27     311.75     297.66       353.54
-3580.4           4.02       0.09       6.29     311.81     297.74       353.74
-3580.3           4.03       0.09       6.32     311.86     297.82       353.92
-3580.2           4.04       0.09       6.34     311.92     297.91       354.09
-3580.1           4.06       0.09       6.37     311.98     297.99       354.29
-3580.0           4.07       0.09       6.39     312.04     298.07       354.48
-3579.9           4.08       0.09       6.41     312.23     298.25       354.79
-3579.8           4.10       0.09       6.43     312.29     298.32       354.98
-3579.7           4.11       0.09       6.46     312.46     298.50       355.30
-3579.6           4.12       0.09       6.49     312.52     298.56       355.48
-3579.5           4.14       0.09       6.51     312.69     298.73       355.80
-3579.4           4.15       0.09       6.54     312.87     298.90       356.12
-3579.3           4.16       0.09       6.56     313.06     299.07       356.42
-3579.2           4.17       0.09       6.59     313.23     299.24       356.73
-3579.1           4.19       0.09       6.61     313.41     299.39       357.05
-3579.0           4.20       0.09       6.64     313.72     299.67       357.48
-3578.9           4.21       0.09       6.66     313.89     299.82       357.81
-3578.8           4.23       0.09       6.69     314.08     299.97       358.14
-3578.7           4.25       0.09       6.72     314.38     300.25       358.56
-3578.6           4.27       0.10       6.75     314.68     300.52       359.01
-3578.5           4.28       0.10       6.79     314.86     300.66       359.34
-3578.4           4.30       0.10       6.82     315.17     300.92       359.76
-3578.3           4.32       0.10       6.85     315.47     301.19       360.22
-3578.2           4.34       0.10       6.88     315.79     301.44       360.66
-3578.1           4.36       0.10       6.92     316.22     301.83       361.23
-3578.0           4.37       0.10       6.95     316.55     302.09       361.70
-3577.9           4.39       0.11       6.99     316.87     302.33       362.16
-3577.8           4.41       0.12       7.02     317.31     302.71       362.76
-3577.7           4.43       0.13       7.05     317.66     302.96       363.24
-3577.6           4.45       0.14       7.09     318.11     303.33       363.85
-3577.5           4.46       0.15       7.13     318.58     303.71       364.45
-3577.4           4.48       0.15       7.17     318.93     303.97       364.94
-3577.3           4.50       0.16       7.21     319.40     304.36       365.55
-3577.2           4.52       0.17       7.25     319.76     304.62       366.05
-3577.1           4.54       0.18       7.29     320.24     305.02       366.69
-3577.0           4.56       0.18       7.33     320.61     305.30       367.21
-3576.9           4.59       0.19       7.38     321.08     305.70       367.84
-3576.8           4.61       0.20       7.43     321.50     306.02       368.37
-3576.7           4.63       0.22       7.48     321.91     306.34       368.92
-3576.6           4.65       0.23       7.54     322.33     306.66       369.46
-3576.5           4.68       0.26       7.60     322.76     306.98       370.02
-3576.4           4.71       0.28       7.66     323.18     307.31       370.57
-3576.3           4.73       0.30       7.71     323.61     307.63       371.14
-3576.2           4.75       0.32       7.78     323.93     307.85       371.58
-3576.1           4.78       0.34       7.84     324.38     308.18       372.16
-3576.0           4.81       0.35       7.91     324.83     308.52       372.72
-3575.9           4.83       0.37       7.98     325.16     308.76       373.17
-3575.8           4.86       0.39       8.06     325.65     309.14       373.76
-3575.7           4.89       0.41       8.14     326.03     309.41       374.24
-3575.6           4.91       0.44       8.23     326.41     309.67       374.72
-3575.5           4.94       0.47       8.31     326.93     310.08       375.32
-3575.4           4.96       0.49       8.39     327.33     310.37       375.82
-3575.3           4.99       0.52       8.48     327.74     310.64       376.32
-3575.2           5.01       0.54       8.57     328.14     310.94       376.83
-3575.1           5.03       0.56       8.66     328.58     311.26       377.34
-3575.0           5.05       0.58       8.76     329.00     311.59       377.86
-3574.9           5.08       0.59       8.85     329.33     311.80       378.26
-3574.8           5.11       0.61       8.94     329.78     312.17       378.81
-3574.7           5.13       0.63       9.02     330.26     312.52       379.37
-3574.6           5.16       0.66       9.10     330.61     312.76       379.82
-3574.5           5.20       0.69       9.18     331.07     313.10       380.39
-3574.4           5.23       0.74       9.24     331.43     313.31       380.87
-3574.3           5.26       0.79       9.31     331.93     313.66       381.46
-3574.2           5.29       0.84       9.37     332.33     313.89       381.95
-3574.1           5.32       0.91       9.43     332.73     314.12       382.45
-3574.0           5.35       0.96       9.48     333.12     314.35       382.96
-3573.9           5.38       1.01       9.54     333.54     314.58       383.48
-3573.8           5.41       1.06       9.60     333.96     314.84       384.00
-3573.7           5.44       1.10       9.66     334.38     315.11       384.54
-3573.6           5.47       1.15       9.71     334.81     315.38       385.08
-3573.5           5.50       1.20       9.76     335.26     315.65       385.63
-3573.4           5.53       1.25       9.81     335.58     315.83       386.08
-3573.3           5.57       1.30       9.86     336.03     316.11       386.65
-3573.2           5.60       1.35       9.90     336.38     316.30       387.12
-3573.1           5.63       1.41       9.93     336.83     316.59       387.71
-3573.0           5.67       1.47       9.96     337.18     316.76       388.19
-3572.9           5.70       1.53       9.99     337.66     317.08       388.79
-3572.8           5.74       1.57      10.01     338.02     317.31       389.30
-3572.7           5.78       1.62      10.03     338.38     317.53       389.80
-3572.6           5.82       1.68      10.05     338.73     317.73       390.31
-3572.5           5.86       1.73      10.07     339.11     317.96       390.83
-3572.4           5.91       1.78      10.10     339.46     318.21       391.34
-3572.3           5.95       1.82      10.12     339.85     318.46       391.87
-3572.2           6.00       1.86      10.14     340.09     318.60       392.27
-3572.1           6.04       1.90      10.16     340.46     318.85       392.81
-3572.0           6.09       1.95      10.18     340.73     319.00       393.23
-3571.9           6.14       1.99      10.20     341.11     319.27       393.77
-3571.8           6.19       2.04      10.21     341.38     319.42       394.21
-3571.7           6.24       2.08      10.23     341.66     319.57       394.64
-3571.6           6.29       2.13      10.23     341.93     319.74       395.09
-3571.5           6.34       2.18      10.24     342.32     320.03       395.66
-3571.4           6.39       2.23      10.24     342.59     320.22       396.12
-3571.3           6.44       2.27      10.25     342.87     320.43       396.57
-3571.2           6.49       2.32      10.25     343.04     320.49       396.91
-3571.1           6.54       2.39      10.26     343.32     320.66       397.36
-3571.0           6.59       2.45      10.27     343.60     320.83       397.82
-3570.9           6.64       2.51      10.27     343.77     320.92       398.18
-3570.8           6.70       2.56      10.28     344.06     321.13       398.63
-3570.7           6.75       2.62      10.29     344.23     321.21       398.98
-3570.6           6.80       2.67      10.29     344.51     321.41       399.45
-3570.5           6.86       2.71      10.30     344.67     321.49       399.80
-3570.4           6.92       2.76      10.30     344.83     321.58       400.15
-3570.3           6.99       2.80      10.31     344.99     321.66       400.50
-3570.2           7.05       2.84      10.31     345.15     321.75       400.85
-3570.1           7.11       2.88      10.32     345.31     321.84       401.19
-3570.0           7.17       2.92      10.32     345.47     321.92       401.54
-3569.9           7.23       2.96      10.33     345.62     322.00       401.89
-3569.8           7.30       3.00      10.34     345.77     322.08       402.24
-3569.7           7.36       3.04      10.35     345.81     322.03       402.46
-3569.6           7.42       3.10      10.35     345.96     322.08       402.81
-3569.5           7.49       3.15      10.35     345.99     322.02       403.03
-3569.4           7.56       3.21      10.36     346.12     322.07       403.37
-3569.3           7.63       3.26      10.36     346.14     322.00       403.59
-3569.2           7.70       3.31      10.36     346.17     321.93       403.81
-3569.1           7.76       3.37      10.37     346.17     321.83       404.02
-3569.0           7.83       3.42      10.37     346.18     321.75       404.24
-3568.9           7.90       3.48      10.37     346.18     321.65       404.44
-3568.8           7.97       3.54      10.37     346.18     321.56       404.65
-3568.7           8.04       3.59      10.37     346.18     321.46       404.85
-3568.6           8.12       3.63      10.37     346.06     321.26       404.93
-3568.5           8.19       3.67      10.37     346.03     321.17       405.12
-3568.4           8.27       3.72      10.37     346.01     321.07       405.31
-3568.3           8.35       3.76      10.37     345.86     320.85       405.38
-3568.2           8.42       3.80      10.37     345.71     320.61       405.43
-3568.1           8.49       3.85      10.37     345.67     320.48       405.61
-3568.0           8.57       3.89      10.37     345.51     320.25       405.65
-3567.9           8.64       3.93      10.37     345.34     320.00       405.70
-3567.8           8.71       3.98      10.37     345.18     319.75       405.74
-3567.7           8.78       4.02      10.37     345.01     319.50       405.76
-3567.6           8.85       4.05      10.37     344.84     319.24       405.79
-3567.5           8.91       4.09      10.38     344.66     318.98       405.81
-3567.4           8.98       4.12      10.38     344.47     318.71       405.83
-3567.3           9.03       4.15      10.38     344.29     318.45       405.84
-3567.2           9.08       4.18      10.38     343.98     318.06       405.73
-3567.1           9.14       4.21      10.38     343.77     317.77       405.73
-3567.0           9.19       4.23      10.38     343.57     317.50       405.72
-3566.9           9.23       4.26      10.38     343.37     317.21       405.71
-3566.8           9.28       4.28      10.38     343.17     316.93       405.70
-3566.7           9.32       4.30      10.37     342.95     316.62       405.68
-3566.6           9.36       4.32      10.37     342.86     316.45       405.77
-3566.5           9.40       4.34      10.38     342.64     316.15       405.73
-3566.4           9.45       4.35      10.38     342.41     315.83       405.70
-3566.3           9.48       4.37      10.37     342.18     315.52       405.66
-3566.2           9.51       4.39      10.38     341.93     315.20       405.60
-3566.1           9.55       4.40      10.38     341.70     314.87       405.54
-3566.0           9.57       4.42      10.38     341.57     314.65       405.60
-3565.9           9.61       4.43      10.38     341.31     314.32       405.53
-3565.8           9.64       4.44      10.39     341.05     313.97       405.43
-3565.7           9.67       4.46      10.40     340.79     313.63       405.32
-3565.6           9.70       4.47      10.43     340.61     313.38       405.31
-3565.5           9.74       4.50      10.46     340.32     313.00       405.17
-3565.4           9.78       4.52      10.48     340.15     312.74       405.16
-3565.3           9.81       4.55      10.51     339.85     312.35       405.00
-3565.2           9.85       4.57      10.55     339.52     311.95       404.82
-3565.1           9.90       4.59      10.60     339.31     311.68       404.74
-3565.0           9.93       4.62      10.66     338.98     311.25       404.50
-3564.9           9.97       4.64      10.71     338.74     310.96       404.42
-3564.8          10.01       4.66      10.77     338.51     310.65       404.30
-3564.7          10.05       4.69      10.86     338.15     310.19       403.97
-3564.6          10.10       4.73      10.98     337.90     309.85       403.75
-3564.5          10.15       4.76      11.10     337.50     309.40       403.39
-3564.4          10.20       4.80      11.23     337.20     309.05       403.15
-3564.3          10.27       4.84      11.35     336.88     308.67       402.89
-3564.2          10.33       4.87      11.48     336.58     308.30       402.60
-3564.1          10.39       4.91      11.62     336.15     307.81       402.13
-3564.0          10.47       4.96      11.76     335.77     307.43       401.79
-3563.9          10.56       4.99      11.92     335.37     307.05       401.38
-3563.8          10.65       5.03      12.06     335.00     306.65       401.01
-3563.7          10.75       5.07      12.22     334.59     306.26       400.58
-3563.6          10.85       5.10      12.38     334.19     305.89       400.12
-3563.5          10.95       5.14      12.52     333.67     305.36       399.58
-3563.4          11.04       5.19      12.66     333.25     304.93       399.10
-3563.3          11.14       5.24      12.77     332.82     304.50       398.69
-3563.2          11.24       5.29      12.85     332.33     304.06       398.35
-3563.1          11.36       5.34      12.93     331.81     303.60       398.02
-3563.0          11.49       5.38      13.00     331.27     303.17       397.70
-3562.9          11.60       5.43      13.06     330.89     302.82       397.50
-3562.8          11.71       5.47      13.11     330.39     302.40       397.19
-3562.7          11.82       5.50      13.16     329.86     302.00       396.87
-3562.6          11.93       5.54      13.20     329.33     301.57       396.56
-3562.5          12.05       5.58      13.25     328.79     301.13       396.22
-3562.4          12.16       5.61      13.29     328.34     300.85       396.01
-3562.3          12.26       5.64      13.33     327.81     300.42       395.69
-3562.2          12.32       5.67      13.36     327.34     300.00       395.36
-3562.1          12.35       5.71      13.38     327.05     299.70       395.15
-3562.0          12.40       5.74      13.41     326.63     299.26       394.82
-3561.9          12.42       5.78      13.42     326.36     298.92       394.60
-3561.8          12.44       5.80      13.44     325.98     298.54       394.27
-3561.7          12.47       5.83      13.46     325.72     298.29       394.05
-3561.6          12.48       5.86      13.47     325.34     297.90       393.70
-3561.5          12.50       5.88      13.49     325.08     297.65       393.48
-3561.4          12.51       5.90      13.50     324.82     297.38       393.25
-3561.3          12.52       5.92      13.51     324.56     297.10       393.01
-3561.2          12.53       5.94      13.52     324.18     296.74       392.65
-3561.1          12.55       5.95      13.53     323.89     296.48       392.41
-3561.0          12.56       5.97      13.54     323.62     296.23       392.16
-3560.9          12.56       5.98      13.55     323.35     295.99       391.92
-3560.8          12.56       5.99      13.55     323.10     295.76       391.67
-3560.7          12.57       5.99      13.56     322.85     295.55       391.42
-3560.6          12.57       5.99      13.57     322.58     295.36       391.17
-3560.5          12.57       5.99      13.57     322.32     295.17       390.91
-3560.4          12.56       5.99      13.58     322.06     294.99       390.66
-3560.3          12.56       5.98      13.58     321.91     294.92       390.52
-3560.2          12.56       5.97      13.59     321.65     294.77       390.26
-3560.1          12.55       5.96      13.59     321.38     294.62       389.99
-3560.0          12.55       5.95      13.59     321.10     294.48       389.73
-3559.9          12.55       5.91      13.59     320.95     294.50       389.58
-3559.8          12.54       5.85      13.59     320.69     294.50       389.32
-3559.7          12.54       5.79      13.59     320.54     294.65       389.17
-3559.6          12.54       5.72      13.60     320.27     294.73       388.90
-3559.5          12.53       5.64      13.60     320.12     294.95       388.76
-3559.4          12.53       5.57      13.60     319.85     295.07       388.48
-3559.3          12.53       5.48      13.60     319.70     295.33       388.32
-3559.2          12.53       5.40      13.60     319.42     295.45       388.04
-3559.1          12.52       5.32      13.60     319.26     295.67       387.87
-3559.0          12.52       5.25      13.61     319.11     295.89       387.70
-3558.9          12.51       5.18      13.61     318.97     296.11       387.54
-3558.8          12.51       5.12      13.60     318.82     296.32       387.37
-3558.7          12.50       5.05      13.61     318.55     296.40       387.08
-3558.6          12.49       4.99      13.60     318.40     296.61       386.91
-3558.5          12.49       4.93      13.60     318.25     296.81       386.74
-3558.4          12.48       4.86      13.60     318.10     297.00       386.57
-3558.3          12.48       4.80      13.60     317.96     297.20       386.39
-3558.2          12.48       4.74      13.60     317.93     297.51       386.33
-3558.1          12.47       4.68      13.61     317.78     297.70       386.15
-3558.0          12.47       4.63      13.61     317.63     297.88       385.96
-3557.9          12.46       4.58      13.61     317.49     298.05       385.78
-3557.8          12.45       4.53      13.61     317.32     298.17       385.58
-3557.7          12.44       4.48      13.61     317.27     298.45       385.52
-3557.6          12.44       4.44      13.60     317.11     298.60       385.32
-3557.5          12.43       4.40      13.60     316.94     298.70       385.13
-3557.4          12.42       4.36      13.60     316.90     298.94       385.05
-3557.3          12.41       4.33      13.60     316.73     299.03       384.86
-3557.2          12.41       4.29      13.60     316.69     299.24       384.78
-3557.1          12.40       4.26      13.60     316.52     299.33       384.58
-3557.0          12.40       4.22      13.60     316.36     299.40       384.38
-3556.9          12.39       4.19      13.60     316.31     299.60       384.29
-3556.8          12.39       4.16      13.59     316.12     299.56       384.10
-3556.7          12.38       4.13      13.59     315.93     299.47       383.89
-3556.6          12.38       4.11      13.59     315.85     299.51       383.80
-3556.5          12.37       4.08      13.59     315.66     299.40       383.60
-3556.4          12.36       4.05      13.59     315.47     299.29       383.38
-3556.3          12.36       4.03      13.59     315.40     299.30       383.30
-3556.2          12.35       4.00      13.59     315.22     299.21       383.08
-3556.1          12.35       3.98      13.58     315.15     299.23       383.00
-3556.0          12.34       3.95      13.58     314.97     299.15       382.79
-3555.9          12.34       3.92      13.58     314.79     299.08       382.59
-3555.8          12.33       3.89      13.57     314.70     299.09       382.50
-3555.7          12.32       3.87      13.57     314.49     299.00       382.30
-3555.6          12.31       3.84      13.57     314.28     298.90       382.10
-3555.5          12.30       3.81      13.57     314.07     298.82       381.89
-3555.4          12.30       3.78      13.56     313.99     298.86       381.82
-3555.3          12.29       3.75      13.56     313.79     298.78       381.63
-3555.2          12.29       3.73      13.56     313.59     298.72       381.43
-3555.1          12.28       3.70      13.56     313.51     298.78       381.35
-3555.0          12.27       3.68      13.55     313.32     298.73       381.17
-3554.9          12.27       3.66      13.55     313.13     298.69       380.99
-3554.8          12.26       3.63      13.54     313.06     298.78       380.93
-3554.7          12.25       3.60      13.54     312.86     298.74       380.76
-3554.6          12.25       3.58      13.54     312.67     298.70       380.58
-3554.5          12.24       3.55      13.54     312.48     298.68       380.41
-3554.4          12.24       3.52      13.53     312.41     298.79       380.36
